"company","stand","category","country"
"BARRY-WEHMILLER","C2-AJ49","PackagingTechAsia","USA"
"BAUERMEISTER ZERKLEINERUNGSTECHNIK GMBH","C3-AY54","ProcessingTechAsia","GERMANY"
"BAVARIAN PAVILION / BAYERN INTERNATIONAL","C2-U19","PackagingTechAsia","GERMANY"
"BB TECH & SERVICE LTD., PART.","C3-AP78","ProcessingTechAsia","THAILAND"
"BE MEDIA FOCUS (THAILAND) CO  LTD","C1-AA67","N/A","THAILAND"
"BECKER ASIA PACIFIC PTE LTD.","C1-L57","PackagingSolutionsAsia","SINGAPORE"
"BECKER VACUUM AND AIR EQUIPMENT (SHANGHAI) CO., LTD.","C1-L57","PackagingSolutionsAsia","CHINA"
"BECKHOFF AUTOMATION PTE. LTD.","C1-B61","Digitalization","THAILAND"
"BEIJING EASTYIDA INTERNATIONAL EXHIBITION CO.,LTD","C3-AY22","ProcessingTechAsia","CHINA"
"BEIJING HANLIN HANGYU TECHNOLOGY DEVELOPMENT INC","C1-L16","PackagingSolutionsAsia","CHINA"
"BEIJING HANLIN HANGYU TECHNOLOGY DEVELOPMENT INC.","C1-L16","PackagingSolutionsAsia","CHINA"
"BEIJING OMORI PACKING MACHINERY CO., LTD.","C1-N04","PackagingTechAsia","CHINA"
"BEIJING XINMEI INTERNATIONAL EXHIBITION CO.,LTD","C3-AZ28","ProcessingTechAsia","CHINA"
"BEIJING Y.C.T.D. PACKAGING MACHINERY CO., LTD","C2-AF66","DrinkTechAsia","CHINA"
"BEIJING YINQICHENG INTERNATIONAL EXHIBITION CO.,LTD","C1-B32","Digitalization","CHINA"
"BENISON (THAILAND) CO.,LTD.","C2-S04","PackagingTechAsia","THAILAND"
"BENJAMIT PACKAGING CO., LTD.","C2-FY115","N/A","THAILAND"
"BERTOLI","C3-AP33","ProcessingTechAsia","ITALY"
"BEST ENERGY SOLUTION & TECHNOLOGY CO., LTD.","C2-U86","PackagingTechAsia","THAILAND"
"BETTER CODE CO.,LTD","C1-G04","Coding,Marking&LabellingAsia","THAILAND"
"BETTER PACK CO.,LTD.","C3-AW16","PackagingTechAsia","THAILAND"
"BEVERAGE TECHNOLOGY AND MANAGEMENT, FACULTY OF AGRO-INDUSTRY, KASETSART UNIVERSITY","C2-AE78","N/A","THAILAND"
"BIEFFE CO SRL","C3-AK32","PackagingTechAsia","ITALY"
"BIHAI PACKAGING MATERIALS CO., LTD","C3-AY04","ProcessingTechAsia","CHINA"
"BIMEC SRL","C3-AK62","PackagingTechAsia","ITALY"
"BIO-ECO CO., LTD","C1-A24","Digitalization","THAILAND"
"BIZ NAKHON CO., LTD.","C1-G66","Lab&TestAsia","THAILAND"
"BKP PASS CO., LTD.","C3-AP83","ProcessingTechAsia","THAILAND"
"BLUE DIAMOND MACHINERY CO.,LTD.","C2-AF16","DrinkTechAsia","THAILAND"
"BOCHENG NEW TECH MATERIAS CO., LTD","C2-W81","PackagingTechAsia","CHINA"
"BOEVAN PACKAGING MACHINERY CO.,LTD","C1-N86","PackagingTechAsia","CHINA"
"BOGE KOMPRESSOREN ASIA PACIFIC PTE LTD. (INMATEC)","C2-Y28","PackagingTechAsia","SINGAPORE"
"BOLLORE ITF","C3-AX62","ProcessingTechAsia","FRANCE"
"BONDING TECHNOLOGY RESOURCES SDN BHD","C1-E08","Coldchain,Logistics,Warehousing&FactoryAsia","MALAYSIA"
"BOOKANG TRANSFER CO., LTD.","C1-R34","PackagingTechAsia","KOREA"
"BOOKANGTRANSFER CO., LTD","C1-R34","PackagingTechAsia","KOREA"
"BORTOLIN KEMO S.P.A","C2-Y86","PackagingTechAsia","ITALY"
"BOSHI INTELLIGENT TECHNOLOGY CO., LTD (SUZHOU)","C3-AY28","ProcessingTechAsia","CHINA"
"BOSHI INTELLIGENT TECHNOLOGY CO.,LTD(SUZHOU)","C3-AY28","ProcessingTechAsia","CHINA"
"BOTENS INTERNATIONAL (THAILAND) CO., LTD.","C1-C79","PackagingTechAsia","THAILAND"
"BOTTLE AND BOX CO., LTD.","C1-B36","Digitalization","CHINA"
"BOTTLE AND BOX CO.,LTD","C1-B36","Digitalization","CHINA"
"BP PLASTICS HOLDING BHD","C1-E04","Coldchain,Logistics,Warehousing&FactoryAsia","MALAYSIA"
"BPS BANGKOK CO., LTD.","C1-AA11","PackagingSolutionsAsia","THAILAND"
"BRADMAN-LAKE LTD (BECCLES)","C2-AG04","DrinkTechAsia","UK"
"BRANDEX DIRECTORY CO.,LTD.","C1-AA61","N/A","THAILAND"
"BR?CKNER GROUP SE","C2-T04","PackagingTechAsia","GERMANY"
"BRUCKNER MASCHINENBAU GMBH","C2-T04","PackagingTechAsia","GERMANY"
"BRUCKNER SERVTEC GMBH","C2-T04","PackagingTechAsia","GERMANY"
"BRUECKNER GROUP ASIA-PACIFIC CO. LTD.","C2-T04","PackagingTechAsia","THAILAND"
"B-TAC INDUSTRIAL AUTOMATION CO.,LTD.","C3-AR66","PackagingTechAsia","THAILAND"
"BUHLER (THAILAND) LTD.","C3-AN42","ProcessingTechAsia","THAILAND"
"BUNCH EXHIBITION SERVICES (ASIA) LIMITED","","ProcessingTechAsia","CHINA"
"BUSINESS FRANCE","C3-AV33","ProcessingTechAsia","FRANCE"
"BW PACKAGING (ANGELUS)","C2-AJ49","PackagingTechAsia","FRANCE"
"C.S.B. MACHINE GROUP CO., LTD.","C1-B21","Digitalization","THAILAND"
"C.T. PACKAGING SERVICE CO., LTD.","C1-C78","Coldchain,Logistics,Warehousing&FactoryAsia","THAILAND"
"C.T. SUPER SALES & SERVICES LTD.,PART","C3-AP54","ProcessingTechAsia","THAILAND"
"C.VA. ENGINEERING CO., LTD.","C3-AR62","ProcessingTechAsia","THAILAND"
"C3 MEDIA PTE LTD.","C1-AA66","N/A","SINGAPORE"
"CAB TECHNOLOGY CO., LTD.","C2-Y48A","PackagingTechAsia","TAIWAN"
"CAI MACHINE GROUP CO., LTD","C1-M34","PackagingSolutionsAsia","CHINA"
"CAMOZZI AUTOMATION SPA","C2-AJ44","PackagingTechAsia","ITALY"
"CANGZHOU EIAHE PACKING MACHINERY CO., LTD.","C1-M04","PackagingTechAsia","CHINA"
"CANNEED INSTRUMENT GROUP LIMITED","C2-Y86","PackagingTechAsia","CHINA"
"CENTRAL INTERNATIONAL MACHINERY CO,.LTD","C1-J12","PackagingSolutionsAsia","CHINA"
"CENTRAL SOUTH PACKING (THAILAND) CO., LTD.","C2-V28","PackagingTechAsia","THAILAND"
"CEPI SPA","C3-AK24","PackagingTechAsia","ITALY"
"CHAI MACHINERY SUPPLY CO., LTD.","C3-AW66","ProcessingTechAsia","THAILAND"
"CHANGSHENGDA MACHINERY (ZHEJIANG) CO., LTD","C3-AL67","ProcessingTechAsia","CHINA"
"CHANGSHU CLEVERTECH AUTOMATION CO., LTD.","C1-D59","Coding,Marking&LabellingAsia","CHINA"
"CHANGZHOU BENHE INTELLIGENT TECHNOLOGY CO., LTD.","C2-AG62","DrinkTechAsia","CHINA"
"CHANGZHOU NE-TRANS INTERNATIONAL CO.,LTD.","C3-AR63","ProcessingTechAsia","CHINA"
"CHAOZHOU CHAOAN ANBU XINJIAGE COLOR PRINTING FACTORY","C1-B42","Digitalization","CHINA"
"CHAOZHOU CHAOAN DENGFENG COLOR PRINTING CO.,LTD","C2-V28","PackagingTechAsia","CHINA"
"CHAOZHOU CHAOAN MEILUN PRINTING CO., LTD","C1-B32","Digitalization","CHINA"
"CHAOZHOU JINGCHENG FILM-TECH CO., LTD.","C1-M32","PackagingSolutionsAsia","CHINA"
"CHARATCHAI MACHINERY LTD.,PART","C3-BA39","ProcessingTechAsia","THAILAND"
