,url,Nature of Business,Location,Main Categories,Brands,Contact Person,Office Address,Country/Region,Major Markets,Position,Year of Establishment,Total Employees,Annual Turnover
455,https://sourcing.hktdc.com/en/Supplier-Store/Profile/Avant-Gold-Limited/1X0531JE,Manufacturer,Hong Kong,,,Li Fung,"Shop G13-15, G/F., Century House, 3-4 Hanoi Rd., Tsim Sha Tsui, Kln., Hong Kong",Hong Kong,Worldwide ODM OEM,Manager,,,
456,https://sourcing.hktdc.com/en/Supplier-Store/Profile/Best-Power-HK-Enterprises-Ltd/1X00OFR0,"Exporter, Manufacturer",Hong Kong,"Consumer Electronics, Costume & Fashion Jewellery, Eyewear & Accessories, Watches & Clocks",Best Power ODM OEM View details Factory & Facility,Miss Kathy Liu,"Unit E, 11/F, Wing Cheung Industrial Building, 109 How Ming Street, Kwun Tong, Kowloon, Hong Kong",Hong Kong,Worldwide,Merchandiser,2002.0,101 - 200,"US$ 250,000 - 499,999"
457,https://sourcing.hktdc.com/en/Supplier-Store/Profile/C-F-Jewellery-Mfr-Ltd/1X03X6F3,"Manufacturer, Wholesaler",Hong Kong,"Fine Jewellery, Jewellery & Watch",,Mr Jeffrey Luk,"Unit A2, 11/F, Phase 1 Kaiser Estate, 41 Man Yue Street, Hung Hom, Kowloon, Hong Kong",Hong Kong,"Africa, Australasia, Central & South America, Chinese Mainland, Eastern Europe, Japan, Korea, Middle East, North America, Other Asian Countries, Scandinavia, Southeast Asia, Taiwan, Western Europe",Manager,2008.0,26 - 50,"US$ 5,000,000 - 9,999,999"
458,https://sourcing.hktdc.com/en/Supplier-Store/Profile/Cheng-Cheung-Co-HK-Ltd/1X009X90,Manufacturer,Hong Kong,"Clothing/ Garments, Costume & Fashion Jewellery, Fashion Accessories, Fashion, Eyewear & Accessories, Fine Jewellery, Jewellery & Watch",,Miss Cheryl Wong,"Unit 18, 9/F, Pacific Trade Centre, 2 Kai Hing Road, Kowloon Bay, Kowloon, Hong Kong.",Hong Kong,Worldwide,Marketing Executive,1984.0,101 - 200,"US$ 10,000,000 - 49,999,999 ODM OEM"
459,https://sourcing.hktdc.com/en/Supplier-Store/Profile/DKN-Jewellery-HK-Co-Ltd/1X00CUQS,Manufacturer,Hong Kong,"Fine Jewellery, Jewellery & Watch",,Mr Danny Budhrani,"Room 1001, Katherine House, 53-55 Chatham Road, Tsim Sha Tsui, Kowloon, Hong Kong",Hong Kong,,Director,,,
460,https://sourcing.hktdc.com/en/Supplier-Store/Profile/Dehres/1S00OQ64I,,Hong Kong,"Clothing/ Garments, Fashion Accessories, Fashion, Eyewear & Accessories, Fine Jewellery, Jewellery & Watch",,Mr Karim Hebrahim,,Hong Kong,,,,,
461,https://sourcing.hktdc.com/en/Supplier-Store/Profile/Desear-Limited/1S00OSZN4,"Exporter, Importer, Manufacturer, Wholesaler",Hong Kong,Fine Jewellery,,Mr Dick Wai Parco Lam,"Unit D1, 9/F, Kaiser Estate Phase 1, 41 Man Yue Street, Hung Hom, Kowloon, Hong Kong",Hong Kong,"Australasia, Central & South America, Chinese Mainland, Eastern Europe, Hong Kong, Japan, Korea, Middle East, North America, Other Asian Countries, Scandinavia, Southeast Asia, Taiwan, Western Europe",General Manager,2010.0,201 - 500 24K Gold Diamond Jewelry CNC Jewelry Casting Jewelry,
462,https://sourcing.hktdc.com/en/Supplier-Store/Profile/Facets-Hong-Kong-Limited/1X06BOU6,Manufacturer,Hong Kong,"Jewellery & Watch, Loose Stones & Raw Materials",,Mr Kunal Anil Jain,"Unit No. 10, 15/F, Peninsula Square, 18 Sung On Street, Hung Hom, Kowloon, Hong Kong",Hong Kong,Southeast Asia,-,,,
463,https://sourcing.hktdc.com/en/Supplier-Store/Profile/Grand-Central-Jewellery-Ltd/1X00A0DN,Manufacturer,Hong Kong,"Fine Jewellery, Jewellery & Watch, Jewellery Parts & Tools",,Mr Grand Lee,"Room 1511, Austin Tower, 22-26 Austin Avenue, Tsim Sha Tsui, Kowloon, Hong Kong.",Hong Kong,North America ODM OEM,Director,,,
464,https://sourcing.hktdc.com/en/Supplier-Store/Profile/Kayra-Creation-Limited/1X0AAMJN,,Hong Kong,"Fine Jewellery, Jewellery & Watch",,Dhavalkumar Kakadia,"408, 4/F, Heng Ngai Jewellery Centre, 4 Hok Yuen Street, Hung Hom, Kowloon, Hong Kong",Hong Kong,,Director,,,
