company name,location,,Nature of Business,Product / Service Range,supplier_url,exhibitor_url,Company Background,Exhibit / Brand / Service Description,Company Website,HKTDC Events,Certificates,Other Certificates,Brand Name
Leung So Kee Umbrella Factory,Hong Kong,,"Manufacturer, Retailer",,N/A,https://www.hktdc.com/event/homedelights/en/exhibitor/1S0065AZT?fairCode=homedelights&locale=en,,梁蘇記創立於 1885 年，我們一直堅持以人手製造及提供遮骨永久保養的售後服務。 我們亦可為客人提供訂造服務。,leungsokee.com,Exhibited in HKTDC Event(s) in recent years HKTDC Home Delights Expo 2026 HKTDC Home Delights Expo 2025,,,
Man Wah Trading Company,Hong Kong,,,,N/A,https://www.hktdc.com/event/homedelights/en/exhibitor/1S00650O0?fairCode=homedelights&locale=en,,"樟木油，樟木榕，香茅油，松焦油膏，蛋黃油，護髮水，通渠條, 足貼, 足部用品",,Exhibited in HKTDC Event(s) in recent years HKTDC Home Delights Expo 2026 HKTDC Home Delights Expo 2025,,,日常生活
Polarwafter,Hong Kong,,,,N/A,https://www.hktdc.com/event/homedelights/en/exhibitor/1S0064XUL?fairCode=homedelights&locale=en,,,,Exhibited in HKTDC Event(s) in recent years HKTDC Home Delights Expo 2026 HKTDC Home Delights Expo 2025,,,
Quooker Hong Kong Limited,Hong Kong,,"Manufacturer, Wholesaler","Water Purifier, Filtered Water Dispenser, Water Filter Machine",N/A,https://www.hktdc.com/event/homedelights/en/exhibitor/1S00649X0?fairCode=homedelights&locale=en,"The Quooker was the very first boiling-water tap in the world. Inventions like the high-vacuum insulated tank, the all-in-one taps Quooker Fusion and Flex and the series of black boiling-water taps brought about a revolution in the kitchen. Innovation 'around the sink' still continues every day. Quooker is well on its way to conquering the world. Since it was invented in 1970 by Henri Peteri, the boiling-water tap has become an indispensable tool in kitchens all over the world. Quooker in Ridderkerk, Holland, has more than 450 people working on new technical ideas and design solutions to make the taps even more efficient, even easier to use and even more attractive.","A Quooker system is pure convenience. It provides 100?C boiling, cold, chilled still and even chilled sparkling water directly from the tap and all filtered.",quooker.hk,Exhibited in HKTDC Event(s) in recent years HKTDC Home Delights Expo 2026 HKTDC Home Delights Expo 2025,,,
Riley Creative Company,Hong Kong,,,,N/A,https://www.hktdc.com/event/homedelights/en/exhibitor/1S0064XVI?fairCode=homedelights&locale=en,We are committed to incorporating coins from different countries into our designs to showcase diverse styles and unique regional characteristics.,,rileythejewellery.shoplineapp.com,Exhibited in HKTDC Event(s) in recent years HKTDC Home Delights Expo 2026 HKTDC Hong Kong Sports and Leisure Expo 2026 HKTDC Home Delights Expo 2025,,,Riley The Jewellery
Rise Sky International Industrial Limited,Hong Kong,,,,N/A,https://www.hktdc.com/event/homedelights/en/exhibitor/1S00649V6?fairCode=homedelights&locale=en,,,,,,,
Sell 2 World Company Limited,Hong Kong,,,,N/A,https://www.hktdc.com/event/homedelights/en/exhibitor/1S0064A82?fairCode=homedelights&locale=en,,,,,,,
Shiok Shop,Hong Kong,,,,N/A,https://www.hktdc.com/event/homedelights/en/exhibitor/1S0064XWF?fairCode=homedelights&locale=en,,"紓壓按鍵, 自家手作產品, 手工皂, 擴香石,驅蚊石。日本進口線香及法國進口香薰。",www.facebook.com/shiokshop,Exhibited in HKTDC Event(s) in recent years HKTDC Home Delights Expo 2026 HKTDC Home Delights Expo 2025,,,
Sunlike Fabric Company,Hong Kong,,,,N/A,https://www.hktdc.com/event/homedelights/en/exhibitor/1S0064XXC?fairCode=homedelights&locale=en,"專門搜羅各種時尚寵物及奴才飾品及用品, 為主子及奴才們帶來最新寵物款式潮流飾品, 確保品質優良,舒適,時尚","專門搜羅各種時尚寵物服裝同用品, 為主子們帶來最新寵物潮流, 確保品質優良, 舒適, 時尚. Stylish your pet with fashion and care.",,Exhibited in HKTDC Event(s) in recent years HKTDC Home Delights Expo 2026 HKTDC Hong Kong Book Fair 2026 HKTDC Home Delights Expo 2025,,,PET.TUNE
Sunrise Trading Co,Hong Kong,,,,N/A,https://www.hktdc.com/event/homedelights/en/exhibitor/1S00650PX?fairCode=homedelights&locale=en,,,,,,,
Suntronics Investment Limited,Hong Kong,,,,N/A,https://www.hktdc.com/event/homedelights/en/exhibitor/1S00649U9?fairCode=homedelights&locale=en,,,,,,,
Tinkyo Design Company Limited,Hong Kong,,,,N/A,https://www.hktdc.com/event/homedelights/en/exhibitor/1S0064A3H?fairCode=homedelights&locale=en,,,,,,,
Total Nutrition Center Ltd,Hong Kong,,,,N/A,https://www.hktdc.com/event/homedelights/en/exhibitor/1S00650SO?fairCode=homedelights&locale=en,,,,,,,
Trendy Trading (HK) Limited,Hong Kong,,,,N/A,https://www.hktdc.com/event/homedelights/en/exhibitor/1S00649YX?fairCode=homedelights&locale=en,,,,,,,
"White Pan and Wok Co., Limited",Hong Kong,,,,N/A,https://www.hktdc.com/event/homedelights/en/exhibitor/1S00653QR?fairCode=homedelights&locale=en,,,,,,,
Wing Yip International Limited,Hong Kong,,,,N/A,https://www.hktdc.com/event/homedelights/en/exhibitor/1S0064A0Q?fairCode=homedelights&locale=en,,,,,,,
iRecycle Charity Foundation Limited,Hong Kong,,,,N/A,https://www.hktdc.com/event/homedelights/en/exhibitor/1S0065CJ3?fairCode=homedelights&locale=en,,,,,,,
