company name,location,,Nature of Business,Product / Service Range,supplier_url,exhibitor_url,Company Background,Exhibit / Brand / Service Description,Company Website,HKTDC Events,Certificates,Other Certificates,Brand Name
DTSZB LIMITED,Hong Kong,,Wholesaler,"General Home Items, Wood Crafts, Knitting Crafts, Interior Design, General Home Items, Wood Crafts, Knitting Crafts, Interior Design, General Home Items, Wood Crafts, Knitting Crafts, Interior Design",N/A,https://www.hktdc.com/event/homedelights/en/exhibitor/1S0066KJV?fairCode=homedelights&locale=en,,"We specialize in handcrafted tea goods, daily necessities, and home decor art pieces. Our master craftsmen make everything entirely by hand, combining techniques like sun-dye weaving, braiding, painting, and carving. Our works carry deep traditional",,Exhibited in HKTDC Event(s) in recent years HKTDC Home Delights Expo 2026,,,
"Hong Kong Q-Mark Council, Federation of Hong Kong Industries",Hong Kong,,Trade/Industrial Organisation,,N/A,https://www.hktdc.com/event/homedelights/en/exhibitor/1S0064Q24?fairCode=homedelights&locale=en,"The Hong Kong Q-Mark Council was established by the Federation of Hong Kong Industries in 1978 to promote quality and best practices. It enhances product, service, and environmental standards through various Q-Mark certification schemes. The Council comprises leaders from industry and academia, supported by a dedicated secretariat. Its certification schemes, including Product, Service, Green Mark, Q-ESG, and Silver Scheme, ensure consistent quality through regular independent audits. These initiatives help companies strengthen credibility, enhance brand image, and maintain high quality standards.","Provide certification under the Hong Kong Q-Mark Silver Scheme, covering both products and services for the elderly. The scheme includes care food, gerontechnology products, elderly care services, and catering services offering soft meals. Through pr",,Exhibited in HKTDC Event(s) in recent years HKTDC Food Expo PRO 2026 HKTDC Home Delights Expo 2026 HKTDC Food Expo 2025 HKTDC Food Expo 2024 HKTDC Food Expo 2023 HKTDC Food Expo 2022 HKTDC Food Expo 2021 HKTDC Food Expo 2019 Show More,,,
Inzo Limited,Hong Kong,,,,N/A,https://www.hktdc.com/event/homedelights/en/exhibitor/1S0064XRU?fairCode=homedelights&locale=en,,人造鑽飾品,,Exhibited in HKTDC Event(s) in recent years HKTDC Home Delights Expo 2026,,,
Kisdi Art Catering,Hong Kong,,,,N/A,https://www.hktdc.com/event/homedelights/en/exhibitor/1S0064XY9?fairCode=homedelights&locale=en,,領導SEN人士用廢紙再造紙，再成為禮品手信 共融 香港製造upcycling,www.kisdiartcateing.com,Exhibited in HKTDC Event(s) in recent years HKTDC Home Delights Expo 2026,,,Play Play paper
Master Plus Interior Design Limited,Hong Kong,,"Distributor, Manufacturer, Others","Interior Design, Interior Design",N/A,https://www.hktdc.com/event/homedelights/en/exhibitor/1S0064PYH?fairCode=homedelights&locale=en,"Master Plus Interior Design is a local interior design brand in Hong Kong with rich design experience and profound industry knowledge. It pays attention to details, quality, functionality and practicality, and is committed to providing a full range of high-quality interior design, decoration engineering and maintenance services, covering residential and commercial projects. At the same time, Master Plus Interior Design provides a variety of ready-made furniture, electrical system and products for customers to choose from, as well as customized furniture services, providing tailor-made high-quality service solutions based on customers' preferences and needs.","We provides a variety of ready-made furniture and electrical system & products for customers to choose from, including the agency of Lamboo furniture, German Pool home appliances, LOCKIS smart door locks, Megaman Lighting, Philips water purifiers etc",masterplushk.com,Exhibited in HKTDC Event(s) in recent years HKTDC Home Delights Expo 2026 HKTDC Home Delights Expo 2025,,,
Purepro Water Hong Kong Limited,Hong Kong,,"Wholesaler, Export Agent, Distributor, Import Agent, Retailer","Electric Kettle, Food Waste Disposer, Household Disinfectant Products, Water Filter Machine, Safe Products, Water Purifier, Coffee Maker, Kitchen Cabinet, Hand Sanitizer, Filtered Water Dispenser, Personal Care Product, Electric Water Dispenser, Pet Supplies",N/A,https://www.hktdc.com/event/homedelights/en/exhibitor/1S0064A9Z?fairCode=homedelights&locale=en,"Purepro Water Hong Kong Limited establish a new brand ""KIYO"" to promote healthy life by a good quality of water from the most safety purification system, reverse osmosis, with reasonable prices, user friendly design, the best investment you'll ever make in the health and well-being of your family.","Under-sink reverse osmosis system, countertop reverse osmosis, Water dispenser with reverse osmosis system, instant heat faucet, Soda Water dispenser, floor standing water dispenser, coffee dispenser, instant Sanitizier, whole house filration system.",www.pure-pro.com.hk,Exhibited in HKTDC Event(s) in recent years HKTDC Home Delights Expo 2026,,,
RELIVE Haven Limited,Hong Kong,,,,N/A,https://www.hktdc.com/event/homedelights/en/exhibitor/1S0065WB7?fairCode=homedelights&locale=en,"*Relive Haven 瑞生悅境* 專注於睡眠康養、銀髮健康、身心修復及智慧 wellness 體驗。我們結合天然香薰、AI wellness scan、五感沉浸、可量度數據及模組化康養設備，打造 *Relive Haven Recharge Pod 沉浸式身心修復艙*，為酒店、會所、企業、康養中心、護老院及日間護理中心提供可營運、可複製、可收費的康養服務方案。 我們的核心理念是：*睡得好，不只是睡著，而是讓身體真正回到可以修復的狀態。* *Relive Haven* focuses on sleep wellness, silver market wellbeing, mind-body recovery and smart wellness experiences. By integrating natural aromatherapy, AI wellness scan, five-sense immersion, measurable wellness data and modular recovery technologies, we create the *Relive Haven Recharge Pod* — an immersive recovery pod designed for hotels, clubhouses, corporate offices, wellness centres, elderly care homes and day care centres. Our mission is to provide measurable, personalised and operable wellness solutions that help people shift from stress mode into a deeper state of relaxation and recovery.""",,,Exhibited in HKTDC Event(s) in recent years HKTDC Home Delights Expo 2026,,,
Resmed Hong Kong Limited,Hong Kong,,,,N/A,https://www.hktdc.com/event/homedelights/en/exhibitor/1S0065W4S?fairCode=homedelights&locale=en,ResMed 源自澳洲，是全球睡眠技術的領導者。我們的目標是透過推廣良好的睡眠習慣和提高大眾對睡眠窒息症等睡眠障礙的認識，為大眾提供喚醒最佳狀態和享受更健康生活的手段。,,www.resmed.hk,Exhibited in HKTDC Event(s) in recent years HKTDC Home Delights Expo 2026,,,
"SC Logistics Co., Limited",Hong Kong,,Others,Mini Storage,N/A,https://www.hktdc.com/event/homedelights/en/exhibitor/1S00650M6?fairCode=homedelights&locale=en,,"We are Sc Storage, which founded in 2001. We provide storage services to customer to solve the problem of lack of space.We have more than 50 branch all over Hong Kong.Our target customer are widely, whether commercial or general family.",www.scstorage.com,Exhibited in HKTDC Event(s) in recent years HKTDC Home Delights Expo 2026 HKTDC Home Delights Expo 2025,,,
Sun Life Hong Kong Limited,Hong Kong,,,,N/A,https://www.hktdc.com/event/homedelights/en/exhibitor/1S0065WAA?fairCode=homedelights&locale=en,"""Sun Life永明的使命是為客戶提供終身的理財保障及健康生活。 我們明白，每位客戶都有獨一無二的需要和價值取向，人生路上，總有不同理想。我們的專才，就是竭盡所能讓客戶在計劃未來時， 作出最合適的理財決定。 源自1865 年的加拿大一直至今，永明金融對客戶，就是一份熱愛生命的堅持。我們不斷創新，贏得信任，專心致志帶來最貼心的理財保障方案，讓客戶跟摯愛一起，活出所想。 永明金融在全球多個市場發展業務，當中包括加拿大、美國、英國、愛爾蘭、香港、菲律賓、日本、印尼、印度、中國、澳洲、新加坡、越南、馬來西亞及百慕達。 截至2025年12月31日止，永明金融管理的總資產為16,000億加元。 香港永明金融有限公司（於百慕達註冊成立之有限責任公司）為加拿大永明人壽保險公司的全資附屬公司並在香港營運。""",,www.sunlife.com.hk,Exhibited in HKTDC Event(s) in recent years HKTDC Home Delights Expo 2026,,,
Sunshine Lighting Limited,Hong Kong,,Import Agent,Lighting Product,N/A,https://www.hktdc.com/event/homedelights/en/exhibitor/1S00649ZU?fairCode=homedelights&locale=en,,SUNSHINE LED,,Exhibited in HKTDC Event(s) in recent years HKTDC Home Delights Expo 2026 HKTDC Home Delights Expo 2023 HKTDC Home Delights Expo 2022,,,
ZenoWell Limited,Hong Kong,,,,N/A,https://www.hktdc.com/event/homedelights/en/exhibitor/1S0065W7J?fairCode=homedelights&locale=en,,,zenowell.ai,Exhibited in HKTDC Event(s) in recent years HKTDC Home Delights Expo 2026,,,
i-Sense (Asia) Limited,Hong Kong,,Retailer,"Personal Care Product, Travel Good & Bag, Personal Care Product, Travel Good & Bag",N/A,https://www.hktdc.com/event/homedelights/en/exhibitor/1S00664FN?fairCode=homedelights&locale=en,"i-Sense is a local Hong Kong company dedicated to providing high-quality lifestyle and wellness products to local customers. We serve our community guided by the principles of sensation, health, and lifestyle.","Professional Insole , Japan Style Bag and some home accessories",www.isense.asia,Exhibited in HKTDC Event(s) in recent years HKTDC Home Delights Expo 2026,,,
