Company Name,Location,Booth,url
"Gems Asia Co., Ltd.",Thailand,['Booth: AWE 9-E40   |   Semi-Precious Stone   |   '],/event/hkdgp/en/exhibitor/1S005XHJY
Mazhar International,India,['Booth: AWE 9-E40   |   Semi-Precious Stone   |   '],/event/hkdgp/en/exhibitor/1S005VBJ4
Nimesh Gems,India,['Booth: AWE 9-E40   |   Semi-Precious Stone   |   '],/event/hkdgp/en/exhibitor/1S005VO26
"Precious Colour Gems Co., Ltd",Thailand,['Booth: AWE 9-E40   |   Semi-Precious Stone   |   '],/event/hkdgp/en/exhibitor/1S005XILR
Thai Gem Centre Company Limited,Thailand,['Booth: AWE 9-E40   |   Semi-Precious Stone   |   '],/event/hkdgp/en/exhibitor/1S005XJ45
The Gem & Jewellery Export Promotion Council,India,['Booth: AWE 9-E40   |   Semi-Precious Stone   |   '],/event/hkdgp/en/exhibitor/1S005YM6W
Asia Pearl International Limited,Hong Kong,['Booth: AWE 9-E40   |   Semi-Precious Stone   |   '],/event/hkdgp/en/exhibitor/1S005Y6GI
Ethereal Green Diamond (HK) Limited,Hong Kong,['Booth: AWE 9-E40   |   Semi-Precious Stone   |   '],/event/hkdgp/en/exhibitor/1S005Y8ZV
Iskkon,Hong Kong,['Booth: AWE 9-E40   |   Semi-Precious Stone   |   '],/event/hkdgp/en/exhibitor/1S005YC66
J K Gems,Hong Kong,['Booth: AWE 9-E40   |   Semi-Precious Stone   |   '],/event/hkdgp/en/exhibitor/1S005Y90R
K. P. Sanghvi HK Limited,Hong Kong,['Booth: AWE 9-E40   |   Semi-Precious Stone   |   '],/event/hkdgp/en/exhibitor/1S005UTHS
Kira Diam (HK) Limited,Hong Kong,['Booth: AWE 9-E40   |   Semi-Precious Stone   |   '],/event/hkdgp/en/exhibitor/1S005VBI7
Kunming International Limited,Hong Kong,['Booth: AWE 9-E40   |   Semi-Precious Stone   |   '],/event/hkdgp/en/exhibitor/1S005UI2C
Laxmi HK,Hong Kong,['Booth: AWE 9-E40   |   Semi-Precious Stone   |   '],/event/hkdgp/en/exhibitor/1S005YFXU
M.I.D. (HK) Limited,Hong Kong,['Booth: AWE 9-E40   |   Semi-Precious Stone   |   '],/event/hkdgp/en/exhibitor/1S005YCOO
Purity (H.K.) Company Limited,Hong Kong,['Booth: AWE 9-E40   |   Semi-Precious Stone   |   '],/event/hkdgp/en/exhibitor/1S005UTUP
Rushidiam (HK) Limited,Hong Kong,['Booth: AWE 9-E40   |   Semi-Precious Stone   |   '],/event/hkdgp/en/exhibitor/1S005UTQ1
S. Jewels (HK) Limited,Hong Kong,['Booth: AWE 9-E40   |   Semi-Precious Stone   |   '],/event/hkdgp/en/exhibitor/1S005URIR
Scenario Gems,Hong Kong,['Booth: AWE 9-E40   |   Semi-Precious Stone   |   '],/event/hkdgp/en/exhibitor/1S005YIQC
Shrey International Limited,Hong Kong,['Booth: AWE 9-E40   |   Semi-Precious Stone   |   '],/event/hkdgp/en/exhibitor/1S005YIU0
Stellar Group HK Limited,Hong Kong,['Booth: AWE 9-E40   |   Semi-Precious Stone   |   '],/event/hkdgp/en/exhibitor/1S005UTYD
Sunrise Diamonds Limited,Hong Kong,['Booth: AWE 9-E40   |   Semi-Precious Stone   |   '],/event/hkdgp/en/exhibitor/1S005YIT3
Ever Unity Limited,Hong Kong,['Booth: AWE 9-E40   |   Semi-Precious Stone   |   '],/event/hkdgp/en/exhibitor/1S005Y9RI
Yondor Diamonds HK Limited,Hong Kong,['Booth: AWE 9-E40   |   Semi-Precious Stone   |   '],/event/hkdgp/en/exhibitor/1S005YJ45
Aditya Gems,India,['Booth: AWE 9-E40   |   Semi-Precious Stone   |   '],/event/hkdgp/en/exhibitor/1S005Y7NW
Anjali Labtech Limited,India,['Booth: AWE 9-E40   |   Semi-Precious Stone   |   '],/event/hkdgp/en/exhibitor/1S005VCPL
"Ansabro Gem Co., Ltd.",Thailand,['Booth: AWE 9-E40   |   Semi-Precious Stone   |   '],/event/hkdgp/en/exhibitor/1S005XIXR
"Arham (Thai) Co., Ltd.",Thailand,['Booth: AWE 9-E40   |   Semi-Precious Stone   |   '],/event/hkdgp/en/exhibitor/1S005XI1F
