ref,department,url,batch_time,description,award_date,awardee,sum
1020EM15W,Electrical and Mechanical Services Department,https://www.emsd.gov.hk/en/tenders_contracts_and_consultancies/tender_notices/tender_notices/index_id_234.html,2026-03-08 16:28:30.070572,Supply and Installation of Sea Water Cooled Air-conditioning Installations at Air Mail Centre / Air-conditioning Installation,Aug 2015,Shun Hing E & M Engineering Limited,"HK$12,983,000.00"
2003EM14T,Electrical and Mechanical Services Department,https://www.emsd.gov.hk/en/tenders_contracts_and_consultancies/tender_notices/tender_notices/index_id_232.html,2026-03-08 16:28:30.070572,"Triennial Term Contract for Maintenance of Digital Red Light Camera System (Phase III) for Hong Kong Police Force / Maintenance, testing, repair, alteration, addition and modification of the Digital Red Light Camera System (Phase III) for Hong Kong Police Forece",Aug 2015,Win Promise Limited,"HK$18,188,888.00"
1887EM14T,Electrical and Mechanical Services Department,https://www.emsd.gov.hk/en/tenders_contracts_and_consultancies/tender_notices/tender_notices/index_id_231.html,2026-03-08 16:28:30.070572,"Triennial Term Contract for Maintenance of Speed Enforcement Camera System (Phase II) for Hong Kong Police Force / Maintenance, testing, repair, alteration, addition and modification of the Speed Enforcement Camera System (Phase II) for Hong Kong Police Forece",Aug 2015,QTC Traffic Technology Ltd.,"HK$19,877,706.00"
1288EM14T,Electrical and Mechanical Services Department,https://www.emsd.gov.hk/en/tenders_contracts_and_consultancies/tender_notices/tender_notices/index_id_210.html,2026-03-08 16:28:30.070572,4-year Term Contract for Maintenance Services of Digital Trunked Radio System (Infrastructure) for Hong Kong Fire Services Department / Radio Electronics Installation,Aug 2015,Cassidian Hong Kong Limited,"HK$17,953,297.00"
2249EM14T,Electrical and Mechanical Services Department,https://www.emsd.gov.hk/en/tenders_contracts_and_consultancies/tender_notices/tender_notices/index_id_233.html,2026-03-08 16:28:30.070572,"36-month Term Contract for Maintenance of Air-conditioning and Electrical Installations at Ruttonjee Hospital, Tung Wah Eastern Hospital and Cheshire Home Chung Hom Kok / Air-conditioning Installation",Jul 2015,Westco Airconditioning Limited,"HK$13,881,323.88"
1033EM15T,Electrical and Mechanical Services Department,https://www.emsd.gov.hk/en/tenders_contracts_and_consultancies/tender_notices/tender_notices/index_id_236.html,2026-03-08 16:28:30.070572,Triennial Term Contract for Maintenance of Security and Electronic Systems at Lo Wu Correctional Institution / Burglar Alarm and Security Installation,Jul 2015,Chubb Hong Kong Limited,"HK$10,080,019.00"
2246EM14T,Electrical and Mechanical Services Department,https://www.emsd.gov.hk/en/tenders_contracts_and_consultancies/tender_notices/tender_notices/index_id_229.html,2026-03-08 16:28:30.070572,"Quadrennial Term Contract for Provision of Maintenance, Modification and Installation works on Tai Po and North District Area Traffic Control System / Maintenance, modification and installation works for the Area Traffic Control System in Tai Po and North District",Jul 2015,Shun Hing Systems Integration Company Limited,"HK$10,055,932.00"
1555EM14W,Electrical and Mechanical Services Department,https://www.emsd.gov.hk/en/tenders_contracts_and_consultancies/tender_notices/tender_notices/index_id_208.html,2026-03-08 16:28:30.070572,Provision of Sound Reinforcement and Audio Visual Transmission System in the West Kowloon Law Courts Building for the Judiciary / Audio Electronics Installation,Jul 2015,Media-Go Engineering Limited,"HK$11,202,090.00"
1488EM14W,Electrical and Mechanical Services Department,https://www.emsd.gov.hk/en/tenders_contracts_and_consultancies/tender_notices/tender_notices/index_id_220.html,2026-03-08 16:28:30.070572,Replacement of Air-conditioning Systems at Cheung Sha Wan Government Offices Building / Air-conditioning Installation,Jul 2015,Shun Hing E & M Engineering Limited,"HK$6,938,338.00"
2617EM14T,Electrical and Mechanical Services Department,https://www.emsd.gov.hk/en/tenders_contracts_and_consultancies/tender_notices/tender_notices/index_id_230.html,2026-03-08 16:28:30.070572,Biennial Term Contract for Operation and Maintenance of Data Centre Infrastructure at Siu Ho Wan Maintenance Depot / Air-conditioning Installation,Jun 2015,Lucky Engineering Company Limited,"HK$4,664,300.00"
