Contract Number,Contract Title,Date of award,Nature of Works,Tendering Procedure,Contractor(s),Original Contract Sum,url,Commencement Date,Original Completion Date,Location,Contract Value
2227EM22T,Triennial Term Contract for Maintenance of Mechanical Installations for Hong Kong Port (HKP) and Hong Kong Link Road (HKLR) at Hong Kong Zhuhai Macao Bridge,Jan 2023,Mechanical Plant and Equipment Installation,Selective,ATAL Engineering Limited,"$77,860,832.00",https://www.emsd.gov.hk/en/tenders_contracts_and_consultancies/tender_notices/tender_notices/index_id_5189.html,,,,
1735EM22W,Supply and Installation of Chiller Systems and Associated Equipment in Municipal Venues in the New Territories West,Jan 2023,Air Conditioning Installation,Selective,Quad-Tech Engineering (H.K.) Company Limited,"$6,160,800.00",https://www.emsd.gov.hk/en/tenders_contracts_and_consultancies/tender_notices/tender_notices/index_id_4182.html,,,,
1081EM22T,"Triennial Term Contract for Maintenance of Heating, Ventilation & Air-conditioning Installations at Municipal Venues in the New Territories West",Dec 2022,Air Conditioning Installation,Selective,Standard Refrigeration & Engineering Company Limited,"$175,683,600.00",https://www.emsd.gov.hk/en/tenders_contracts_and_consultancies/tender_notices/tender_notices/index_id_4153.html,,,,
1557EM22W,Replacement of Traffic Surveillance System in the Tsing Sha Control Area,Dec 2022,"dismantling and renovation of existing traffic surveillance system, including supply, installation, testing and commissioning of new system and migration of services.",Open,Shine Union Limited,"$21,976,045.00",https://www.emsd.gov.hk/en/tenders_contracts_and_consultancies/tender_notices/tender_notices/index_id_4185.html,,,,
1689EM22W,Replacement of 7 Lifts at Macau Ferry Terminal,Dec 2022,"Lift, Escalator and Passenger Conveyor Installation",Selective,Kone Elevator (HK) Limited,"$8,700,000.00",https://www.emsd.gov.hk/en/tenders_contracts_and_consultancies/tender_notices/tender_notices/index_id_5190.html,,,,
1615EM22T,Triennial Term Contract for Maintenance of Electrical and Mechanical Equipment and Installations for Health Sector Venues in New Territories West Region,Dec 2022,Steam and Compressed Air Installation,Selective,REC Engineering Company Limited,"$49,249,160.00",https://www.emsd.gov.hk/en/tenders_contracts_and_consultancies/tender_notices/tender_notices/index_id_4183.html,,,,
1098EM22T,Triennial Term Contract for the Comprehensive Maintenance and Repair of Lift Installations at Various Premises of Hospital Authority (SC22),Nov 2022,"Lift, Escalator and Passenger Conveyor Installation",Selective,Schindler Lifts (Hong Kong),"$23,431,008.00",https://www.emsd.gov.hk/en/tenders_contracts_and_consultancies/tender_notices/tender_notices/index_id_4103.html,,,,
1527EM22W,Replacement of HV Interconnector Cable at Aberdeen Tunnel,Nov 2022,Industrial Type Electrical Installation,Selective,Steadfast Engineering Limited,"$9,888,000.00",https://www.emsd.gov.hk/en/tenders_contracts_and_consultancies/tender_notices/tender_notices/index_id_4181.html,,,,
1095EM22T,30-month Term Contract for Maintenance and Improvement of Electrical and Mechanical installations for Hospitals and Clinics in New Territories East Region,Nov 2022,Electrical Installation,Selective,Au Chow Electrical Company Limite,"$56,222,000.00",https://www.emsd.gov.hk/en/tenders_contracts_and_consultancies/tender_notices/tender_notices/index_id_4156.html,,,,
1962EM20T,Quadrennial Term Contract for the Maintenance and Repair of Burglar Alarm and Security Installations at Various Disciplined Services Venues,Nov 2022,Burglar Alarm and Security Installation,Selective,EC Infotech Limited,"$25,138,270.00",https://www.emsd.gov.hk/en/tenders_contracts_and_consultancies/tender_notices/tender_notices/index_id_4146.html,,,,
1438EM22T,"36-Month Term Contract for Maintenance of Heating, Ventilation and Air-conditioning Installations for Hong Kong Children's Hospital",Oct 2022,Air Conditioning Installation,Selective,China State Mechanical & Electrical Engineering Limited,"$43,000,000.00",https://www.emsd.gov.hk/en/tenders_contracts_and_consultancies/tender_notices/tender_notices/index_id_4172.html,,,,
1558EM22W,Replacement of Traffic Control and Surveillance System in the Aberdeen Tunnel and Tate’s Cairn Tunnel,Oct 2022,"Dismantling and renovation of existing traffic control and surveillance system, including supply, installation, testing and commissioning of new system and migration of services.",Open,GTECH Services (Hong Kong) Limited,"$199,800,000.00",https://www.emsd.gov.hk/en/tenders_contracts_and_consultancies/tender_notices/tender_notices/index_id_4174.html,,,,
2750EM21W,Provision of Wrong-way Traffic Detection Feature for the Existing Automatic Incident Detection (AID) System and Human Intrusion System at Central-Wan Chai Bypass Tunnel,Oct 2022,"Supply, installation, delivery, testing and commissioning of wrong-way traffic detection feature for the existing Automatic Incident Detection (AID) System and Human Intrusion System at Central-Wan Chai Bypass Tunnel, including interfacing works with existing systems",Open,Parsons Delcan Inc.,"$13,688,000.00",https://www.emsd.gov.hk/en/tenders_contracts_and_consultancies/tender_notices/tender_notices/index_id_4168.html,,,,
2157EM21T,Triennial Term Contract for Maintenance and Repair of Vehicle Examination Equipment for Transport Department Vehicle Examination Complex of Transport Department for the Government of HKSAR,Oct 2022,Mechanical Plant and Equipment Installation,Selective,REC Engineering Company Limited,"$14,766,800.00",https://www.emsd.gov.hk/en/tenders_contracts_and_consultancies/tender_notices/tender_notices/index_id_4121.html,,,,
1012EM22T,30-month Term Contract for the Comprehensive Maintenance and Repair of Lift Installations at Various Premises of Hospital Authority (KO18),Oct 2022,"Lift, Escalator and Passenger Conveyor Installation",Selective,Kone Elevator (HK) Limited,"$23,236,540.00",https://www.emsd.gov.hk/en/tenders_contracts_and_consultancies/tender_notices/tender_notices/index_id_4120.html,,,,
2810EM21T,30-month Term Contract for the Comprehensive Maintenance and Repair of Lift Installations at Various Premises of the Hospital Authority (MT22),Oct 2022,"Lift, Escalator and Passenger Conveyor Installation",Selective,TK Elevator Hong Kong Limited,"$9,357,255.00",https://www.emsd.gov.hk/en/tenders_contracts_and_consultancies/tender_notices/tender_notices/index_id_4140.html,,,,
2874EM21T,Triennial Term Contract for Maintenance and Operation of Mobile Closed Circuit Television System for Transport Department,Oct 2022,Radio Electronics Installation,Selective,C.A. Sheimer (H.K.) Limited,"$11,144,600.00",https://www.emsd.gov.hk/en/tenders_contracts_and_consultancies/tender_notices/tender_notices/index_id_4099.html,,,,
2446EM21W,Revamp of Mechanical Ventilation System for Bayview Garden Bus Terminus,Oct 2022,Mechanical Plant and Equipment Installation,Selective,"The Jardine Engineering Corporation, Limited","$22,999,990.00",https://www.emsd.gov.hk/en/tenders_contracts_and_consultancies/tender_notices/tender_notices/index_id_4171.html,,,,
2678EM21W,"Replacement of Refractories and Insulation Bricks for Cremator No. 4, No. 5 and No. 6 at Wo Hop Shek Crematorium",Oct 2022,Mechanical Plant and Equipment Installation,Selective,"The Jardine Engineering Corporation, Limited","$42,382,500.00",https://www.emsd.gov.hk/en/tenders_contracts_and_consultancies/tender_notices/tender_notices/index_id_4155.html,,,,
2502EM21T,"Triennial Term Contract for Maintenance of Heating, Ventilation, Air-conditioning and Other Installations for Municipal Venues in New Territories East Areas",Oct 2022,Air Conditioning Installation,Selective,Alliance Contracting Company Limited,"$137,444,444.00",https://www.emsd.gov.hk/en/tenders_contracts_and_consultancies/tender_notices/tender_notices/index_id_4129.html,,,,
1317EM21T,"Triennial Term Contract for the Maintenance and Repair, Alteration and Additions to Fire Service Installations in Venues of the Government of the Hong Kong SAR Maintained by General Engineering Services Division in Kowloon and New Territories",Sep 2022,Fire Service Installation,Selective,REC Engineering Company Limited,"$29,746,980.00",https://www.emsd.gov.hk/en/tenders_contracts_and_consultancies/tender_notices/tender_notices/index_id_3001.html,,,,
1339EM22W,Replacement of Chillers and Other Air Conditioning Installations at Hong Kong Science Museum,Sep 2022,Air Conditioning Installation,Selective,Newland Engineering Limited,"$10,618,668.00",https://www.emsd.gov.hk/en/tenders_contracts_and_consultancies/tender_notices/tender_notices/index_id_4177.html,,,,
2661EM21T,"36-Month Term Contract for Maintenance and Improvement of Heating, Ventilation, Air-conditioning and Electrical Installations for Hospitals and Clinics in Kowloon Central Region",Sep 2022,Air Conditioning Installation,Selective,ATAL Engineering Limited,"$53,282,876.00",https://www.emsd.gov.hk/en/tenders_contracts_and_consultancies/tender_notices/tender_notices/index_id_4145.html,,,,
2140EM21T,54-Month Term Contract for the Comprehensive Maintenance and Repair of Escalator Installations at Various Premises of Hospital Authority (AE22),Sep 2022,"Lift, Escalator and Passenger Conveyor Installation",Selective,Anlev Elex Elevator Limited,"$16,113,798.16",https://www.emsd.gov.hk/en/tenders_contracts_and_consultancies/tender_notices/tender_notices/index_id_4110.html,,,,
2823EM21T,"33-Month Term Contract for the Maintenance and Repair of, Alterations and Additions to Fire Service Installations for Health Services Buildings in New Territories Region",Sep 2022,Fire Service Installation,Selective,Shun Cheong Electrical Engineering Company Limited,"$38,397,000.00",https://www.emsd.gov.hk/en/tenders_contracts_and_consultancies/tender_notices/tender_notices/index_id_4119.html,,,,
2839EM21T,Five-year Term Contract for Maintenance of Terrestrial Trunked Radio (TETRA) System for Correctional Services Department,Sep 2022,Radio Electronics Installation,Selective,Motorola Solutions Asia Pacific Limited,"$50,258,811.00",https://www.emsd.gov.hk/en/tenders_contracts_and_consultancies/tender_notices/tender_notices/index_id_4115.html,,,,
2805EM21T,30-Month Term Contract for the Comprehensive Maintenance and Repair of Lift Installations at Various Premises of the Hospital Authority (AE22),Sep 2022,"Lift, Escalator and Passenger Conveyor Installation",Selective,Anlev Elex Elevator Limited,"$46,445,003.40",https://www.emsd.gov.hk/en/tenders_contracts_and_consultancies/tender_notices/tender_notices/index_id_4111.html,,,,
1082EM22T,"Triennial Term Contract for the Maintenance, Repair, Alterations, Additions and Improvement for Broadcast Reception Installation and Satellite Master Antenna Television System for the Government of the Hong Kong Special Administrative Region",Aug 2022,Broadcast Reception Installation,Selective,EC Infotech Limited,"$10,714,856.00",https://www.emsd.gov.hk/en/tenders_contracts_and_consultancies/tender_notices/tender_notices/index_id_4141.html,,,,
1599EM21T,"36-month Term Contract for Maintenance of Automatic Vehicle Clearance Support System of Cargo Selectivity Centre, Fanling Monitoring Centre, Heung Yuen Wai, Kwai Chung Customs House, Lok Ma Chau, Man Kam To, Sha Tau Kok and Shenzhen Bay Boundary Control Points",Aug 2022,"Preventive Maintenance Service, Corrective Maintenance Service, Alternations, Additions and Improvement Works for the Automatic Vehicle Clearance Support Systems for various Boundary Control Points",Open,NEC Hong Kong Limited,"$38,888,888.00",https://www.emsd.gov.hk/en/tenders_contracts_and_consultancies/tender_notices/tender_notices/index_id_4096.html,,,,
1043EM22T,"Triennial Term Contract for Maintenance and Repair of Burglar Alarm and Security Installations at Central Government Offices, Chief Executive's Office and Legislative Council Complex, Tamar",Aug 2022,Burglar Alarm and Security Installation,Selective,Nixon Technology Company Limited,"$21,075,760.00",https://www.emsd.gov.hk/en/tenders_contracts_and_consultancies/tender_notices/tender_notices/index_id_4143.html,,,,
2531EM21T,Biennial Term Contract for Supply & Installation of Solar Photovoltaic (PV) Systems for Schools and Welfare NGOs,Aug 2022,Electrical Installation,Selective,Iu Cheong Electric Company,"$23,113,600.00",https://www.emsd.gov.hk/en/tenders_contracts_and_consultancies/tender_notices/tender_notices/index_id_4157.html,,,,
1606EM21T,"Triennial Term Contract for Building Services Fitting-out, Replacement and Improvement Works for Health Sector Venues in Kowloon East Region",Aug 2022,Air Conditioning Installation,Selective,Alliance Contracting Company Limited,"$68,940,052.00",https://www.emsd.gov.hk/en/tenders_contracts_and_consultancies/tender_notices/tender_notices/index_id_4147.html,,,,
1099EM22T,Triennial Term Contract for the Comprehensive Maintenance and Repair of Escalator Installations at Various Premises of Hospital Authority (SC22E),Aug 2022,"Lift, Escalator and Passenger Conveyor Installation",Selective,Schindler Lifts (Hong Kong),"$3,804,800.00",https://www.emsd.gov.hk/en/tenders_contracts_and_consultancies/tender_notices/tender_notices/index_id_4136.html,,,,
2522EM21T,Triennial Term Contract for the Comprehensive Maintenance and Repair of Lift Installations at Various Premises of the Government of the Hong Kong Special Administrative Region (Package One of SC22),Aug 2022,Comprehensive Maintenance and Repair of Lift Installations at Various Premises of the Government for 3 years,Open,Holake Hong Kong Lifts Limited,"$28,015,385.00",https://www.emsd.gov.hk/en/tenders_contracts_and_consultancies/tender_notices/tender_notices/index_id_4097.html,,,,
1738EM21T,"Triennial Term Contract for the Maintenance and Repair of, Alterations and Additions to Fire Service Installations for Health Services Buildings in Kowloon Region",Aug 2022,Fire Service Installation,Selective,Chubb Hong Kong Limited,"$44,823,300.00",https://www.emsd.gov.hk/en/tenders_contracts_and_consultancies/tender_notices/tender_notices/index_id_4094.html,,,,
1711EM21T,"Triennial Term Contract for Building Services Fitting-out, Replacement and Improvement Works to Health Sector Venues in Kowloon West Region",Aug 2022,Air Conditioning Installation,Selective,Alliance Contracting Company Limited,"$44,317,000.00",https://www.emsd.gov.hk/en/tenders_contracts_and_consultancies/tender_notices/tender_notices/index_id_4122.html,,,,
2802EM21T,"36-Month Term Contract for Maintenance and Improvement of Heating, Ventilation and Air-conditioning Installations for Hospitals and Clinics in New Territories East Region",Aug 2022,Air Conditioning Installation,Selective,Alliance Contracting Company Limited,"$117,159,444.00",https://www.emsd.gov.hk/en/tenders_contracts_and_consultancies/tender_notices/tender_notices/index_id_4124.html,,,,
2443EM20W,Replacement of Tunnel Ventilation System at Kai Tak Tunnel,Aug 2022,Industrial Type Electrical Installation,Selective,GTECH Services (Hong Kong) Limited,"$94,800,000.00",https://www.emsd.gov.hk/en/tenders_contracts_and_consultancies/tender_notices/tender_notices/index_id_4128.html,,,,
2384EM21T,Triennial Term Contract for the Comprehensive Maintenance and Repair of Live Fire Training Facilities at Fire and Ambulance Services Academy and West Kowloon Rescue Training Centre for the Fire Services Department of the Government of the Hong Kong Special Administrative Region.,Aug 2022,Mechanical Plant and Equipment Installation,Selective,Southa Technical Limited,"$61,900,000.00",https://www.emsd.gov.hk/en/tenders_contracts_and_consultancies/tender_notices/tender_notices/index_id_4132.html,,,,
2167EM21T,Triennial Term Contract for Provision of Maintenance Services for Mobile X-Ray Vehicle Scanning Systems (MXRVSS) and Palletized Cargo X-Ray Inspection System (PCIS) of Customs & Excise Department (C&ED),Aug 2022,Provision of maintenance services for Mobile X-ray Vehicle Scanning Systems (MXRVSS) and Palletized Cargo X-Ray Inspection System (PCIS),Open,Nuctech Hong Kong Company Limited,"$47,822,660.00",https://www.emsd.gov.hk/en/tenders_contracts_and_consultancies/tender_notices/tender_notices/index_id_4083.html,,,,
1429EM21T,30-month Term Contract for the Comprehensive Maintenance and Repair of Lift Installations at Various Premises of Hospital Authority (OT22),Aug 2022,"Lift, Escalator and Passenger Conveyor Installation",Selective,Otis Elevator Company (H.K.) Limited,"$65,816,600.00",https://www.emsd.gov.hk/en/tenders_contracts_and_consultancies/tender_notices/tender_notices/index_id_4138.html,,,,
EMSD P/5-10/13 (2022),Provision of Services of Temporary Clerks for the Electrical and Mechanical Services Department,Aug 2022,Term Contract for Supply of Temporary Clerks on As and When Required Basis.,Open,TALENTQUEST HR LIMITED,"HK$9,401,000",https://www.emsd.gov.hk/en/tenders_contracts_and_consultancies/tender_notices/tender_notices/index_id_1758.html,,,,
2973EM21T,"Triennial Term Contract for the Maintenance and Repair of, Alterations and Additions to Fire Services Installations for Health Services Buildings in Hong Kong Region and Outlying Islands",Aug 2022,Fire Service Installation,Selective,Shun Cheong Electrical Engineering Company Limited,"$25,660,000.00",https://www.emsd.gov.hk/en/tenders_contracts_and_consultancies/tender_notices/tender_notices/index_id_4125.html,,,,
2301EM21T,Triennial Term Contract for the Maintenance and Repair of Burglar Alarm and Security Installation at Various Judiciary and Justice Venues for the Government of the Hong Kong Special Administrative Region,Aug 2022,Burglar Alarm and Security Installation,Selective,Shun Hing Engineering Contracting Company Limited,"$8,496,280.00",https://www.emsd.gov.hk/en/tenders_contracts_and_consultancies/tender_notices/tender_notices/index_id_4089.html,,,,
EMU/T/2022/01,Provision of Property Management Services to the Electrical & Mechanical Services Department Headquarters,Aug 2022,Property Management Services,Open,Synergis Facility Management Limited,"HK$68,862,997.00",https://www.emsd.gov.hk/en/tenders_contracts_and_consultancies/tender_notices/tender_notices/index_id_4167.html,,,,
2878EM21T,30-Month Term Contract for the Comprehensive Maintenance and Repair of Lift Installations at Various Premises of Hospital Authority (FT22),Aug 2022,"Lift, Escalator and Passenger Conveyor Installation",Selective,Fujitec (HK) Company Limited,"$17,369,750.00",https://www.emsd.gov.hk/en/tenders_contracts_and_consultancies/tender_notices/tender_notices/index_id_4088.html,,,,
1079EM22T,"Triennial Term Contract for Air-conditioning, Electrical, Mechanical and Building Services Fitting-out, Replacement and Improvement Works at Hong Kong Police Force Venues",Aug 2022,Air Conditioning Installation,Selective,Meco Engineering Limited,"$69,535,520.00",https://www.emsd.gov.hk/en/tenders_contracts_and_consultancies/tender_notices/tender_notices/index_id_4130.html,,,,
1025EM22T,Triennial Term Contract for Maintenance of Digital Red Light Camera System (Phase III and IV) for Hong Kong Police Force,Aug 2022,Comprehensive maintenance works of Digital Red Light Camera System (Phase III and Phase IV) of Hong Kong Police Force,Open,Win Promise Limited,"$48,288,888.00",https://www.emsd.gov.hk/en/tenders_contracts_and_consultancies/tender_notices/tender_notices/index_id_4116.html,,,,
2136EM20T,"Triennial Term Contract for Maintenance of Heating, Ventilation and Air-conditioning Installations for Health Sector Venues in Kowloon West Region",Jul 2022,Air Conditioning Installation,Selective,ATAL Engineering Limited,"$55,247,059.21",https://www.emsd.gov.hk/en/tenders_contracts_and_consultancies/tender_notices/tender_notices/index_id_4072.html,,,,
2760EM21T,Triennial Term Contract for Maintenance and Repair of Mechanical Ventilation Installations for Public Transport Interchanges of Transport Department for the Government of HKSAR.,Jul 2022,Mechanical Plant and Equipment Installation,Selective,Tai Ah Engineering Company,"$56,765,000.00",https://www.emsd.gov.hk/en/tenders_contracts_and_consultancies/tender_notices/tender_notices/index_id_4137.html,,,,
2715EM21T,Triennial Term Contract for the Comprehensive Maintenance and Repair of Lift Installations at Various Premises of the Government of the Hong Kong Special Administrative Region (Package One of GE15),Jul 2022,comprehensive maintenance and repair of lift installations at various premises of the Government of the Hong Kong Special Administrative Region,Open,Otis Elevator Company (H.K.) Limited,"$42,152,774.00",https://www.emsd.gov.hk/en/tenders_contracts_and_consultancies/tender_notices/tender_notices/index_id_4070.html,,,,
1484EM21T,"Triennial Term Contract for Maintenance and Improvement of Heating, Ventilation and Air-conditioning Installations for Hospitals and Clinics in Kowloon East Region",Jul 2022,Air Conditioning Installation,Selective,ATAL Engineering Limited,"$103,443,977.23",https://www.emsd.gov.hk/en/tenders_contracts_and_consultancies/tender_notices/tender_notices/index_id_4066.html,,,,
1361EM21T,Triennial Term Contract for Maintenance of Medical Gas Pipeline Systems for Health Sector Venues,Jul 2022,Steam and Compressed Air Installation,Selective,Linde HKO Limited,"$88,855,484.00",https://www.emsd.gov.hk/en/tenders_contracts_and_consultancies/tender_notices/tender_notices/index_id_4064.html,,,,
1026EM22T,"Triennial Term Contract for Repairs, Operation and Maintenance to Boilers, Hot Water Installations, Steam Related Equipment and Accessories in Various Health Care Institutions in Hong Kong of the Government of the Hong Kong Special Administrative Region",Jul 2022,Liquefied Petroleum Gas Installation,Selective,Yau Sang Engineering Company,"$26,218,100.00",https://www.emsd.gov.hk/en/tenders_contracts_and_consultancies/tender_notices/tender_notices/index_id_4112.html,,,,
2139EM21W,"District Cooling System (DCS) at Kai Tak Development (KTD) Phase IIIR – Electrical and Mechanical Installation at Sites 1E2, 1F1 and 1P3 and Modification Works at Northern District Cooling System Plant",Jul 2022,Air Conditioning Installation,Selective,"Winston Air Conditioning & Engineering (Hong Kong) Company, Limited","$59,882,628.18",https://www.emsd.gov.hk/en/tenders_contracts_and_consultancies/tender_notices/tender_notices/index_id_4114.html,,,,
1910EM21W,"Replacement of Refractories and Insulation Bricks for Cremators at Fu Shan Crematorium, Diamond Hill Crematorium and Cape Collinson Crematorium",Jul 2022,Mechanical Plant and Equipment Installation,Selective,Southa Technical Limited,"$33,670,000.00",https://www.emsd.gov.hk/en/tenders_contracts_and_consultancies/tender_notices/tender_notices/index_id_4144.html,,,,
1080EM22W,Replacement of Chiller Plants and Associated Works at Kwai Tsing Theatre and Yuen Long Theatre,Jul 2022,Air Conditioning Installation,Selective,"Winston Air Conditioning & Engineering (Hong Kong) Company, Limited","$19,198,000.00",https://www.emsd.gov.hk/en/tenders_contracts_and_consultancies/tender_notices/tender_notices/index_id_4148.html,,,,
2859EM21T,Quadrennial Term Contract for Maintenance of Liquefied Petroleum Gas Installations at Various Venues of Security and Vehicle Services Division,Jul 2022,Liquefied Petroleum Gas Installation,Selective,Yau Sang Engineering Company,"$16,798,800.00",https://www.emsd.gov.hk/en/tenders_contracts_and_consultancies/tender_notices/tender_notices/index_id_4104.html,,,,
1358EM21T,"Triennial Term Contract for Maintenance of Electrical, Mechanical and Air-conditioning Installations at Cheung Sha Wan Wholesale Food Market",Jul 2022,Air Conditioning Installation,Selective,Young's Engineering Company limited,"$35,934,000.00",https://www.emsd.gov.hk/en/tenders_contracts_and_consultancies/tender_notices/tender_notices/index_id_4015.html,,,,
1040EM22T,Quadrennial Term Contract for Comprehensive Maintenance of Folding Gates and Roller Shutters at Various Disciplined Services Venues,Jul 2022,Mechanical Plant and Equipment Installation,Selective,"Associated Engineers, Limited","$33,938,000.00",https://www.emsd.gov.hk/en/tenders_contracts_and_consultancies/tender_notices/tender_notices/index_id_4098.html,,,,
2612EM21T,Triennial Term Contract for Maintenance of Fire Service Installations for Hong Kong Boundary Crossing Facilities (HKBCF) and Hong Kong Link Road (HKLR) at Hong Kong Zhuhai Macao Bridge,Jun 2022,Fire Service Installation,Selective,Chubb Hong Kong Limited,"$29,505,960.00",https://www.emsd.gov.hk/en/tenders_contracts_and_consultancies/tender_notices/tender_notices/index_id_4101.html,,,,
2799EM21T,Triennial Term Contract for the Comprehensive Maintenance and Repair of Escalator Installations at Various Premises of the Government of the Hong Kong Special Administrative Region (Package One of TO21E),Jun 2022,Comprehensive maintenance and repair of escalator installations at various premises of the Government of the Hong Kong Special Administrative Region,Open,Chevalier (HK) Limited,"$5,216,534.72",https://www.emsd.gov.hk/en/tenders_contracts_and_consultancies/tender_notices/tender_notices/index_id_2969.html,,,,
2668EM21T,Triennial Term Contract for the Comprehensive Maintenance and Repair of Lift Installations at Various Premises of the Hospital Authority (SA21),Jun 2022,"Lift, Escalator and Passenger Conveyor Installation",Selective,Shan On Engineering Company Limited,"$8,694,864.00",https://www.emsd.gov.hk/en/tenders_contracts_and_consultancies/tender_notices/tender_notices/index_id_4150.html,,,,
2513EM21T,Triennial Term Contract for the Comprehensive Maintenance and Repair of Lift Installations at Various Premises of the Hospital Authority (TO17),Jun 2022,"Lift, Escalator and Passenger Conveyor Installation",Selective,Chevalier (HK) Limited,"$5,296,680.00",https://www.emsd.gov.hk/en/tenders_contracts_and_consultancies/tender_notices/tender_notices/index_id_4149.html,,,,
2471EM21T,"36-month Term Contract for Maintenance of Heating, Ventilation and Air-conditioning Installations for Health Sector Venues in Health Sector Venues in Hong Kong Region and Outlying Islands",Jun 2022,Air Conditioning Installation,Selective,Alliance Contracting Company Limited,"$79,894,444.00",https://www.emsd.gov.hk/en/tenders_contracts_and_consultancies/tender_notices/tender_notices/index_id_4113.html,,,,
1975EM20T,Triennial Term Contract for the Comprehensive Maintenance and Repair of Escalator Installations at Various Premises of the Government of the Hong Kong Special Administrative Region (Package One of HT21E),Jun 2022,Comprehensive Maintenance and Repair of escalator installations at various premises of the Government of the Hong Kong Special Administrative Region,Open,Holake Hong Kong Lifts Limited,"$10,107,225.00",https://www.emsd.gov.hk/en/tenders_contracts_and_consultancies/tender_notices/tender_notices/index_id_2992.html,,,,
2543EM21T,Triennial Term Contract for Maintenance of Air-Conditioning Installations for Hong Kong Port (HKP) and Hong Kong Link Road (HKLR) at Hong Kong Zhuhai Macao Bridge and Other Lantau Engineering Services Venues,Jun 2022,Air Conditioning Installation,選擇性,Meco Engineering Limited,"$65,177,160.00",https://www.emsd.gov.hk/en/tenders_contracts_and_consultancies/tender_notices/tender_notices/index_id_4108.html,,,,
2877EM21T,54-Month Term Contract for the Comprehensive Maintenance and Repair of Lift Installations at Various Premises of Hospital Authority (SG22),Jun 2022,"Lift, Escalator and Passenger Conveyor Installation",Selective,SIGMA Elevator (HK) Limited,"$7,418,100.00",https://www.emsd.gov.hk/en/tenders_contracts_and_consultancies/tender_notices/tender_notices/index_id_4091.html,,,,
2574EM21T,"Quadrennial Term Contract for Maintenance of Security and Electronics Systems at Various Venues of Correctional Services Department, Immigration Department and Custom & Excises Department",Jun 2022,Burglar Alarm and Security Installation,Selective,G4S Security Systems (Hong Kong),"$18,973,400.00",https://www.emsd.gov.hk/en/tenders_contracts_and_consultancies/tender_notices/tender_notices/index_id_4093.html,,,,
2207EM21T,Triennial Term Contract for the Comprehensive Maintenance and Repair of Lift Installation at Various Premises of the Government of the Hong Kong Special Administrative Region (Package One of OT21),Jun 2022,Comprehensive maintenance and repair of lift installations at various premises of the Government of the Hong Kong Special Administrative Region,Open,SIGMA Elevator (HK) Limited,"$38,923,361.60",https://www.emsd.gov.hk/en/tenders_contracts_and_consultancies/tender_notices/tender_notices/index_id_4069.html,,,,
2709EM21T,"Triennial Term Contract for Maintenance of Heating, Ventilation and Air-conditioning Installations for The Venues of Boundary Crossing Facilities and Transport Services Division",Jun 2022,Air Conditioning Installation,Selective,Young's Engineering Company limited,"$89,149,708.00",https://www.emsd.gov.hk/en/tenders_contracts_and_consultancies/tender_notices/tender_notices/index_id_4084.html,,,,
2BDTD22001,"Design, Implementation and Integration of Vehicle Assets and Vehicle Maintenance Jobs Management System",May 2022,Implementation service for Information System,Open,"Yonyou Network Technology Co., Ltd","HK$9,757,676.00",https://www.emsd.gov.hk/en/tenders_contracts_and_consultancies/tender_notices/tender_notices/index_id_1752.html,,,,
2617EM21W,Replacement of 3 Lifts at Wong Tai Sin Rank and File Married Quarters and 4 Lifts at Wing Ting Road Fire Services Married Quarters for the Fire Services Department,May 2022,"Lift, Escalator and Passenger Conveyor Installation",Selective,Schindler Lifts (Hong Kong),"$12,400,000.00",https://www.emsd.gov.hk/en/tenders_contracts_and_consultancies/tender_notices/tender_notices/index_id_4095.html,,,,
1703EM19T,"Triennial Term Contract for Maintenance of Electrical Installations and Domestic Appliances at Various Staff Quarters of Customs and Excise Department, Correctional Services Department, Fire Services Department, Independent Commission Against Corruption, and Immigration Department for the Government of the Hong Kong Special Administrative Region (NEC4 TSC OPTION A)",May 2022,Electrical Installation,Selective,"Union (Luen Hop) Refrigeration Co., Limited","$50,663,840.00",https://www.emsd.gov.hk/en/tenders_contracts_and_consultancies/tender_notices/tender_notices/index_id_2996.html,,,,
2039EM21T,"Triennial Term Contract for Repairs, Operation and Maintenance of Boilers, Hot Water Installations, Steam Related Equipment and Accessories in Various Healthcare Venues in the New Territories",May 2022,Steam and Compressed Air Installation,Selective,Kwong Hing Loong Engine & Boiler Factory Limited,"$56,951,600.00",https://www.emsd.gov.hk/en/tenders_contracts_and_consultancies/tender_notices/tender_notices/index_id_4085.html,,,,
2679EM21W,Supply and Installation of Data Acquisition Systems of Free-flow Tolling System and Associated Modification Works for Existing E&M Systems Affected by Toll Plaza Modification in Six Tunnels,May 2022,"Complete design, supply, delivery and installation of one (1) set each of new Data Acquisition System (DAS) in Cross Harbour Tunnel, Eastern Harbour Crossing, Aberdeen Tunnel, Tate’s Cairn Tunnel, Western Harbour Crossing and Tai Lam Tunnel in Hong Kong Special Administrative Region.",Open,Autotoll Limited,"$225,000,000.00",https://www.emsd.gov.hk/en/tenders_contracts_and_consultancies/tender_notices/tender_notices/index_id_4068.html,,,,
1302EM21T,"Triennial Term Contract for Maintenance of Heating, Ventilation and Air-conditioning Installations for Seven Boundary Contol Points",May 2022,Air Conditioning Installation,Selective,Westco Airconditioning Limited,"$88,989,984.00",https://www.emsd.gov.hk/en/tenders_contracts_and_consultancies/tender_notices/tender_notices/index_id_4010.html,,,,
