Contract Number,Contract Title,Date of award,Nature of Works,Tendering Procedure,Contractor(s),Original Contract Sum,url,Commencement Date,Original Completion Date,Location,Contract Value
1149EM15T,"42-Month Term Contract for the Fault Attendance, Comprehensive Maintenance, Repair and Replacement of Special Lighting Systems at Various Premises of the Highways Department of the Government of the Hong Kong Special Administrative Region",May 2016,Electrical Installation,Selective,"Wenden Engineering Service Company, Limited","HK$24,103,292.00",https://www.emsd.gov.hk/en/tenders_contracts_and_consultancies/tender_notices/tender_notices/index_id_285.html,,,,
2095EM15T,Triennial Term Contract for the Comprehensive Maintenance and Repair of Escalator Installations at Various Premises of the Government of the Hong Kong Special Administrative Region (Package One of TO15E),May 2016,Comprehensive maintenance and repair of escalator instllations at various premises of the Government of the Hong Kong Special Administrative Region,Open,Chevalier (HK) Limited,"HK$2,877,254.00",https://www.emsd.gov.hk/en/tenders_contracts_and_consultancies/tender_notices/tender_notices/index_id_294.html,,,,
2094EM15T,Biennial Term Contract for the Comprehensive Maintenance and Repair of Lift Installations at Various Premises of the Government of the Hong Kong Special Administrative Region and Hospital Authority (Package One of FT15),May 2016,Comprehensive maintenance and repair of lift instllations at various premises of the Government of the Hong Kong Special Administrative Region and Hospital Authority,Open,"Fujitec (HK) Company, Limited","HK$9,574,460.00",https://www.emsd.gov.hk/en/tenders_contracts_and_consultancies/tender_notices/tender_notices/index_id_286.html,,,,
2147EM15T,Biennial Term Contract for the Comprehensive Maintenance and Repair of Lift Installations at Various Premises of the Government of the Hong Kong Special Administrative Region and Hospital Authority (Package One of MT15),May 2016,Comprehensive maintenance and repair of lift instllations at various premises of the Government of the Hong Kong Special Administrative Region and Hospital Authority,Open,Kone Elevator (HK) Limited,"HK$11,372,482.00",https://www.emsd.gov.hk/en/tenders_contracts_and_consultancies/tender_notices/tender_notices/index_id_267.html,,,,
1814EM15T,Triennial Term Contract for the Comprehensive Maintenance and Repair of Lift Installations at Various Premises of the Government of the Hong Kong Special Administrative Region and Hospital Authority (Package Two of KO15),May 2016,Comprehensive maintenance and repair of lift installations at various premises of the Government of the Hong Kong Special Administrative Region and Hospital Authority,Open,Kone Elevator (HK) Limited,"HK$14,555,327,00",https://www.emsd.gov.hk/en/tenders_contracts_and_consultancies/tender_notices/tender_notices/index_id_270.html,,,,
1768EM15T,Biennial Term Contract for Provision of Closed Circuit Television Systems for Various Departments of the Government of the Hong Kong Special Administrative Region in the Hong Kong and Kowloon Regions,May 2016,Video Electronics Installation,Selective,Chubb Hong Kong Limited,"HK$17,041,988.00",https://www.emsd.gov.hk/en/tenders_contracts_and_consultancies/tender_notices/tender_notices/index_id_303.html,,,,
1043EM15T,Triennial Term Contract for FM200 Cylinders Hydraulic Test at Hong Kong International Airport (NEC TSC OPTION A),May 2016,Fire Service Installation,Selective,ATAL Engineering Limited,"HK$8,183,284.00",https://www.emsd.gov.hk/en/tenders_contracts_and_consultancies/tender_notices/tender_notices/index_id_289.html,,,,
1367EM15T,Triennial Term Contract for Maintenance of Lift & Ramp Systems at Ferry Piers for the Government of HKSAR.,Apr 2016,Mechanical Plant & Equipment Installation,Selective,REC Engineering Company Limited,"HK$18,393,300.00",https://www.emsd.gov.hk/en/tenders_contracts_and_consultancies/tender_notices/tender_notices/index_id_256.html,,,,
2522EM15W,"Refurbishment of Hydrofoil Platform No. 4, 6 & 7 at Macau Ferry Terminal",Apr 2016,Mechanical Plant and Equipment Installation,Selective,Japco Auto Equipment & Engineering Company Limited,"HK$4,464,000.00",https://www.emsd.gov.hk/en/tenders_contracts_and_consultancies/tender_notices/tender_notices/index_id_304.html,,,,
2067EM15W,Construction for Connection of District Cooling System to the Air-conditioning System at Electrical and Mechanical Services Department Headquarters Building.,Apr 2016,Air-conditioning Installation,Selective,"Wenden Engineering Service Company, Limited","HK$18,300,000.00",https://www.emsd.gov.hk/en/tenders_contracts_and_consultancies/tender_notices/tender_notices/index_id_296.html,,,,
