Agreement No. and Title,Date of Award,Name of Contractor,Contract Value ($M),Contract Duration (Month),url
"TD(T) 11/2021

Provision of Telecom Lines for Closed Circuits Television (CCTV) System in Tuen Mun and Yuen Long District",1.11.2022,Hong Kong Telecommunications (HKT) Limited,3.384,"60 months
(1.3.2023 - 29.2.2028)",https://www.td.gov.hk/en/tender_notices/award_of_contracts_and_consultancies/non_works_contract/index.html
"TD(T) 4/2021



Agreement for Management, Operation and Maintenance of Cross-Harbour Tunnel",7.10.2022,"Serco Group (HK) Limited
(currently known as ""AEON Delight (Asia) Limited"")",538.896224,"72 months
(1.11.2022-31.10.2028)",https://www.td.gov.hk/en/tender_notices/award_of_contracts_and_consultancies/non_works_contract/index.html
"TD(T) 1/2022



Supply of Desktop Personal Computers and Provision of Related Services to the Transport Department",21.9.2022,Xenus Technology Limited,2.793,6 months + 60 months maintenance period,https://www.td.gov.hk/en/tender_notices/award_of_contracts_and_consultancies/non_works_contract/index.html
"TD(T) 9/2021



Provision of Telecommunication Services for Closed Circuits Television (CCTV) System and Other Equipment",7.9.2022,Hong Kong Telecommunications (HKT) Limited,57.09624,60 months,https://www.td.gov.hk/en/tender_notices/award_of_contracts_and_consultancies/non_works_contract/index.html
"TD(T) 8/2021



Provision of Telecommunication Services for On Street Traffic Signal Control System and Related Equipment",7.9.2022,Hong Kong Telecommunications (HKT) Limited,94.12222,60 months,https://www.td.gov.hk/en/tender_notices/award_of_contracts_and_consultancies/non_works_contract/index.html
"TD(T) 7/2021

Contract in Relation to the Provision of the FPS Services for the Implementation of Free-Flow Tolling System at Government Tolled Tunnels

",13.7.2022,Bank of China (Hong Kong) Limited,0,3 years,https://www.td.gov.hk/en/tender_notices/award_of_contracts_and_consultancies/non_works_contract/index.html
"TD(T) 3/2021

Agreement for Management, Operation and Maintenance of Scenic Hill Tunnel and Airport Tunnel

",28.2.2022,Transport Infrastructure Management Limited,505.77396,"72 months
(1.4.2022-31.3.2028)",https://www.td.gov.hk/en/tender_notices/award_of_contracts_and_consultancies/non_works_contract/index.html
"TD PTFCS DE 1/2022

Provision of Centralised Settlement Platform Services for the Government Public Transport Fare Concession Scheme for the Elderly and Eligible Persons with Disabilities",25.2.2022,Octopus Cards Limited,101.78,"48 months
(27.2.2022-26.2.2026)",https://www.td.gov.hk/en/tender_notices/award_of_contracts_and_consultancies/non_works_contract/index.html
"CE 51/2021 (TT)

Traffic and Transport Strategy Study - Feasibility Study

",24.12.2021,Ove Arup & Partners Hong Kong Limited,60.38,48 months,https://www.td.gov.hk/en/tender_notices/award_of_contracts_and_consultancies/non_works_contract/index.html
"TDITS0152021

Supply of Desktop Personal Computers and Provision of Related Services to the Transport Department",18.11.2021,Hong Kong Telecommunications (HKT) Limited,3.645,6 months + 60 months maintenance period,https://www.td.gov.hk/en/tender_notices/award_of_contracts_and_consultancies/non_works_contract/index.html
"TD 423/2020

Contract for Provision of Toll Tags and Toll Collection Services at Government Tolled Tunnels and Tsing Sha Control Area installed with Free-flow Tolling System

",29.10.2021,Autotoll Limited,871.61,72 months,https://www.td.gov.hk/en/tender_notices/award_of_contracts_and_consultancies/non_works_contract/index.html
"TD 146/2020

Agreement for Management, Operation and Maintenance of Tate's Cairn Tunnel

",2.7.2021,Pacific Infrastructure Management Limited,494.50968,"72 months
(11.7.2021 - 10.7.2027)",https://www.td.gov.hk/en/tender_notices/award_of_contracts_and_consultancies/non_works_contract/index.html
"CE 76/2020 (TT)

Enhancement of the Comprehensive Transport Study Model – Feasibility Study

",12.5.2021,Ove Arup & Partners Hong Kong Limited,9.64768,55 months,https://www.td.gov.hk/en/tender_notices/award_of_contracts_and_consultancies/non_works_contract/index.html
"TD 320/2019 

Procurement cum Management, Operation and Maintenance of Real-time Arrival Information System for Green Minibus

",11.9.2020,Hong Kong Telecommunications (HKT) Limited, 65.002499,90 months,https://www.td.gov.hk/en/tender_notices/award_of_contracts_and_consultancies/non_works_contract/index.html
"TD 227/2019 

Agreement for Management, Operation and Maintenance of Aberdeen Tunnel

",2.9.2020,Transport Infrastructure Management Limited, 363.7848,"6 years 
(29.9.2020 - 28.9.2026)",https://www.td.gov.hk/en/tender_notices/award_of_contracts_and_consultancies/non_works_contract/index.html
"TD 111/2018

Contract I for Procurement cum Management, Operation and Maintenance (""PMOM"") of New Generation of Parking Meter System",20.5.2019,Hong Kong Telecommunications (HKT) Limited & Flowbird Joint Venture,348.92642,"11 years
(20.5.2019 – 19.5.2030)",https://www.td.gov.hk/en/tender_notices/award_of_contracts_and_consultancies/non_works_contract/index.html
"TD 111/2018

Contract II for Procurement cum Management, Operation and Maintenance (""PMOM"") of New Generation of Parking Meter System

",20.5.2019,Hong Kong Telecommunications  (HKT) Limited & Flowbird Joint Venture,333.284883,"11 years
(20.5.2019 – 19.5.2030)",https://www.td.gov.hk/en/tender_notices/award_of_contracts_and_consultancies/non_works_contract/index.html
"GLD Contract No.: C0003/2017

The Upgrading of the Transport Information System for the Transport Department

",28.4.2017,PCCW Solutions Limited,137.399999,18 months + 10 years maintenance period,https://www.td.gov.hk/en/tender_notices/award_of_contracts_and_consultancies/non_works_contract/index.html
