ref,department,url,batch_time,description,award_date,awardee,sum
5/WSD/21,Water Supplies Department,https://www.wsd.gov.hk/index.html?id=37,2026-03-08 21:38:19.710571,Term Contract for Risk-Based Improvement of small Water Mains - New Territories East,2021-10-28,Ming Hing Waterworks Engineering Company Limited,609.63
9/WSD/21,Water Supplies Department,https://www.wsd.gov.hk/index.html?id=38,2026-03-08 21:38:19.710571,"Salt Water Supply to Sha Tin Area 52, Shui Chuen O",2021-08-06,Kin Kay Machinery Rental & Engineering Co. Limited,90.02
8/WSD/21,Water Supplies Department,https://www.wsd.gov.hk/index.html?id=39,2026-03-08 21:38:19.710571,Improvement of Salt Water Supply to Tsuen Wan and Kwai Chung,2021-07-02,Tactful Click Joint Venture,178.49
3/WSD/20,Water Supplies Department,https://www.wsd.gov.hk/index.html?id=40,2026-03-08 21:38:19.710571,Reclaimed Water Supply to Sheung Shui and Fanling,2021-07-23,China Geo-Engineering Corporation,589.8
12/WSD/20,Water Supplies Department,https://www.wsd.gov.hk/index.html?id=41,2026-03-08 21:38:19.710571,Term Contract for Risk-Based Improvement of Small Water Mains - Hong Kong & Islands and New Territories West,2021-04-30,Yee Hop Engineering Company Limited,174.83
13/WSD/20,Water Supplies Department,https://www.wsd.gov.hk/index.html?id=42,2026-03-08 21:38:19.710571,Term Contract for Risk-Based Improvement of Small Water Mains - Kowloon and New Territories East,2021-04-30,Hing & Cheong Company Limited,185.3
14/WSD/19,Water Supplies Department,https://www.wsd.gov.hk/index.html?id=43,2026-03-08 21:38:19.710571,Uprating of Ha Wong Yi Au Fresh Water Pumping Station,2021-04-22,ATAL Engineering Limited,14.21
6/WSD/20,Water Supplies Department,https://www.wsd.gov.hk/index.html?id=44,2026-03-08 21:38:19.710571,Supply and Installation of Two Additional High Voltage Pumpsets at Siu Ho Wan Raw Water and Fresh Water Pumping Station,2020-12-08,Torishima (Hong Kong) Limited,8.22
10/WSD/19,Water Supplies Department,https://www.wsd.gov.hk/index.html?id=45,2026-03-08 21:38:19.710571,Improvement of the Power Supply System at Sha Tin Seafront Salt Water Pumping Station,2020-10-28,REC Engineering Company Limited,11.2
9/WSD/20,Water Supplies Department,https://www.wsd.gov.hk/index.html?id=46,2026-03-08 21:38:19.710571,"Construction of Pressure Management and District Metering Installations in Yuen Long, Sheung Shui & Fanling Major Fresh Water Supply Zones",2020-10-09,CGC Joint Venture,332.81
2/WSD/20,Water Supplies Department,https://www.wsd.gov.hk/index.html?id=47,2026-03-08 21:38:19.710571,Construction of Sheung Wong Yi Au No.3 Fresh Water Service Reservoir,2021-04-21,Shun Yuen Construction Company Limited,99.94
4/WSD/19,Water Supplies Department,https://www.wsd.gov.hk/index.html?id=48,2026-03-08 21:38:19.710571,Development of Anderson Road Quarry Site - Construction of Grey Water Treatment Plant,2020-09-09,Paul Y. - Tsun Yip Joint Venture (4/WSD/19),333.0
22/WSD/19,Water Supplies Department,https://www.wsd.gov.hk/index.html?id=49,2026-03-08 21:38:19.710571,Leak Detection and Repair in the Designated District Metering Areas in New Territories East,2020-06-03,Ming Hing Waterworks Engineering Company Limited,2.94
20/WSD/19,Water Supplies Department,https://www.wsd.gov.hk/index.html?id=50,2026-03-08 21:38:19.710571,Leak Detection and Repair in the Designated District Metering Areas in Lantau and the Outlying Islands,2020-06-03,China Geo-Engineering Corporation,2.66
18/WSD/19,Water Supplies Department,https://www.wsd.gov.hk/index.html?id=51,2026-03-08 21:38:19.710571,Replacement of Filter Press No.1 at Au Tau Water Treatment Works,2020-06-08,ATAL Engineering Limited,8.078
13/WSD/19,Water Supplies Department,https://www.wsd.gov.hk/index.html?id=52,2026-03-08 21:38:19.710571,Construction of Pressure Management and District Metering Installations under Water Intelligent Network – Remaining Works,2020-08-03,Ming Hing Waterworks - Ming Hing Civil Joint Venture,424.28
11/WSD/19,Water Supplies Department,https://www.wsd.gov.hk/index.html?id=53,2026-03-08 21:38:19.710571,Uprating of Cheung Sha Water Treatment Works,2020-08-17,ATAL Engineering Limited,17.14
5/WSD/19,Water Supplies Department,https://www.wsd.gov.hk/index.html?id=54,2026-03-08 21:38:19.710571,Improvement to Dongjiang Water Mains P4 at Sheung Shui and Fanling,2020-09-04,MHVJV (Ming Hing - Vasteam Joint Venture),438.8
2/WSD/19,Water Supplies Department,https://www.wsd.gov.hk/index.html?id=55,2026-03-08 21:38:19.710571,Mainlaying and Uprating of Ha Wong Yi Au Fresh Water Pumping Station,2020-09-10,Tactful Construction & Engineering (HK) Limited,102.75
