url,Nature of Business,Location,Year of Establishment,Main Categories,Major Markets,Total Employees,Brands,Contact Person,Position,Office Address,Country / Region,Annual Turnover
https://sourcing.hktdc.com/en/Supplier-Store/Profile/Lond-Weil-Watch-Ind-Limited/1X0AUNMH?fairCode=hkwatchfair&locale=en,,Hong Kong,,"Jewellery & Watch, Watches & Clocks",,,,Yang Liu,Sells Manager,"Flat 913B, 9/F, Ocean Centre, Harbour City, 5 Canton Rd, Tsimshatsui, Kln, Hong Kong",Hong Kong,
https://sourcing.hktdc.com/en/Supplier-Store/Profile/Longitude-Limited/1X04W6E4?fairCode=hkwatchfair&locale=en,"Exporter, Manufacturer, Wholesaler",Hong Kong,2009.0,Watches & Clocks,"Australasia, Central & South America, Chinese Mainland, Eastern Europe, Hong Kong, Japan, Korea, Middle East, Other Asian Countries, Southeast Asia, Taiwan, Worldwide",6 - 10,Fila ODM OEM,Mr Lobo Law,Director,"Unit B, 7/F, Southeast Industrial Building, 611-619 Castle Peak Road, Tsuen Wan, N.T., Hong Kong",Hong Kong,
https://sourcing.hktdc.com/en/Supplier-Store/Profile/Majo-Time-Limited/1X05DXEV?fairCode=hkwatchfair&locale=en,"Exporter, Importer, Manufacturer",Hong Kong,,"Jewellery & Watch, Watches & Clocks",Worldwide ODM OEM,,,Mr Susanna Yan,Manager,"Unit A-C, 19/F, Flourish Food Manufactory Centre, 18 Tai Lee Street, Yuen Long, NT, Hong Kong",Hong Kong,
https://sourcing.hktdc.com/en/Supplier-Store/Profile/Modern-Ltd-/1X0A3UC6?fairCode=hkwatchfair&locale=en,"Exporter, Manufacturer",Hong Kong,,"Jewellery & Watch, Watches & Clocks",,,,Ms Ada Cheng,Secretary,"Rm.707, Tower B, Regent Ctr, 70 Ta Chuen Ping St, Kwai Chung, Kwai Chung, NT., Hong Kong",Hong Kong,
https://sourcing.hktdc.com/en/Supplier-Store/Profile/ORO-Time-Ltd/1X000B8V?fairCode=hkwatchfair&locale=en,"Exporter, Manufacturer",Hong Kong,1994.0,,North America,26 - 50,Oro Time Ltd. View details Factories & Facilities,Ms May Ho,Marketing Executive,"Flat 1, 8/F., Trans Asia Centre, 18 Kin Hong St., Kwai Chung, New Territories, Hong Kong",Hong Kong,"US$ 1,000,000 - 4,999,999"
https://sourcing.hktdc.com/en/Supplier-Store/Profile/Overseas-Honest-Ltd/1X0AHE0U?fairCode=hkwatchfair&locale=en,"Exporter, Manufacturer, Wholesaler",Hong Kong,1995.0,Watches & Clocks,"Africa, Central & South America, Eastern Europe, Middle East, North America, Western Europe, Worldwide",101 - 200 OEM Watch & Clock Watch Manufacturer Premium Watch View details Factories & Facilities Quality Control,,Miss Ada Cheng,Export Team,"Rm.707, Tower B, Regent Ctr, 70 Ta Chuen Ping St, Kwai Chun",Hong Kong,
https://sourcing.hktdc.com/en/Supplier-Store/Profile/Peacock-Watch-Group-HK-Limited/1S00ON3FO?fairCode=hkwatchfair&locale=en,Manufacturer,Hong Kong,1957.0,Watches & Clocks,Worldwide,1001 - 2000,Peacock Watch,Ms Jiawei He,,"Room 301, Building E6, Eastern Industrial Zone, No. 6 Jinxiu North Street, Guanghua Street Community, Shahe Street,Nanshan District,shenzhen,guangdong china",Hong Kong,"US$ 10,000,000 - 49,999,999"
https://sourcing.hktdc.com/en/Supplier-Store/Profile/Perfect-Products-Company-Ltd/1X00IZY5?fairCode=hkwatchfair&locale=en,Manufacturer,Hong Kong,1964.0,"Jewellery & Watch, Watches & Clocks","Australasia, Japan, Korea, Middle East, North America, Western Europe, Worldwide ODM OEM",,,Mr Dominic Tam,Managing Director,"21/F, Car Po Commercial Building, 18 Lyndhurst Terrace, Central, Hong Kong",Hong Kong,
https://sourcing.hktdc.com/en/Supplier-Store/Profile/Renley-Watch-Manufacturing-Co-Ltd/1X00J0BP?fairCode=hkwatchfair&locale=en,Manufacturer,Hong Kong,1983.0,"Jewellery & Watch, Watches & Clocks","Central & South America, Eastern Europe, Hong Kong, Japan, Korea, Middle East, North America",51 - 100,Temporis,Ms Billie Ho,Sales Manager,"9/F, Wing Ming Industrial Centre, 15 Cheung Yue Street, Cheung Sha Wan, Kowloon, Hong Kong",Hong Kong,
https://sourcing.hktdc.com/en/Supplier-Store/Profile/RONDA-LTD/1X00J0FL?fairCode=hkwatchfair&locale=en,Manufacturer,Hong Kong,1946.0,Watches & Clocks,Worldwide,1001 - 2000,Ronda,Mr Ben Hung,Sales Manager,"Unit 19, 27/F Tower B, Southmark, 11 Yip Hing Street, Wong Chuk Hang, Hong Kong.",Hong Kong,
https://sourcing.hktdc.com/en/Supplier-Store/Profile/Sun-International-Concepts-Limited/1X0B7O00?fairCode=hkwatchfair&locale=en,,Hong Kong,,Watches & Clocks,,,,Amy Cheung,Secretary,"Unit 1, 13/F, East Ocean Ctr, 98 Granville Rd, Tsim Sha Tsui, Kowloon, Hong Kong",Hong Kong,
https://sourcing.hktdc.com/en/Supplier-Store/Profile/Sunqueen-Watch-Industrial-Co-Limited/1X09S0GK?fairCode=hkwatchfair&locale=en,"Manufacturer, Wholesaler",Hong Kong,,Watches & Clocks,,,,Mr Niko Li,,"Unit 04, 7/F, Bright Way Tower, 33 Mongkok Rd, Kln, Hong Kong",Hong Kong,
