"item href","cover src","title","desc 2","desc 4","desc 6"
"https://en.chinainternationalbeauty.com/exhibitor/detail?id=2269&menuId=335","https://h5.chinainternationalbeauty.comfd4fe56f1ba.png/","汕头市大川机械有限公司","Supply chain","Packaging Machinery","No"
"https://en.chinainternationalbeauty.com/exhibitor/detail?id=2271&menuId=335","https://h5.chinainternationalbeauty.com/profile/upload/2023/03/01/b13b5c803c7f2330c9752a2df775ea9b.png","Gaoyou Yuhang Chemical Machinery Factory","Supply chain","Filling Machines,Emulsifying Equipment","No"
"https://en.chinainternationalbeauty.com/exhibitor/detail?id=2273&menuId=335","https://h5.chinainternationalbeauty.com/profile/upload/2023/03/06/891c50a1a6b2414f8a8ffe127eac7ca9.jpg","广州尊迦生物科技有限公司","Professional beauty","Make-up","No"
"https://en.chinainternationalbeauty.com/exhibitor/detail?id=2275&menuId=335","https://h5.chinainternationalbeauty.com/App/h5/static/icon/logo.png","YUYAO WEIDA SPRAYER CO.,LTD.","Professional beauty","other","No"
"https://en.chinainternationalbeauty.com/exhibitor/detail?id=2276&menuId=335","https://h5.chinainternationalbeauty.com/profile/upload/2023/03/01/e78013a82a0418ddc962b1791b24efad.png","YUHUAN XINHUA PLASTIC FACTORY","Supply chain","Primary Packaging Containers","No"
"https://en.chinainternationalbeauty.com/exhibitor/detail?id=2278&menuId=335","https://h5.chinainternationalbeauty.com/App/h5/static/icon/logo.png","SILVERFOX CORPORATION LIMITED","Professional beauty","other","No"
"https://en.chinainternationalbeauty.com/exhibitor/detail?id=2279&menuId=335","https://h5.chinainternationalbeauty.com/App/h5/static/icon/logo.png","广州市绿香岛日用品有限公司","Professional beauty","other","No"
"https://en.chinainternationalbeauty.com/exhibitor/detail?id=2282&menuId=335","https://h5.chinainternationalbeauty.com/App/h5/static/icon/logo.png","GUANGZHOU WENGU MATERIAL TECHONOLOGY CO.,LTD","Professional beauty","other","No"
"https://en.chinainternationalbeauty.com/exhibitor/detail?id=2283&menuId=335","https://h5.chinainternationalbeauty.com/profile/upload/2022/08/26/b57365eaa6f6430269b8d1f833221a95.png","Shaoxing ShangYu Keke Stainless Steel Ball Manufacture Co.,Ltd","Supply chain","Packaging Components & Accessories","No"
"https://en.chinainternationalbeauty.com/exhibitor/detail?id=2284&menuId=335","https://h5.chinainternationalbeauty.com/profile/upload/2021/11/12/8b8e62d442aebbc89221ee7791ecb32c.png","广州绿芳洲实业有限公司","Supply chain","Material Supply + OEM/ODM","No"
"https://en.chinainternationalbeauty.com/exhibitor/detail?id=2285&menuId=335","https://h5.chinainternationalbeauty.com/profile/upload/2021/08/14/192e5b265a35920789b168657e6b3ce4.png","Guangzhou LianMeng Machinery Equipment Co.,Ltd","Supply chain","Emulsifying Equipment,Filling Machines","No"
"https://en.chinainternationalbeauty.com/exhibitor/detail?id=2286&menuId=335","https://h5.chinainternationalbeauty.com/App/h5/static/icon/logo.png","Chunjing Glass Products Co.,Ltd.","Professional beauty","other","No"
"https://en.chinainternationalbeauty.com/exhibitor/detail?id=2287&menuId=335","https://h5.chinainternationalbeauty.com/App/h5/static/icon/logo.png","ATHENEE TRADZNG COMPANY LIMIT","Professional beauty","other","No"
"https://en.chinainternationalbeauty.com/exhibitor/detail?id=2288&menuId=335","https://h5.chinainternationalbeauty.com/profile/upload/2021/11/12/6733d53bae2fcd52735eb0f4dba0ddcb.png","Zhejiang Magic Pack Co., Ltd.","Supply chain","Primary Packaging Containers,Packaging Components & Accessories","No"
"https://en.chinainternationalbeauty.com/exhibitor/detail?id=2289&menuId=335","https://h5.chinainternationalbeauty.com/App/h5/static/icon/logo.png","东莞市创天包装材料有限公司","Professional beauty","other","No"
"https://en.chinainternationalbeauty.com/exhibitor/detail?id=2291&menuId=335","https://h5.chinainternationalbeauty.com/profile/upload/2021/11/30/bb4d9297ea851c9f840ae496528baf86.jpg","GUANGZHOU XIANGGUO BIOLOGICAL TECHNOLOGY CO.,LTD","Supply chain","Health Supplement OEM/ODM","No"
"https://en.chinainternationalbeauty.com/exhibitor/detail?id=2292&menuId=335","https://h5.chinainternationalbeauty.com/profile/upload/2022/08/06/93fb37c13145a826573de31e5b8774d3.png","Guangzhou ODI Technology Co.,Ltd","Professional beauty","Professional Beauty Equipment","No"
"https://en.chinainternationalbeauty.com/exhibitor/detail?id=2294&menuId=335","https://h5.chinainternationalbeauty.com/App/h5/static/icon/logo.png","Shenzhen DWL Cosmetics Ltd","Supply chain","Primary Packaging Containers","No"
"https://en.chinainternationalbeauty.com/exhibitor/detail?id=2295&menuId=335","https://h5.chinainternationalbeauty.com/App/h5/static/icon/logo.png","Yangzhou University&Lianhuan Pharmaceutical Gene Engineering Co.,Ltd.","Supply chain","Material Supply + OEM/ODM,Skin Care/Mask OEM/ODM","No"
"https://en.chinainternationalbeauty.com/exhibitor/detail?id=2297&menuId=335","https://h5.chinainternationalbeauty.com79d34eaf36f076b5fd6c87.png/","广州樱奈儿化妆品有限公司","Supply chain","Color Cosmetics/Fragrance OEM/ODM","No"
"https://en.chinainternationalbeauty.com/exhibitor/detail?id=2298&menuId=335","https://h5.chinainternationalbeauty.com/profile/upload/2022/08/26/c258e528d7babab626930701976d0a0a.jpg","FULL-MORE （SHANGHAI）PACKAGING TRADING CO.,LTD","Supply chain","Packaging Machinery","No"
"https://en.chinainternationalbeauty.com/exhibitor/detail?id=2299&menuId=335","https://h5.chinainternationalbeauty.com/profile/upload/2021/08/07/f3a98ed0d05c3c600572e01f8d3c0687.png","GUANGZHOU SHAOFENG MECHANICAL DEVICE CO.,LTD","Supply chain","Emulsifying Equipment,Filling Machines","No"
"https://en.chinainternationalbeauty.com/exhibitor/detail?id=2302&menuId=335","https://h5.chinainternationalbeauty.com/App/h5/static/icon/logo.png","哈尔滨尚格企业管理有限公司","Professional beauty","Make-up","No"
"https://en.chinainternationalbeauty.com/exhibitor/detail?id=2303&menuId=335","https://h5.chinainternationalbeauty.com/profile/upload/2022/08/30/7fafeda96650a0a5dac7466864a24f80.png","Guangzhou Pretty Industrial Co.,Ltd","Professional beauty","Nail Products","No"
"https://en.chinainternationalbeauty.com/exhibitor/detail?id=2304&menuId=335","https://h5.chinainternationalbeauty.com/profile/upload/2023/03/02/ae96b53e802b291477cc39943fccc5ca.jpg","JIANGYIN SHUANG JIA TOOL CO.,LTD","Professional beauty","Nail Products","No"
"https://en.chinainternationalbeauty.com/exhibitor/detail?id=2305&menuId=335","https://h5.chinainternationalbeauty.com/profile/upload/2022/08/26/7f3cf2215e41cda4db2ad4e0c59ea31e.png","TAIKONE TECHNOLOGIES INC.","Retail beauty","Color Cosmetics,Makeup Tools & Accessories","No"
"https://en.chinainternationalbeauty.com/exhibitor/detail?id=2306&menuId=335","https://h5.chinainternationalbeauty.com/App/h5/static/icon/logo.png","Tianjin HuaShengMei Nail Art Products Factory","Professional beauty","other","No"
"https://en.chinainternationalbeauty.com/exhibitor/detail?id=2307&menuId=335","https://h5.chinainternationalbeauty.com/profile/upload/2022/08/03/4888469e3ce243ca03cba07a513af573.png","HeYuan Ransheng Innovative Materials Co.,Ltd","Professional beauty","Nail Products","No"
"https://en.chinainternationalbeauty.com/exhibitor/detail?id=2308&menuId=335","https://h5.chinainternationalbeauty.com/profile/upload/2021/08/09/750e93584b2e2fb827b735a835d45823.png","广州赛诺加电子设备有限公司","Professional beauty","Professional Beauty Equipment","No"
"https://en.chinainternationalbeauty.com/exhibitor/detail?id=2309&menuId=335","https://h5.chinainternationalbeauty.com.png/","深圳市亮而彩科技有限公司","Professional beauty","Professional Beauty Equipment","No"
"https://en.chinainternationalbeauty.com/exhibitor/detail?id=2310&menuId=335","https://h5.chinainternationalbeauty.com/profile/upload/2023/03/01/e0a06c25f376ba543b375c0d641e9941.jpg","广州依露美化妆品有限公司","Retail beauty","Personal Care,Facial Masks","No"
"https://en.chinainternationalbeauty.com/exhibitor/detail?id=2311&menuId=335","https://h5.chinainternationalbeauty.com/profile/upload/2023/03/01/8f21b89b5039c9884c5e9494a3a29616.jpg","GOMO COSMETICS FACTORY","Supply chain","Toiletries & Laundry Product OEM/ODM,Skin Care/Mask OEM/ODM","No"
"https://en.chinainternationalbeauty.com/exhibitor/detail?id=2314&menuId=335","https://h5.chinainternationalbeauty.com/profile/upload/2023/03/02/2f1dd5722044fc8099e7def4f9cf915a.jpg","广州市柏亚化妆品有限公司","Retail beauty","Personal Care","No"
"https://en.chinainternationalbeauty.com/exhibitor/detail?id=2315&menuId=335","https://h5.chinainternationalbeauty.com/profile/upload/2023/03/02/b85c231c7510f7f509f391088c3e52bd.jpg","DANCOLY COSMETICS CO.,LTD","Retail beauty","other","No"
"https://en.chinainternationalbeauty.com/exhibitor/detail?id=2316&menuId=335","https://h5.chinainternationalbeauty.com/profile/upload/2022/08/06/e33037237ab7f18dc63d6263ff0c7749.jpg","广州蔓堤儿贸易有限公司","Professional beauty","Skin care","No"
"https://en.chinainternationalbeauty.com/exhibitor/detail?id=2317&menuId=335","https://h5.chinainternationalbeauty.com/profile/upload/2022/08/26/a04ffd2301511aa322dd9c6bcedec75e.jpg","WENZHOU WEIPAI MACHINERY CO., LTD","Supply chain","Packaging Machinery,Mechanical Equipment Accessories","No"
"https://en.chinainternationalbeauty.com/exhibitor/detail?id=2319&menuId=335","https://h5.chinainternationalbeauty.com/App/h5/static/icon/logo.png","中道呼吸养生（香港）集团发展有限公司","Professional beauty","Wellness","No"
"https://en.chinainternationalbeauty.com/exhibitor/detail?id=2320&menuId=335","https://h5.chinainternationalbeauty.com/profile/upload/2022/08/30/b8da5f5f9414d9d2eef83897dd2224ea.png","吉林省科英激光股份有限公司","Professional beauty","Medical cosmetology,Professional Beauty Equipment","No"
"https://en.chinainternationalbeauty.com/exhibitor/detail?id=2321&menuId=335","https://h5.chinainternationalbeauty.com/profile/upload/2022/08/05/9be8347df80544fc02bf95ec8fddb7b2.jpg","联合丽嘉（广州）生物科技有限公司","Professional beauty","Slimming","No"
"https://en.chinainternationalbeauty.com/exhibitor/detail?id=2322&menuId=335","https://h5.chinainternationalbeauty.com/App/h5/static/icon/logo.png","慈溪市德派塑料制品有限公司","Supply chain","Primary Packaging Containers","No"
"https://en.chinainternationalbeauty.com/exhibitor/detail?id=2323&menuId=335","https://h5.chinainternationalbeauty.com/profile/upload/2023/03/01/367029fe4b9c07b2d9679388b76564d3.jpg","广州睿锶汀化妆品制造有限公司","Professional beauty","Skin care,Professional Beauty Equipment","No"
"https://en.chinainternationalbeauty.com/exhibitor/detail?id=2324&menuId=335","https://h5.chinainternationalbeauty.com/profile/upload/2022/08/03/c6430287e00e2a514c46ef7e846c99f1.png","Shenzhen HongWang Nicemay Electric Co.,Ltd.","Retail beauty","other","No"
"https://en.chinainternationalbeauty.com/exhibitor/detail?id=2325&menuId=335","https://h5.chinainternationalbeauty.com4a02914162b105db04bfb292d3.jpg/","Guangzhou Xujohn Bio-technique Co.,Ltd.","Supply chain","General Merchandise OEM/ODM","No"
"https://en.chinainternationalbeauty.com/exhibitor/detail?id=2326&menuId=335","https://h5.chinainternationalbeauty.com/profile/upload/2021/08/10/94bdffedcff82d1aad9c92b5d8d4addd.png","YANGJIANG BAOYUE COSMETIC APPLIANCE CO., LTD","Professional beauty","Nail Products,Hair Care Products","No"
"https://en.chinainternationalbeauty.com/exhibitor/detail?id=2327&menuId=335","https://h5.chinainternationalbeauty.com/profile/upload/2021/11/30/917563f838bfee2f4bbd2263ecbd2e96.png","上海仪玳化妆品有限公司","Supply chain","Skin Care/Mask OEM/ODM","No"
"https://en.chinainternationalbeauty.com/exhibitor/detail?id=2328&menuId=335","https://h5.chinainternationalbeauty.com/App/h5/static/icon/logo.png","Yuyao Blooming Commodity Co., Ltd.","Supply chain","Primary Packaging Containers,Packaging Components & Accessories","No"
"https://en.chinainternationalbeauty.com/exhibitor/detail?id=2330&menuId=335","https://h5.chinainternationalbeauty.com/App/h5/static/icon/logo.png","YUYAO JIALONG SPRAYER CO.,LTD","Supply chain","Primary Packaging Containers","No"
