"Result_name__C4oKM","Result_corner__L45bd"
"Gunma prefecture","General Exhibition Area"
"Gwangju Information & Content Agency","Business Meeting Area"
"GYAAR Studio","Indie Game Area"
"GYEONGNAM GLOBAL GAME CENTER","Indie Game Area"
"HAMSTER","Online Exhibition"
"HanedaProject","Merchandise Sales Area"
"HANNAN UNIVERSITY","Game Academy Area"
"HANUMANGAMES","General Exhibition Area"
"Happinet","General Exhibition Area"
"Happinet","Indie Game Area"
"Happinet","Business Meeting Area"
"Happinet","Family Game Park"
"Happy Volcano","Online Exhibition"
"HARRISONWORLD","Indie Game Area"
"HellHeart Breaker","Indie Game Area"
"HEROZ","AI Technology Pavilion"
"HEV","Business Meeting Area"
"HEXADRIVE","Business Meeting Area"
"HiBiGA","General Exhibition Area"
"Higashi-Nihon Design & Computer College","Game Academy Area"
"HIGHFIVE DOG","Indie Game Area"
"HiroshiIdenoPresents","SELECTED INDIE 80"
"historia","General Exhibition Area"
"HKC","Gaming Hardware Area"
"Hokkaido Computer School","Game Academy Area"
"Hokkaido Cyber Creator Professional Training College","Game Academy Area"
"Hokkaido Information University","Game Academy Area"
"Homura Hime","Indie Game Area"
"HORI","General Exhibition Area"
"Hubert","SELECTED INDIE 80"
"Huey Games","Business Meeting Area"
"Hugecalf Studios","SELECTED INDIE 80"
"Huion","Gaming Hardware Area"
"Human Academy","Game Academy Area"
"HUUDA","Indie Game Area"
"HYBRID SQUAD","Business Meeting Area"
"Hyper Hippo Entertaiment","Business Meeting Area"
"HYPER REAL","General Exhibition Area"
"Hyper Three Studio","Indie Game Area"
"Hyper Three Studio","Business Meeting Area"
"Hypercent","Business Meeting Area"
"Hypercent","General Exhibition Area"
"Hyperstrange","Indie Game Area"
"HYPESHOP","Gaming Hardware Area"
"i want to be a tree (but life has other ideas)","SELECTED INDIE 80"
"I-O DATA","General Exhibition Area"
"I-rori Entertainment","Indie Game Area"
"IBM Japan","Game Academy Area"
"Ichigoichie","Indie Game Area"
"ICTPARK","Family Game Park"
"Idea Bombers","Indie Game Area"
"IGDA Japan Chapter","Indie Game Area"
"iGi indie Game incubator SO-FU","Indie Game Area"
"IIJAN","Merchandise Sales Area"
"Iklo Studios","Business Meeting Area"
"IKY","Business Solution Area"
"Immersive Media COSS","Indie Game Area"
"Impact Unified","Indie Game Area"
"Imperfect Games","Online Exhibition"
"Imperial Palygrounds","Indie Game Area"
"IN SILICO","SELECTED INDIE 80"
"Incredibuild Japan","Business Solution Area"
"India Pavilion","Indie Game Area"
"Indie Hero","Indie Game Area"
"INDIE LIVE EXPO","Indie Game Area"
"infiniteloop","General Exhibition Area"
"InfoLens","Merchandise Sales Area"
"Innovative Pixels Art","General Exhibition Area"
"Insert Coin Japan","Merchandise Sales Area"
"Insta360","Gaming Hardware Area"
"Interdimensional Games","Business Meeting Area"
"Interleave","Business Meeting Area"
"InternationalInformationAndEngineeringAutomoblieCollege","Game Academy Area"
"INTERSCAPE","SELECTED INDIE 80"
"Interworks Confidence","Business Solution Area"
"INTI CREATES","General Exhibition Area"
"Invest Vancouver","Business Meeting Area"
"Invisible Rabbit","SELECTED INDIE 80"
"IPK eSports Academy","Business Meeting Area"
"IRONMACE","General Exhibition Area"
"Italian Games Factory","General Exhibition Area"
"Italy Pavilion","General Exhibition Area"
"ITC","General Exhibition Area"
"IVACE Internacional","Business Meeting Area"
"Iwakuni City","General Exhibition Area"
"IWASAKI GAKUEN","Game Academy Area"
"IWATA","Business Solution Area"
"IzanagiGames","General Exhibition Area"
"Izyplay Game Studio","Indie Game Area"
"Japan Electronics College","Game Academy Area"
"Japan Electronics College Project Allcea","All Accessibility Area"
"Japan Electronics College ProjectVR","AR/VR Area"
"Japan Esports Union","Online Exhibition"
"Japan External Trade Organization","Business Meeting Area"
"Japan Game Awaeds Future Division/Visitor surveyisitor survey","Organizer's projects"
"JCurvEnt","Business Meeting Area"
"Jeonbuk Global Game Center","Business Meeting Area"
"Jeonbuk Global Game Center","General Exhibition Area"
"Jeonnam Information & Culture Industry Promotion Agency","Business Meeting Area"
"Jeonnam Information & Culture Industry Promotion Agency","Indie Game Area"
"JET STUDIO","General Exhibition Area"
"JNR Ueno Station 1979","SELECTED INDIE 80"
"JOCDN","Business Solution Area"
"JOSHIBI_GAMES powered by AISIS","Indie Game Area"
"JP UNIVERSE","Online Exhibition"
"K-SILVER","General Exhibition Area"
"KaeruPanda","Indie Game Area"
"kagoshima isa city","Business Solution Area"
"KAJIMA","Gaming Hardware Area"
"Kakehashi Games","General Exhibition Area"
"KALPA: Cosmic Symphony","Indie Game Area"
"KAMI-GAME CREATORS' EVOLUTION 2026","Organizer's projects"
"Kanagawa Institute of Technology","Game Academy Area"
"KARNOX","Gaming Hardware Area"
"Karumoa","Gaming Lifestyle Area"
"Kawahara Vocational College of Electronics and Business","Game Academy Area"
"KAWAKAMISANGYO","General Exhibition Area"
"KCS x JOHO","Game Academy Area"
"KDDI","Business Solution Area"
"KDDI Technology","Business Solution Area"
"Keimyung University Immersive Media COSS","General Exhibition Area"
"Keio University","Game Academy Area"
"KEMCO","General Exhibition Area"
"KEMCO","Business Meeting Area"
"Kettle Games","Business Meeting Area"
"Keychron","Gaming Hardware Area"
"Keywords International","Business Solution Area"
"Keywords International","Business Meeting Area"
"KIBU Gateron EWEADN WAIZOWL MelGeek","Gaming Hardware Area"
"KIC Games","Indie Game Area"
"King's Raid","General Exhibition Area"
"Kinki Computer & Electronics College","Game Academy Area"
"Kiou","General Exhibition Area"
"KIOXIA","General Exhibition Area"
"Kipwak Studio","Indie Game Area"
"Klangland","Indie Game Area"
"Kmood","AI Technology Pavilion"
"Kodansha","Business Meeting Area"
"KODANSHA GAME LAB.","Indie Game Area"
"KOEI TECMO GAMES","General Exhibition Area"
"KOEI TECMO GAMES","Merchandise Sales Area"
"KOGADO STUDIO","Indie Game Area"
"KOKUSAI RIKO COLLEGE","Game Academy Area"
"KokusaiDenshiBusinessTechnicalSchool","Game Academy Area"
"Komi Games","Business Meeting Area"
"Konami Digital Entertainment","General Exhibition Area"
"Konami Digital Entertainment","Merchandise Sales Area"
"Konami Digital Entertainment","Family Game Park"
"KOOAPPS PHILIPPINES","Indie Game Area"
"KOP Global","Business Meeting Area"
"KOREA PAVILION","Business Meeting Area"
"KOREA PAVILION","General Exhibition Area"
"Kudos Productions","Business Meeting Area"
"Kumamoto City","Business Solution Area"
"Kumamoto Prefectural Amakusa Technical High School/Amakusa City","Game Academy Area"
"Kumamoto Prefecture southern part","Business Solution Area"
"Kunpan Games","Online Exhibition"
"Kurosawa Studios","Indie Game Area"
"KusArt","Business Solution Area"
"KUU","Indie Game Area"
"Kyushu Institute of Information Sciences","Online Exhibition"
"Kyushu Sangyo University","Game Academy Area"
"L&K","General Exhibition Area"
"Lake On Fire","Indie Game Area"
"Lakeview Games","Indie Game Area"
"Lan-bridge Game","General Exhibition Area"
"Lapin","Business Solution Area"
"LBC Studios","Business Meeting Area"
"LEADJOY","General Exhibition Area"
"Leaf Studio","Business Solution Area"
"LEAFshade","General Exhibition Area"
"Lemiraum","General Exhibition Area"
"Lemon Sound","Business Meeting Area"
"Lemon Sound","Smartphone Game Area"
"Lenovo Japan","General Exhibition Area"
"Let's Play a Game Studio","Indie Game Area"
"LEVEL5","General Exhibition Area"
"Levtech","Business Solution Area"
"lidlocks","SELECTED INDIE 80"
"LIGHT","Business Solution Area"
"Lighthouse Studio","General Exhibition Area"
"LIKEXUE TOKYO:Open World Japanese Learning","Indie Game Area"
"LINE GAME","General Exhibition Area"
"Lion Gamez Studio","General Exhibition Area"
"LIONA","General Exhibition Area"
"Lionbridge Games","Business Solution Area"
"Loadstar","SELECTED INDIE 80"
"LOEND","Business Meeting Area"
"LOEND","Smartphone Game Area"
"Lofty Sky Entertainment","Business Meeting Area"
"London Games Festival","Business Meeting Area"
"Looney Dog Productions","SELECTED INDIE 80"
"Loop Interactive","Indie Game Area"
"lowiro","General Exhibition Area"
"Lucas Games","Indie Game Area"
"Lucid Rain Studios","Indie Game Area"
"Lucid Realities","Business Meeting Area"
"LudenArts - MASK IT -","SELECTED INDIE 80"
"LudoGeist","Indie Game Area"
"Lugn Games","Indie Game Area"
"Lumenarts Studio","Indie Game Area"
"LuminDrive","General Exhibition Area"
"Lunch Time Effect Lab","Game Academy Area"
"LuxAria Games Studio","Business Meeting Area"
"Mad Mimic","Indie Game Area"
"MadRock","General Exhibition Area"
"Magic Orbit Studios","Indie Game Area"
"Magnus Games Studio","General Exhibition Area"
"Malaysia Pavilion","General Exhibition Area"
"Mana Brigade","Indie Game Area"
"Mandinga Games","Indie Game Area"
"Mango Party","General Exhibition Area"
"Matrix","Indie Game Area"
"MAYFLY","Business Meeting Area"
"MAYFLY","General Exhibition Area"
"MBA International","Indie Game Area"
"MediaLink","Merchandise Sales Area"
"Mediatiz Foundation","General Exhibition Area"
"MediBang TraDe","Business Solution Area"
"Megabit Publishing","Business Meeting Area"
"Megalith Interactive Studios","General Exhibition Area"
"Meganemonoya","Gaming Lifestyle Area"
"Megapop","General Exhibition Area"
"MEGAXUS INFOTECH","Business Meeting Area"
"megutan","SELECTED INDIE 80"
"memoQ","Business Solution Area"
"Memorable Games","General Exhibition Area"
"Meowster Innovations","General Exhibition Area"
"Mercurial Dance","Business Meeting Area"
"Mermaid Theater : Encore","Indie Game Area"
"Meshy AI","AI Technology Pavilion"
"Meta4 Interactive","Business Meeting Area"
"METAL SLUG 30th Anniversary","Business Meeting Area"
"METASLA","Indie Game Area"
"Metropolice","General Exhibition Area"
"Microids","Business Meeting Area"
"Microsoft Japan","Online Exhibition"
"MIDBASE","Gaming Lifestyle Area"
"Midnight Crepe Studios","Indie Game Area"
"Mie Translation Services","Business Solution Area"
"MINELOADER STUDIOS","Business Meeting Area"
"Minimir","General Exhibition Area"
"Minimum Studio","General Exhibition Area"
"Mining Base","Merchandise Sales Area"
"Miracle 8","General Exhibition Area"
"Mirai business college of vocation","Game Academy Area"
"Mirai Create","Gaming Hardware Area"
"MIRAISENS","Business Solution Area"
"Mito Digital College","Game Academy Area"
"Mito Games","Indie Game Area"
"MIX","Business Meeting Area"
