"tablescraper-selected-row","tablescraper-selected-row 2","shenzhen","tablescraper-selected-row 3","shopUrl href","shopUrl src"
"Beijing Greenchem Technology Co.,Ltd","9G11","China Mainland","Pharma Ingredients","https://www.pharmasources.com/company-home/beijing-greenchem-technology-coltd-userId-140590.html","https://exhibitors.cphi-china.cn/assets/imgs/sp_mob.png"
"Beijing Hanlin Hangyu Technology Development Inc.","8A67","China Mainland","Pharma Machinery & Packaging Machinery","https://www.pharmasources.com/company-home/beijing-hanlin-hangyu-technology-develop-userId-140311.html","https://exhibitors.cphi-china.cn/assets/imgs/sp_mob.png"
"Beijing Huikang Boyuan Chemical Tech Co.,Ltd","9C90","China Mainland","Pharma Ingredients","https://www.pharmasources.com/company-home/beijing-huikang-boyuan-chemical-tech-col-userId-139987.html","https://exhibitors.cphi-china.cn/assets/imgs/sp_mob.png"
"JenKem Technology Co., Ltd.","9K27","China Mainland","Biotech","https://www.pharmasources.com/company-home/jenkem-technology-co-ltd-userId-141610.html","https://exhibitors.cphi-china.cn/assets/imgs/sp_mob.png"
"Beijing Komer Process Control Technology Co.,LTD","8F36","China Mainland","Laboratory Instruments & Equipment","https://www.pharmasources.com/company-home/beijing-komer-process-control-technology-userId-147487.html","https://exhibitors.cphi-china.cn/assets/imgs/sp_mob.png"
"Beijing Cowaymed Consulting Inc.","9I88","China Mainland","Pharma Ingredients","https://www.pharmasources.com/company-home/beijing-cowaymed-consulting-inc-userId-145114.html","https://exhibitors.cphi-china.cn/assets/imgs/sp_mob.png"
"KENO PHARMA LIMITED","9D37","China Mainland","Packaging & Drug Delivery","https://www.pharmasources.com/company-home/keno-pharma-limited-userId-146544.html","https://exhibitors.cphi-china.cn/assets/imgs/sp_mob.png"
"Beijing Cobazaar Information Technology Co., Ltd.","8F53","China Mainland","Laboratory Instruments & Equipment","https://www.pharmasources.com/company-home/beijing-cobazaar-information-technology--userId-157440.html","https://exhibitors.cphi-china.cn/assets/imgs/sp_mob.png"
"Beijing Lunarsun Pharmaceutical Co., Ltd.","9I98","China Mainland","Pharma Ingredients","https://www.pharmasources.com/company-home/beijing-lunarsun-pharmaceutical-co-ltd-userId-146287.html","https://exhibitors.cphi-china.cn/assets/imgs/sp_mob.png"
"Beijing Eagle Sky Pharmatech Co., Ltd.","9I38","China Mainland","AI Tech & Contract Service","https://www.pharmasources.com/company-home/beijing-eagle-sky-pharmatech-co-ltd-userId-141413.html","https://exhibitors.cphi-china.cn/assets/imgs/sp_mob.png"
"Beijing Maris Medical Technology Co., Ltd.","7A20","China Mainland","Beauty & Cosmetics Supply Chain","https://www.pharmasources.com/company-home/beijing-maris-medical-technology-co-ltd-userId-157585.html","https://exhibitors.cphi-china.cn/assets/imgs/sp_mob.png"
"BEIJING MESOCHEM TECHNOLOGY CO.,LTD","9M22","China Mainland","Pharma Ingredients","https://www.pharmasources.com/company-home/beijing-mesochem-technology-coltd-userId-148441.html","https://exhibitors.cphi-china.cn/assets/imgs/sp_mob.png"
"Beijing Double-Crane Pharmaceutical Equipment Co.,Ltd.","8B75","China Mainland","Pharma Machinery & Packaging Machinery","https://www.pharmasources.com/company-home/beijing-double-crane-pharmaceutical-equi-userId-140239.html","https://exhibitors.cphi-china.cn/assets/imgs/sp_mob.png"
"Beijing Songyuan Huaxing Technology Develop Co., Ltd.","8F51","China Mainland","Laboratory Instruments & Equipment","https://www.pharmasources.com/company-home/beijing-songyuan-huaxing-technology-deve-userId-144116.html","https://exhibitors.cphi-china.cn/assets/imgs/sp_mob.png"
"Beijing Wisdom Chemicals Co., Ltd.","9H27","China Mainland","Pharma Ingredients","https://www.pharmasources.com/company-home/beijing-wisdom-chemicals-co-ltd-userId-143109.html","https://exhibitors.cphi-china.cn/assets/imgs/sp_mob.png"
"INFOARK INTERNATIONAL CO.,LIMITED","9D16","China Mainland","Pharma Ingredients","https://www.pharmasources.com/company-home/infoark-international-colimited-userId-140208.html","https://exhibitors.cphi-china.cn/assets/imgs/sp_mob.png"
"Beijing Sinolever Pharma Institute CO., LTD.","9M55","China Mainland","Finished Dosage","https://www.pharmasources.com/company-home/beijing-sinolever-pharma-institute-co-lt-userId-145403.html","https://exhibitors.cphi-china.cn/assets/imgs/sp_mob.png"
"Florient Chemical Group","9H55","China Mainland","Pharma Ingredients","https://www.pharmasources.com/company-home/florient-chemical-group-userId-157108.html","https://exhibitors.cphi-china.cn/assets/imgs/sp_mob.png"
"CANGXIAN KANGFU MEDICINAL PLASTIC MATERIAL PACKING COMPANY","9B45","China Mainland","Packaging & Drug Delivery","https://www.pharmasources.com/company-home/cangxian-kangfu-medicinal-plastic-materi-userId-140283.html","https://exhibitors.cphi-china.cn/assets/imgs/sp_mob.png"
"Cangzhou Julong Pharmaceutical Packing Material Co.,LTD","9A17","China Mainland","Packaging & Drug Delivery","https://www.pharmasources.com/company-home/cangzhou-julong-pharmaceutical-packing-m-userId-144181.html","https://exhibitors.cphi-china.cn/assets/imgs/sp_mob.png"
"Cangzhou Laiyuan Glass Products Co., Ltd.","7A56","China Mainland","Beauty & Cosmetics Supply Chain","https://www.pharmasources.com/company-home/cangzhou-laiyuan-glass-products-co-ltd-userId-157589.html","https://exhibitors.cphi-china.cn/assets/imgs/sp_mob.png"
"Cangzhou Four Stars Glass Co.,Ltd","7B28","China Mainland","Beauty & Cosmetics Supply Chain","https://www.pharmasources.com/company-home/cangzhou-four-stars-glass-coltd-userId-140292.html","https://exhibitors.cphi-china.cn/assets/imgs/sp_mob.png"
