company_name,description,exhibit loc,url,full_url
Changzhou Guchi Vehicle Parts Co Ltd,,"B2, D02",/beijing/en/exhibitor-search.detail.html/changzhou-guchi-vehicle-parts-co-ltd.html#exhibitorheadline,https://auto-maintenance.cn.messefrankfurt.com/beijing/en/exhibitor-search.detail.html/changzhou-guchi-vehicle-parts-co-ltd.html#exhibitorheadline
Changzhou Haisha Machinery Technology Co Ltd,,"B2, H61",/beijing/en/exhibitor-search.detail.html/changzhou-haisha-machinery-technology-co-ltd.html#exhibitorheadline,https://auto-maintenance.cn.messefrankfurt.com/beijing/en/exhibitor-search.detail.html/changzhou-haisha-machinery-technology-co-ltd.html#exhibitorheadline
Changzhou Haofei Vehicle Parts Co;Ltd,,"B2, A37",/beijing/en/exhibitor-search.detail.html/changzhou-haofei-vehicle-parts-coltd.html#exhibitorheadline,https://auto-maintenance.cn.messefrankfurt.com/beijing/en/exhibitor-search.detail.html/changzhou-haofei-vehicle-parts-coltd.html#exhibitorheadline
Changzhou Haoyuan Auto Parts Co Ltd,,"B2, G84",/beijing/en/exhibitor-search.detail.html/changzhou-haoyuan-auto-parts-co-ltd.html#exhibitorheadline,https://auto-maintenance.cn.messefrankfurt.com/beijing/en/exhibitor-search.detail.html/changzhou-haoyuan-auto-parts-co-ltd.html#exhibitorheadline
Changzhou Hongxin Vehicle Accessories Factory,,"B2, B68",/beijing/en/exhibitor-search.detail.html/changzhou-hongxin-vehicle-accessories-factory.html#exhibitorheadline,https://auto-maintenance.cn.messefrankfurt.com/beijing/en/exhibitor-search.detail.html/changzhou-hongxin-vehicle-accessories-factory.html#exhibitorheadline
Changzhou Huirui Car Industry Co Ltd,,"B2, B66",/beijing/en/exhibitor-search.detail.html/changzhou-huirui-car-industry-co-ltd.html#exhibitorheadline,https://auto-maintenance.cn.messefrankfurt.com/beijing/en/exhibitor-search.detail.html/changzhou-huirui-car-industry-co-ltd.html#exhibitorheadline
Changzhou Huisheng Automotive Parts Co Ltd,,"B2, C76",/beijing/en/exhibitor-search.detail.html/changzhou-huisheng-automotive-parts-co-ltd.html#exhibitorheadline,https://auto-maintenance.cn.messefrankfurt.com/beijing/en/exhibitor-search.detail.html/changzhou-huisheng-automotive-parts-co-ltd.html#exhibitorheadline
Changzhou Jianzheng Rubber & Plastic Products Co Ltd,,"B3, H14",/beijing/en/exhibitor-search.detail.html/changzhou-jianzheng-rubber--plastic-products-co-ltd.html#exhibitorheadline,https://auto-maintenance.cn.messefrankfurt.com/beijing/en/exhibitor-search.detail.html/changzhou-jianzheng-rubber--plastic-products-co-ltd.html#exhibitorheadline
Changzhou Jinshanjiao Auto Parts Co Ltd,,"B2, B64",/beijing/en/exhibitor-search.detail.html/changzhou-jinshanjiao-auto-parts-co-ltd.html#exhibitorheadline,https://auto-maintenance.cn.messefrankfurt.com/beijing/en/exhibitor-search.detail.html/changzhou-jinshanjiao-auto-parts-co-ltd.html#exhibitorheadline
Changzhou June Auto Parts Ltd,,"B2, A38",/beijing/en/exhibitor-search.detail.html/changzhou-june-auto-parts-ltd.html#exhibitorheadline,https://auto-maintenance.cn.messefrankfurt.com/beijing/en/exhibitor-search.detail.html/changzhou-june-auto-parts-ltd.html#exhibitorheadline
CHANGZHOU KAIXIANG AUTO PARTS CO LTD,,"B2, B120",/beijing/en/exhibitor-search.detail.html/changzhou-kaixiang-auto-parts-co-ltd.html#exhibitorheadline,https://auto-maintenance.cn.messefrankfurt.com/beijing/en/exhibitor-search.detail.html/changzhou-kaixiang-auto-parts-co-ltd.html#exhibitorheadline
Changzhou Kuwei Automotive Accessories Co Ltd,,"B2, A07",/beijing/en/exhibitor-search.detail.html/changzhou-kuwei-automotive-accessories-co-ltd.html#exhibitorheadline,https://auto-maintenance.cn.messefrankfurt.com/beijing/en/exhibitor-search.detail.html/changzhou-kuwei-automotive-accessories-co-ltd.html#exhibitorheadline
Changzhou Langdong Electric Appliances Co Ltd,,"B3, B105",/beijing/en/exhibitor-search.detail.html/changzhou-langdong-electric-appliances-co-ltd.html#exhibitorheadline,https://auto-maintenance.cn.messefrankfurt.com/beijing/en/exhibitor-search.detail.html/changzhou-langdong-electric-appliances-co-ltd.html#exhibitorheadline
