,Company Name,Location,Booth,url
62,"ZhongShan SafeLine Lighting Co., Ltd.",Chinese Mainland,['Booth: 1D-B24   |   Hall of Aurora   |   '],/event/hklightingfairse/en/exhibitor/1S005K0O0
63,"Zhongshan City Fu Ji Lighting Co., Limited",Chinese Mainland,['Booth: 1D-B24   |   Hall of Aurora   |   '],/event/hklightingfairse/en/exhibitor/1S005JZHM
64,"Zhongshan Dison Lighting Co., Ltd.",Chinese Mainland,['Booth: 1D-B24   |   Hall of Aurora   |   '],/event/hklightingfairse/en/exhibitor/1S005L4X5
65,"Minqing Yufa Ceramics and Electronic Co., Ltd.",Chinese Mainland,['Booth: 1D-B24   |   Hall of Aurora   |   '],/event/hklightingfairse/en/exhibitor/1S005K9FI
66,Solar Nation Powertech Enterprises Company Limited,Hong Kong,['Booth: 1D-B24   |   Hall of Aurora   |   '],/event/hklightingfairse/en/exhibitor/1S005IYSQ
67,"Dongguan City Tianhua Photoelectric Technology Co., Ltd.",Chinese Mainland,['Booth: 1D-B24   |   Hall of Aurora   |   '],/event/hklightingfairse/en/exhibitor/1S005K0FR
68,"Highstar (H.K.) Industrial Co., Limited",Hong Kong,['Booth: 1D-B24   |   Hall of Aurora   |   '],/event/hklightingfairse/en/exhibitor/1S005ICI6
69,"Fanxstar Technology Co., Ltd.",Chinese Mainland,['Booth: 1D-B24   |   Hall of Aurora   |   '],/event/hklightingfairse/en/exhibitor/1S005K0Y6
70,Shenzhen zhongchuang Lighting Technology Limited,Chinese Mainland,['Booth: 1D-B24   |   Hall of Aurora   |   '],/event/hklightingfairse/en/exhibitor/1S005JWN7
71,Creative China Creations Limited,Hong Kong,['Booth: 1D-B24   |   Hall of Aurora   |   '],/event/hklightingfairse/en/exhibitor/1S005IQCA
72,"Epower Tech Co., Ltd.",Chinese Mainland,['Booth: 1D-B24   |   Hall of Aurora   |   '],/event/hklightingfairse/en/exhibitor/1S005K07F
73,"Puyuan Electronic Illumination Co., Ltd.",Chinese Mainland,['Booth: 1D-B24   |   Hall of Aurora   |   '],/event/hklightingfairse/en/exhibitor/1S005L2M4
74,Roomlux United Corporation,Chinese Mainland,['Booth: 1D-B24   |   Hall of Aurora   |   '],/event/hklightingfairse/en/exhibitor/1S005K1OZ
75,"Yuyao Aoguang Lighting Electrical Appliance Co., Ltd",Chinese Mainland,['Booth: 1D-B24   |   Hall of Aurora   |   '],/event/hklightingfairse/en/exhibitor/1S005K9OR
76,"ZHONGSHAN MEISHA LIGHTING CO.,LTD",Chinese Mainland,['Booth: 1D-B24   |   Hall of Aurora   |   '],/event/hklightingfairse/en/exhibitor/1S005K9TC
77,"HK Hong Yu E-Tech Co., Limited",Hong Kong,['Booth: 1D-B24   |   Hall of Aurora   |   '],/event/hklightingfairse/en/exhibitor/1S005ICNR
78,Liang Owltech Company Limited,Hong Kong,['Booth: 1D-B24   |   Hall of Aurora   |   '],/event/hklightingfairse/en/exhibitor/1S005ICV3
79,"Unite Int'l Illumination Co., Limited",Hong Kong,['Booth: 1D-B24   |   Hall of Aurora   |   '],/event/hklightingfairse/en/exhibitor/1S005IWHP
80,Anhui Technology Imp & Exp Co Ltd,Chinese Mainland,['Booth: 1D-B24   |   Hall of Aurora   |   '],/event/hklightingfairse/en/exhibitor/1S005JZWD
81,"Decor-Lites Illumination (Nanjing) Co., Ltd.",Chinese Mainland,['Booth: 1D-B24   |   Hall of Aurora   |   '],/event/hklightingfairse/en/exhibitor/1S005L2JD
82,Guangdong Benhao Lighting Co Ltd,Chinese Mainland,['Booth: 1D-B24   |   Hall of Aurora   |   '],/event/hklightingfairse/en/exhibitor/1S005K0VF
83,Guangdong Illuminate the Future Technology Company Limited,Chinese Mainland,['Booth: 1D-B24   |   Hall of Aurora   |   '],/event/hklightingfairse/en/exhibitor/1S005K0PX
84,Hibrite Enterprises Ltd,Chinese Mainland,['Booth: 1D-B24   |   Hall of Aurora   |   '],/event/hklightingfairse/en/exhibitor/1S005JZO1
85,"Ningbo Topwin Co., Ltd.",Chinese Mainland,['Booth: 1D-B24   |   Hall of Aurora   |   '],/event/hklightingfairse/en/exhibitor/1S005KXEX
86,"RZ Lighting Co., Ltd.",Chinese Mainland,['Booth: 1D-B24   |   Hall of Aurora   |   '],/event/hklightingfairse/en/exhibitor/1S005KDWZ
87,"Shangyu U-Shiny Electric Co., Ltd.",Chinese Mainland,['Booth: 1D-B24   |   Hall of Aurora   |   '],/event/hklightingfairse/en/exhibitor/1S005KDXW
88,"Shenzhen INDLEDs Co., Ltd.",Chinese Mainland,['Booth: 1D-B24   |   Hall of Aurora   |   '],/event/hklightingfairse/en/exhibitor/1S005K9SF
89,"Taizhou Kinsuny Optoelectronics Technology Co., Ltd.",Chinese Mainland,['Booth: 1D-B24   |   Hall of Aurora   |   '],/event/hklightingfairse/en/exhibitor/1S005JZY7
90,"Walsun Lighting (Huizhou) Co., Ltd.",Chinese Mainland,['Booth: 1D-B24   |   Hall of Aurora   |   '],/event/hklightingfairse/en/exhibitor/1S005JWUM
91,"Worbest (Jiangmen) Technology Co.,ltd",Chinese Mainland,['Booth: 1D-B24   |   Hall of Aurora   |   '],/event/hklightingfairse/en/exhibitor/1S005L5BY
92,"Zhejiang Future Lighting Co., Ltd.",Chinese Mainland,['Booth: 1D-B24   |   Hall of Aurora   |   '],/event/hklightingfairse/en/exhibitor/1S005K198
93,Austar Lighting Co Ltd,Chinese Mainland,['Booth: 1D-B24   |   Hall of Aurora   |   '],/event/hklightingfairse/en/exhibitor/1S005K0WC
94,"B&D Optoelectronics Technology Co.,Ltd.Fujian",Chinese Mainland,['Booth: 1D-B24   |   Hall of Aurora   |   '],/event/hklightingfairse/en/exhibitor/1S005KXKF
95,"Cixi Jinri Electronic Technology Co., Ltd.",Chinese Mainland,['Booth: 1D-B24   |   Hall of Aurora   |   '],/event/hklightingfairse/en/exhibitor/1S005K1GN
96,"Guangdong Done Power Technology Co., Ltd.",Chinese Mainland,['Booth: 1D-B24   |   Hall of Aurora   |   '],/event/hklightingfairse/en/exhibitor/1S005KXM9
97,"Guangdong HHHLED Optoelectronic Technology Co., Ltd.",Chinese Mainland,['Booth: 1D-B24   |   Hall of Aurora   |   '],/event/hklightingfairse/en/exhibitor/1S005JQMG
98,"Hylite Electrical Lighting Co., Ltd",Chinese Mainland,['Booth: 1D-B24   |   Hall of Aurora   |   '],/event/hklightingfairse/en/exhibitor/1S005K495
99,"Jiangmen Lidu Lighting Co., Ltd",Chinese Mainland,['Booth: 1D-B24   |   Hall of Aurora   |   '],/event/hklightingfairse/en/exhibitor/1S005JZM7
100,"Jiangmen Yuanhe Import. and Export. Co., Ltd.",Chinese Mainland,['Booth: 1C-E18   |   Hall of Aurora   |   Mainland China (Guangdong) - Lighting'],/event/hklightingfairse/en/exhibitor/1S005JZLA
101,"Jiangmen Z&X Plastic Products Co., Ltd.",Chinese Mainland,['Booth: 1C-E18   |   Hall of Aurora   |   Mainland China (Guangdong) - Lighting'],/event/hklightingfairse/en/exhibitor/1S005K13Q
102,"Kayhin Electric Appliance Co., Ltd.",Chinese Mainland,['Booth: 1C-E18   |   Hall of Aurora   |   Mainland China (Guangdong) - Lighting'],/event/hklightingfairse/en/exhibitor/1S005JV2Z
103,LED Star Lighting Technology Co Ltd,Chinese Mainland,['Booth: 1C-E18   |   Hall of Aurora   |   Mainland China (Guangdong) - Lighting'],/event/hklightingfairse/en/exhibitor/1S005KXP0
104,"Ningbo Kanghui Lamps Co., Ltd.",Chinese Mainland,['Booth: 1C-E18   |   Hall of Aurora   |   Mainland China (Guangdong) - Lighting'],/event/hklightingfairse/en/exhibitor/1S005K1IH
105,"Ningbo Meng Qili Electrical Technology Co., Ltd.",Chinese Mainland,['Booth: 1C-E18   |   Hall of Aurora   |   Mainland China (Guangdong) - Lighting'],/event/hklightingfairse/en/exhibitor/1S005LYY8
106,"Ningbo Miclion LED Lighting Co., Ltd.",Chinese Mainland,['Booth: 1C-E18   |   Hall of Aurora   |   Mainland China (Guangdong) - Lighting'],/event/hklightingfairse/en/exhibitor/1S005K1CZ
107,"Ningbo Qichi Illumination Lamp Co.,Ltd.",Chinese Mainland,['Booth: 1C-E18   |   Hall of Aurora   |   Mainland China (Guangdong) - Lighting'],/event/hklightingfairse/en/exhibitor/1S005K1L8
