Company Name,Location,Booth,url
"Ming Trading Co., Ltd",Thailand,['Booth: 5E-D17   |   Dairy & Egg Products   |   Brunei'],/event/foodexpopro/en/exhibitor/1S0065FZO?fairCode=foodexpopro&locale=en
"Ningxia Quantong Goji Berry Supply Chain Management Co., Ltd",Chinese Mainland,"['Booth: 5C-D22   |   Health, Green & Organic Food   |   Chinese Mainland (Ningxia Goji)']",/event/foodexpopro/en/exhibitor/1S0066I8U?fairCode=foodexpopro&locale=en
"Ningxia Source Town Wolfberry Industry Development Co., Ltd",Chinese Mainland,"['Booth: 5C-D22   |   Health, Green & Organic Food   |   Chinese Mainland (Ningxia Goji)']",/event/foodexpopro/en/exhibitor/1S0066I46?fairCode=foodexpopro&locale=en
Nu Xiao Ka Cultural And Tourism Company,Chinese Mainland,"['Booth: 5C-D22   |   Health, Green & Organic Food   |   Chinese Mainland (Ningxia Goji)']",/event/foodexpopro/en/exhibitor/1S0066K51?fairCode=foodexpopro&locale=en
"Oceans Global Co., Ltd.","Korea, Republic Of","['Booth: 5C-D22   |   Health, Green & Organic Food   |   Chinese Mainland (Ningxia Goji)']",/event/foodexpopro/en/exhibitor/1S0065G9T?fairCode=foodexpopro&locale=en
"Omadeng Co., Ltd.","Korea, Republic Of","['Booth: 5C-D22   |   Health, Green & Organic Food   |   Chinese Mainland (Ningxia Goji)']",/event/foodexpopro/en/exhibitor/1S0065H47?fairCode=foodexpopro&locale=en
"One's International Co., Ltd.","Korea, Republic Of","['Booth: 5C-D22   |   Health, Green & Organic Food   |   Chinese Mainland (Ningxia Goji)']",/event/foodexpopro/en/exhibitor/1S0065GJZ?fairCode=foodexpopro&locale=en
"Protinos Foods Co., Ltd.",Thailand,"['Booth: 5C-D22   |   Health, Green & Organic Food   |   Chinese Mainland (Ningxia Goji)']",/event/foodexpopro/en/exhibitor/1S0066GMQ?fairCode=foodexpopro&locale=en
Rds Juta Food Industries Sdn Bhd,Malaysia,"['Booth: 5C-D22   |   Health, Green & Organic Food   |   Chinese Mainland (Ningxia Goji)']",/event/foodexpopro/en/exhibitor/1S0066RYF?fairCode=foodexpopro&locale=en
"S.M. Agri & Fisheries Co., Ltd","Korea, Republic Of","['Booth: 5C-D22   |   Health, Green & Organic Food   |   Chinese Mainland (Ningxia Goji)']",/event/foodexpopro/en/exhibitor/1S0065GOK?fairCode=foodexpopro&locale=en
"S.R.Product Interfood., Ltd",Thailand,"['Booth: 5C-D22   |   Health, Green & Organic Food   |   Chinese Mainland (Ningxia Goji)']",/event/foodexpopro/en/exhibitor/1S0066GNN?fairCode=foodexpopro&locale=en
SAMDAWON,"Korea, Republic Of","['Booth: 5C-D22   |   Health, Green & Organic Food   |   Chinese Mainland (Ningxia Goji)']",/event/foodexpopro/en/exhibitor/1S0065H7Y?fairCode=foodexpopro&locale=en
