,Reference,Subject,Subject_link,Closing Date
1027,1557EM15T,Biennial Term Contract for the Comprehensive Maintenance and Repair of Lift Installations at Various Premises of the Government of the Hong Kong Special Administrative Region and Hospital Authority (Package One of TO15),/en/tenders_contracts_and_consultancies/tender_notices/tender_notices/index_id_255.html,9.10.2015
1028,1367EM15T,Triennial Term Contract for Maintenance of Lift & Ramp Systems at Ferry Piers for the Government of HKSAR.,/en/tenders_contracts_and_consultancies/tender_notices/tender_notices/index_id_256.html,9.10.2015
1029,1347EM15T,Quadrennial Term Contract for Maintenance of CCTV System in New Territories for the Government of HKSAR.,/en/tenders_contracts_and_consultancies/tender_notices/tender_notices/index_id_257.html,9.10.2015
1030,1248EM15T,"Triennial Term Contract for the Comprehensive Maintenance and Repair of Lift Installations at Arsenal House, Police Headquarters, Wan Chai(English)",/en/tenders_contracts_and_consultancies/tender_notices/tender_notices/index_id_258.html,9.10.2015
1031,EMSD GSB 13704,Biennial Contract for Sampling and Analyzing of Liquefied Petroleum Gas,/en/tenders_contracts_and_consultancies/tender_notices/tender_notices/index_id_264.html,6.10.2015
1032,1150EM15T,"Triennial Term Contract for Operation and Maintenance of Air-conditioning Installations for Hong Kong Police Force, Correctional Services Department, Hong Kong Independent Commission Against Corruption, Security Bureau, Highways Department and Transport Department in Hong Kong Island and Outlying Islands for the Government of HKSAR.",/en/tenders_contracts_and_consultancies/tender_notices/tender_notices/index_id_259.html,2.10.2015
1033,1654EM15T,Triennial Term Contract for the Comprehensive Maintenance and Repair of Lift Installations at Various Premises of the Government of the Hong Kong Special Administrative Region and Hospital Authority (Package One of SA15),/en/tenders_contracts_and_consultancies/tender_notices/tender_notices/index_id_254.html,25.9.2015
1034,EMS/T/01/2015(A),Provision of Light Goods Vehicles for Hiring by Electrical and Mechanical Services Department,/en/tenders_contracts_and_consultancies/tender_notices/tender_notices/index_id_253.html,4.9.2015
1035,1231EM15W,Replacement of Venturi Valves of Airflow Control System at Public Health Laboratory Centre,/en/tenders_contracts_and_consultancies/tender_notices/tender_notices/index_id_274.html,4.9.2015
1036,1316EM15T,Triennial Term Contract for Maintenance of Uninterruptible Power Supply (UPS) Systems at Various Government Venues (Phase 1),/en/tenders_contracts_and_consultancies/tender_notices/tender_notices/index_id_252.html,14.8.2015
1037,1598EM15T,30-Month Term Contract for the Comprehensive Maintenance and Repair of Lift Installations at Various Premises of the Government of the Hong Kong Special Administrative Region and Hospital Authority (Package One of SC15),/en/tenders_contracts_and_consultancies/tender_notices/tender_notices/index_id_251.html,7.8.2015
1038,1579EM15T,"42-month Term Contract for Comprehensive Maintenance, Examination and Testing of Lifting Appliances and Lifting Gear for Sewage Treatment Facilities in Hong Kong Island, Kowloon and Outlying Islands",/en/tenders_contracts_and_consultancies/tender_notices/tender_notices/index_id_250.html,7.8.2015
1039,2537EM14T,Triennial Term Contract for the Maintenance of Medical Gas Pipeline Systems,/en/tenders_contracts_and_consultancies/tender_notices/tender_notices/index_id_249.html,31.7.2015
1040,1129EM15W,Supply and Installation of Chiller and Associated Accessories at Queen Mary Hospital,/en/tenders_contracts_and_consultancies/tender_notices/tender_notices/index_id_280.html,31.7.2015
1041,1509EM15S,Maintenance of Television Production (TVP) System at the Central Government Offices (CGO),/en/tenders_contracts_and_consultancies/tender_notices/tender_notices/index_id_275.html,27.7.2015
1042,1243EM15T,"Triennial Term Contract for the Maintenance, Repair, Alterations, Additions and Improvement for Broadcast Reception Installation and Satellite Master Antenna Television System for the Government of the Hong Kong Special Administrative Region",/en/tenders_contracts_and_consultancies/tender_notices/tender_notices/index_id_248.html,17.7.2015
1043,EMSD_PD_002_2015,Provision of Energy Audit Services for Government Buildings to the Electrical and Mechanical Services Trading Fund,/en/tenders_contracts_and_consultancies/tender_notices/tender_notices/index_id_276.html,14.7.2015
