url,Nature of Business,Location,Year of Establishment,Main Categories,Major Markets,Total Employees,Brands,Contact Person,Position,Office Address,Country / Region,Annual Turnover
https://sourcing.hktdc.com/en/Supplier-Store/Profile/Foshan-Roerdum-Watch-Co-Ltd/1S00ORVST?fairCode=te&locale=en,,Chinese Mainland,,,,,,fang sun,,"Room 702-1, 7th Floor, No. 1, Education Road, Huangqi Baisha, Guangdong, Foshan, Mainland China",Chinese Mainland,
https://sourcing.hktdc.com/en/Supplier-Store/Profile/Briston/1S00OG8NV?fairCode=te&locale=en,,France,,,,,,Marion Jacques,Export Manager,"6 rue de, Saint Pétersbourg, 75008 Paris, France",France,
https://sourcing.hktdc.com/en/Supplier-Store/Profile/DWISS/1X08OEM8?fairCode=te&locale=en,"Manufacturer, Wholesaler",Switzerland,2011.0,"Jewellery & Watch, Watches & Clocks","Central & South America, Chinese Mainland, Eastern Europe, North America, Western Europe",,DWISS,Mr Rafael Simoes Miranda,owner,"Corso Elvezia 16, Lugano, Ticino,",Switzerland,"US$ 100,000 - 249,999"
https://sourcing.hktdc.com/en/Supplier-Store/Profile/SMB-SAS-Lip/1S00OS9AX?fairCode=te&locale=en,,France,,,,,,Marie-Pierre Delage,Export manager,"Rue Des Maurapans, Zac Valentin BP 87504, Besancon Cedex 9, France",France,
https://sourcing.hktdc.com/en/Supplier-Store/Profile/Julius-Company-Limited/1X09RDAN?fairCode=te&locale=en,Manufacturer,"Korea, Republic Of",,Watches & Clocks,Worldwide,,JULIUS View details Factories & Facilities F/W Collection Seoul in KOREA JULIUS F/W Fashion Seoul in KOREA TRUST BRAND AWARDS 2019 TRUST BRAND AWARDS 2019 Movie,Mr Tae Rok Cho,Director,"3F 331 Majang-ro, Seongdong-gu, Seoul 133815, Korea","Korea, Republic Of",
https://sourcing.hktdc.com/en/Supplier-Store/Profile/Solar-Time-Ltd/1X00J0S8?fairCode=te&locale=en,Manufacturer,Hong Kong,1977.0,"Jewellery & Watch, Watches & Clocks",Worldwide,51 - 100,,Mr Anirudh Datt,Marketing Executive,"15/F, Kowloon Centre, 29-39 Ashley Road, Tsim Sha Tsui, Kowloon, Hong Kong",Hong Kong,"US$ 50,000,000 - 99,999,999 ODM OEM"
https://sourcing.hktdc.com/en/Supplier-Store/Profile/Mavlian-International-Co-/1X0A3U6C?fairCode=te&locale=en,"Manufacturer, Wholesaler",Lebanon,2002.0,Watches & Clocks,"Eastern Europe, Middle East, Western Europe, Worldwide",6 - 10,"ClaudiaKoch , Alexusy Christy Imperial Flame Harmony Chronomaster CK4322TTRG Alexus Curisty , Claudia Koch Catalogue",Mr Razmig Mavlian,CEO,"Bourj Hamoud Armenia Str, Sradarabad Bldg, Ground Flr, Beirut 00961, Lebanon",Lebanon,"US$ 100,000 - 249,999"
https://sourcing.hktdc.com/en/Supplier-Store/Profile/Como-Milano-International-Ltd-/1X0AIDP8?fairCode=te&locale=en,"Exporter, Manufacturer",Hong Kong,2018.0,"Bags, Handbags & Accessories, Jewellery & Watch, Watches & Clocks",Worldwide,26 - 50,COMO MILANO WATCHES Fashion watches Italian leather Fashion brand Fashion watch Fashion Brandname Brand watches Lady watches World of Como Milano Express Yourself Timeless fashion Italian style,Mr International Sales Department,,"Unit 109, 1/F, Mirror Tower, 61 Mody Rd, Tsimshatsui, Kln, Hong Kong",Hong Kong,
https://sourcing.hktdc.com/en/Supplier-Store/Profile/National-Electronics-Watch-Co-Ltd/1X000963?fairCode=te&locale=en,"Exporter, Importer, Manufacturer",Hong Kong,1975.0,"Consumer Electronics, Health Care & Medical Supplies, Jewellery & Watch, Sports Supplies, Watches & Clocks","Africa, Australasia, Central & South America, Chinese Mainland, Eastern Europe, Hong Kong, Japan, Korea, Middle East, North America, Scandinavia, Western Europe, Worldwide",201 - 500,"NEWCO, OUTBOUND ODM OEM Certificate Name Issued By Certificate Type Valid Date ISO9001:2000 - - - TUV Rheinland - - - BSCI (Business Social Compliance Initiative) - - - View details Factories & Facilities",Mr Barry Tse,General Manager,"15/F, Shing Dao Ind. Bldg., 232 Aberdeen Main Road, Aberdeen, Hong Kong. Hong Kong.",Hong Kong,"US$ 10,000,000 - 49,999,999"
https://sourcing.hktdc.com/en/Supplier-Store/Profile/Morellato-HK-Limited/1S00PC5VA?fairCode=te&locale=en,,Hong Kong,,,,,,Miss Eva Ng,,,Hong Kong,
https://sourcing.hktdc.com/en/Supplier-Store/Profile/Guangdong-Star-Rudder-Technology-Co-LTD/1S00OR5UD?fairCode=te&locale=en,,Chinese Mainland,,,,,,Ms ZhengYu Liang,,,Chinese Mainland,
https://sourcing.hktdc.com/en/Supplier-Store/Profile/Shenzhen-Hipine-Precision-Technology-Co-Ltd-/1S00OFZZ4?fairCode=te&locale=en,,Chinese Mainland,,,,,,jincheng liao,Brand manager,"2901 (3701A), Shuibei International Jewelry Center No. 99 B, Shenzhen, Guangdong, Mainland China",Chinese Mainland,
https://sourcing.hktdc.com/en/Supplier-Store/Profile/Sino-British-Industries-Pte-Ltd/1S00PCSBB?fairCode=te&locale=en,,Singapore,,,,,,Mr Peter Liaw,,,Singapore,
https://sourcing.hktdc.com/en/Supplier-Store/Profile/ONE-CITYHUB-COMPANY-LIMITED/1S00PED72?fairCode=te&locale=en,,Hong Kong,,,,,,Jackie Wong,,"FLAT /RM 1108 11/F, FOOK CHEONG BUILDING, 63 HOI YUEN ROAD, KWUN TONG KL",Hong Kong,
https://sourcing.hktdc.com/en/Supplier-Store/Profile/Tutima-Hong-Kong-Ltd/1X04NF6L?fairCode=te&locale=en,Manufacturer,Hong Kong,,Watches & Clocks,,,,Mr Wilhelm Gotz Philipp,Director,"14/F, Federal Ctr, 77 Sheung On St, Chai Wan, Chai Wan, Hong Kong",Hong Kong,
https://sourcing.hktdc.com/en/Supplier-Store/Profile/Hereda-Shanghai-Jewelry-Limited-Company/1S00PCW9D?fairCode=te&locale=en,,Chinese Mainland,,,,,,Ms Yanxian Lee,,,Chinese Mainland,
https://sourcing.hktdc.com/en/Supplier-Store/Profile/POINT-TEC-Products-Electronic-GmbH/1S00P4X10?fairCode=te&locale=en,,Germany,,,,,,Mr Werner Untch,,,Germany,
https://sourcing.hktdc.com/en/Supplier-Store/Profile/Shenzhen-TianboWatch-Co-Ltd/1S00PE36F?fairCode=te&locale=en,,Chinese Mainland,,,,,,Yoyo Liu,,"1C2106,No.19,Gaoxin Middle Road 1, Maling Community,Yuehai Street, Nanshan Distric,Shenzhen City, china",Chinese Mainland,
https://sourcing.hktdc.com/en/Supplier-Store/Profile/TimeWise-Global-GmbH/1S00PE28A?fairCode=te&locale=en,,Switzerland,,,,,,Refik SIVRI,Managing Director,"Mullheimerstrasse 175, Basel, SWITZERLAND",Switzerland,
