url,Nature of Business,Location,Year of Establishment,Main Categories,Contact Person,Position,Office Address,Country/Region,Major Markets,Total Employees,Annual Turnover,Brands
https://sourcing.hktdc.com/en/Supplier-Store/Profile/Tonglu-Union-Design-Products-Co-Ltd-/1S00OZM9N,,Chinese Mainland,,,Archie Xu,,311500 中國浙江省杭州市 桐廬縣鳳川街道馬家路516號 舒泰富春智創園33幢7層702室,Chinese Mainland,,,,
https://sourcing.hktdc.com/en/Supplier-Store/Profile/Yancheng-Minry-Imp-Exp-Co-Ltd-/1X09YBSB,,Chinese Mainland,,"Awards, Gifts, Toys & Sports Supplies, Home Products, Lights & Constructions, Homeware & Lifestyle Essentials",Zhaoming Pan,,"A-2023, East Plaza, Jianhu, Jiangsu, China",Chinese Mainland,,,,
https://sourcing.hktdc.com/en/Supplier-Store/Profile/Yangzhou-Xingrun-Glass-Crystal-Co-Ltd-/1X0A1JRO,,Chinese Mainland,,"Awards, Gifts, Toys & Sports Supplies, Home Products, Lights & Constructions, Homeware & Lifestyle Essentials",- Zhao,,"Chengnan Industral Zone, Baoying, Yangzhou, Jiangsu, China",Chinese Mainland,,,,
https://sourcing.hktdc.com/en/Supplier-Store/Profile/Yantai-Mzl-Culcreatech-Co-Ltd-/1S00P2SGW,Manufacturer,"Yantai, Shandong, Chinese Mainland View details Factory & Facility",,,Ms Jessica Jiao,,"265709, Lanxing Road, Langao Town, Longkou Shandong China,",Chinese Mainland,,,,
https://sourcing.hktdc.com/en/Supplier-Store/Profile/Yes-Lite-Lighting-Heyuan-Co-Ltd-/1S00P04W8,,Chinese Mainland,,,Huaying Zhao,,"Gaopu Science and Technology Industrial Park, High-tech Development Zone, Heyuan , Guangdong Province, China",Chinese Mainland,,,,
https://sourcing.hktdc.com/en/Supplier-Store/Profile/Yiwu-All-Purpose-Trading-Co-Ltd/1S00OA6HF,,Chinese Mainland,,,Yue Zhao,Sales Manager,"2/F, 167 Jiangdong South Road, Yiwu, Zhejiang, Mainland China",Chinese Mainland,,,,
https://sourcing.hktdc.com/en/Supplier-Store/Profile/Yiwu-Diefang-Industry-Trade-Co-Ltd/1S00OZOJR,,Chinese Mainland,,,Ms.Jiang Ms.Jiang,,"North Yiwu Industrial Zone, Suxi Town, Yiwu, Zhejiang, China",Chinese Mainland,,,,
https://sourcing.hktdc.com/en/Supplier-Store/Profile/Yiwu-Keshou-Crafts-Co-Ltd-/1S00OY5M1,,Chinese Mainland,,,Puhui Huang,,"No. 1 Wuhua Road, Futian Street, Yiwu City, Zhejiang, Mainland China",Chinese Mainland,,,,
https://sourcing.hktdc.com/en/Supplier-Store/Profile/Yiwu-Leheng-Toys-Co-Ltd/1S00OYFRC,,Chinese Mainland,,,Dr Jiayong Zhang,,,Chinese Mainland,,,,
https://sourcing.hktdc.com/en/Supplier-Store/Profile/Zhejiang-Qianyi-Paper-Co-Ltd-/1S00OY5TG,,Chinese Mainland,,,Ke-You Wu,,"Tianxiang Road 31, Jinhua, Zhejiang, Mainland China",Chinese Mainland,,,,
