Company Name,Location,Booth,url
Chu Kwun Kee Metal Manufactory Limited,Hong Kong,"['Booth: 5C-SC08C, 1B-B28   |   Treasure Hunt, Deluxe Gift Ideas   |   ']",/event/hkgiftspremiumfair/en/exhibitor/1S005DWN7
Karrex (Hong Kong) Limited,Hong Kong,"['Booth: 5C-SC08C, 1B-B28   |   Treasure Hunt, Deluxe Gift Ideas   |   ']",/event/hkgiftspremiumfair/en/exhibitor/1S005HGH5
Moral Team Holdings Limited,Hong Kong,"['Booth: 5C-SC08C, 1B-B28   |   Treasure Hunt, Deluxe Gift Ideas   |   ']",/event/hkgiftspremiumfair/en/exhibitor/1S005FGU2
Ningbo Tianhong Stationery Co Ltd,Chinese Mainland,"['Booth: 5C-SC08C, 1B-B28   |   Treasure Hunt, Deluxe Gift Ideas   |   ']",/event/hkgiftspremiumfair/en/exhibitor/1S005LL9O
Oriental Power (H.K.) Limited,Hong Kong,"['Booth: 5C-SC08C, 1B-B28   |   Treasure Hunt, Deluxe Gift Ideas   |   ']",/event/hkgiftspremiumfair/en/exhibitor/1S005FH2D
"Xiamen Tawa Enterprise Co., Ltd.",Chinese Mainland,"['Booth: 5C-SC08C, 1B-B28   |   Treasure Hunt, Deluxe Gift Ideas   |   ']",/event/hkgiftspremiumfair/en/exhibitor/1S005HG8W
"Chung Jen International Co., Limited",Hong Kong,"['Booth: 5C-SC08C, 1B-B28   |   Treasure Hunt, Deluxe Gift Ideas   |   ']",/event/hkgiftspremiumfair/en/exhibitor/1S005JHFA
Green Packaging Industries Pvt. Ltd.,India,"['Booth: 5C-SC08C, 1B-B28   |   Treasure Hunt, Deluxe Gift Ideas   |   ']",/event/hkgiftspremiumfair/en/exhibitor/1S005H9SF
Reflects Limited,Hong Kong,"['Booth: 5C-SC08C, 1B-B28   |   Treasure Hunt, Deluxe Gift Ideas   |   ']",/event/hkgiftspremiumfair/en/exhibitor/1S005FIH3
"Tonglu Ido Imp & Exp Co., Ltd.",Chinese Mainland,"['Booth: 5C-SC08C, 1B-B28   |   Treasure Hunt, Deluxe Gift Ideas   |   ']",/event/hkgiftspremiumfair/en/exhibitor/1S005HHZM
Wenzhou Rebec Stationery Co Ltd,Chinese Mainland,"['Booth: 5C-SC08C, 1B-B28   |   Treasure Hunt, Deluxe Gift Ideas   |   ']",/event/hkgiftspremiumfair/en/exhibitor/1S005J9AX
Beta International Corporation Limited,Hong Kong,"[""Booth: 1E-F33   |   The Hong Kong Exporters' Association Pavilion - Isle of Originality   |   ""]",/event/hkgiftspremiumfair/en/exhibitor/1S005JHH4
Ddiin Concept Ltd.,Hong Kong,"[""Booth: 1E-F33   |   The Hong Kong Exporters' Association Pavilion - Isle of Originality   |   ""]",/event/hkgiftspremiumfair/en/exhibitor/1S005M3DU
Exhibition+,Hong Kong,"[""Booth: 1E-F33   |   The Hong Kong Exporters' Association Pavilion - Isle of Originality   |   ""]",/event/hkgiftspremiumfair/en/exhibitor/1S005HDRE
Gift Concept Products Limited,Hong Kong,"[""Booth: 1E-F33   |   The Hong Kong Exporters' Association Pavilion - Isle of Originality   |   ""]",/event/hkgiftspremiumfair/en/exhibitor/1S005JHI1
Graphic Guides Design Company,Hong Kong,"[""Booth: 1E-F33   |   The Hong Kong Exporters' Association Pavilion - Isle of Originality   |   ""]",/event/hkgiftspremiumfair/en/exhibitor/1S005M47B
HSG Product Vision Limited,Hong Kong,"[""Booth: 1E-F33   |   The Hong Kong Exporters' Association Pavilion - Isle of Originality   |   ""]",/event/hkgiftspremiumfair/en/exhibitor/1S005M3K9
Hong Kong Export Credit Insurance Corporation,Hong Kong,"[""Booth: 1E-F33   |   The Hong Kong Exporters' Association Pavilion - Isle of Originality   |   ""]",/event/hkgiftspremiumfair/en/exhibitor/1S005DT9G
Jeep Innovation Limited,Hong Kong,"[""Booth: 1E-F33   |   The Hong Kong Exporters' Association Pavilion - Isle of Originality   |   ""]",/event/hkgiftspremiumfair/en/exhibitor/1S005M42Q
K-Pro International Ltd,Hong Kong,"[""Booth: 1E-F33   |   The Hong Kong Exporters' Association Pavilion - Isle of Originality   |   ""]",/event/hkgiftspremiumfair/en/exhibitor/1S005JH8V
Lexington Limited,Hong Kong,"[""Booth: 1E-F33   |   The Hong Kong Exporters' Association Pavilion - Isle of Originality   |   ""]",/event/hkgiftspremiumfair/en/exhibitor/1S005M488
Marcus & Marcus (International) Limited,Hong Kong,"[""Booth: 1E-F33   |   The Hong Kong Exporters' Association Pavilion - Isle of Originality   |   ""]",/event/hkgiftspremiumfair/en/exhibitor/1S005M3N0
PP Laboratory Ltd,Hong Kong,"[""Booth: 1E-F33   |   The Hong Kong Exporters' Association Pavilion - Isle of Originality   |   ""]",/event/hkgiftspremiumfair/en/exhibitor/1S005M40W
Profit Fine International Limited,Hong Kong,"[""Booth: 1E-F33   |   The Hong Kong Exporters' Association Pavilion - Isle of Originality   |   ""]",/event/hkgiftspremiumfair/en/exhibitor/1S005JHDG
"Vanpr Industrial Co., Ltd",Hong Kong,"[""Booth: 1E-F33   |   The Hong Kong Exporters' Association Pavilion - Isle of Originality   |   ""]",/event/hkgiftspremiumfair/en/exhibitor/1S005JH61
"Shanghai Sidaixue Stationery Co., Ltd",Chinese Mainland,"[""Booth: 1E-F33   |   The Hong Kong Exporters' Association Pavilion - Isle of Originality   |   ""]",/event/hkgiftspremiumfair/en/exhibitor/1S005HG62
"Cangnan Color Bag Co., Ltd.",Chinese Mainland,"[""Booth: 1E-F33   |   The Hong Kong Exporters' Association Pavilion - Isle of Originality   |   ""]",/event/hkgiftspremiumfair/en/exhibitor/1S005MG48
"Guangzhou Hongbang Leather Co., Ltd.",Chinese Mainland,"[""Booth: 1E-F33   |   The Hong Kong Exporters' Association Pavilion - Isle of Originality   |   ""]",/event/hkgiftspremiumfair/en/exhibitor/1S005IAMW
"Jiangxi Gift In Industrial Trade Co., Ltd.",Chinese Mainland,"[""Booth: 1E-F33   |   The Hong Kong Exporters' Association Pavilion - Isle of Originality   |   ""]",/event/hkgiftspremiumfair/en/exhibitor/1S005IB9Y
"Jingdezhen Manye Ceramics Co., Ltd.",Chinese Mainland,"[""Booth: 1E-F33   |   The Hong Kong Exporters' Association Pavilion - Isle of Originality   |   ""]",/event/hkgiftspremiumfair/en/exhibitor/1S005LYFT
Mr.Dori Studio,"Korea, Republic Of","[""Booth: 1E-F33   |   The Hong Kong Exporters' Association Pavilion - Isle of Originality   |   ""]",/event/hkgiftspremiumfair/en/exhibitor/1S005K8CS
"Ningbo Biofriendly International Trading Co., Ltd.",Chinese Mainland,"[""Booth: 1E-F33   |   The Hong Kong Exporters' Association Pavilion - Isle of Originality   |   ""]",/event/hkgiftspremiumfair/en/exhibitor/1S005IATB
Peerna,"Korea, Republic Of","[""Booth: 1E-F33   |   The Hong Kong Exporters' Association Pavilion - Isle of Originality   |   ""]",/event/hkgiftspremiumfair/en/exhibitor/1S005K8EM
Qingdao Bonroy Packaging Co Ltd,Chinese Mainland,"[""Booth: 1E-F33   |   The Hong Kong Exporters' Association Pavilion - Isle of Originality   |   ""]",/event/hkgiftspremiumfair/en/exhibitor/1S005IRWL
