,ref,department,description,awardee,award_date,sum,period,url,start,end
615,2175EM17T,Electrical and Mechanical Services Department,Triennial Term Contract for Building Services and Fitting-out Works to Municipal Venues for The Government of The Hong Kong Special Administrative Region,Alliance Contracting Company Limited,2018-04-01 00:00:00,Alliance Contracting Company Limited,,https://www.emsd.gov.hk/en/tenders_contracts_and_consultancies/tender_notices/award_of_tender/index.html,,
616,1054EM17T,Electrical and Mechanical Services Department,"Triennial Term Contract for Maintenance of Heating, Ventilation and Air-conditioning Installations for Health Sector Venues in New Territories West Region",REC Engineering Company Limited,2018-04-01 00:00:00,REC Engineering Company Limited,,https://www.emsd.gov.hk/en/tenders_contracts_and_consultancies/tender_notices/award_of_tender/index.html,,
617,1463EM17T,Electrical and Mechanical Services Department,Triennial Term Contract for the Comprehensive Maintenance and Repair of High Mast and High Bay Lighting Installations for the Government of the Hong Kong Special Administrative Region,Kum Shing (K.F.) Construction Company Limited,2018-04-01 00:00:00,Kum Shing (K.F.) Construction Company Limited,,https://www.emsd.gov.hk/en/tenders_contracts_and_consultancies/tender_notices/award_of_tender/index.html,,
618,2109EM17T,Electrical and Mechanical Services Department,"Triennial Term Contract for Building Services Fitting-Out Works, Replacement and Improvement Works to Health Sector Venues in New Territories West Region",Yordland Engineering Limited,2018-04-01 00:00:00,Yordland Engineering Limited,,https://www.emsd.gov.hk/en/tenders_contracts_and_consultancies/tender_notices/award_of_tender/index.html,,
619,2274EM17T,Electrical and Mechanical Services Department,Triennial Term Contract for the Engineering Services for E&M Installation and Other Services at Diamond Hill and Cape Collinson Crematorium and Columbarium,M & V Engineering (E & M) Limited,2018-03-01 00:00:00,M & V Engineering (E & M) Limited,,https://www.emsd.gov.hk/en/tenders_contracts_and_consultancies/tender_notices/award_of_tender/index.html,,
620,1360EM17T,Electrical and Mechanical Services Department,21-Month Term Contract for the Comprehensive Maintenance and Repair of Lift Installations at Various Premises of Hospital Authority (OT 17),Otis Elevator Company (H.K.) Limited,2018-03-01 00:00:00,Otis Elevator Company (H.K.) Limited,,https://www.emsd.gov.hk/en/tenders_contracts_and_consultancies/tender_notices/award_of_tender/index.html,,
621,1392EM17T,Electrical and Mechanical Services Department,Triennial Term Contract for the Comprehensive Maintenance and Repair of Lift Installations at Various Premises of the Government of the Hong Kong Special Administrative Region Package One of SA 17),Shan On Engineering Company Limited,2018-03-01 00:00:00,Shan On Engineering Company Limited,,https://www.emsd.gov.hk/en/tenders_contracts_and_consultancies/tender_notices/award_of_tender/index.html,,
622,2275EM17T,Electrical and Mechanical Services Department,"Triennial Term Contract for the Engineering Services for E&M Installation and Other Services at Wo Hop Shek, Kwai Chung and Fu Shan Crematorium and Columbarium",M & V Engineering (E & M) Limited,2018-03-01 00:00:00,M & V Engineering (E & M) Limited,,https://www.emsd.gov.hk/en/tenders_contracts_and_consultancies/tender_notices/award_of_tender/index.html,,
623,2972EM16T,Electrical and Mechanical Services Department,"Triennial Term Contract for the Maintenance and Repair of, Alternations and Additions to Fire Service Installations for Airport Venues (NEC TSC OPTION A)",Chubb Hong Kong Limited,2018-02-01 00:00:00,Chubb Hong Kong Limited,,https://www.emsd.gov.hk/en/tenders_contracts_and_consultancies/tender_notices/award_of_tender/index.html,,
624,2337EM17T,Electrical and Mechanical Services Department,Triennial Term Contract for the Comprehensive Maintenance and Repair of Lift Installations at Various Premises of the Government of the Hong Kong Special Administrative Region (Package One of TO17),Chevalier (HK) Limited,2018-02-01 00:00:00,Chevalier (HK) Limited,,https://www.emsd.gov.hk/en/tenders_contracts_and_consultancies/tender_notices/award_of_tender/index.html,,
625,2530EM16T,Electrical and Mechanical Services Department,Triennial Term Contract for the Comprehensive Maintenance and Repair of Lift Installations at Various Premises of the Government of the Hong Kong Special Administrative Region (Package Two of MT16),Mitsubishi Elevator Hong Kong Company Limited,2018-02-01 00:00:00,Mitsubishi Elevator Hong Kong Company Limited,,https://www.emsd.gov.hk/en/tenders_contracts_and_consultancies/tender_notices/award_of_tender/index.html,,
626,1628EM17W,Electrical and Mechanical Services Department,"Replacement of Raking Screens, Band Screens and Penstocks at Cheung Sha Wan Wholesale Food Market",REC Engineering Company Limited,2018-02-01 00:00:00,REC Engineering Company Limited,,https://www.emsd.gov.hk/en/tenders_contracts_and_consultancies/tender_notices/award_of_tender/index.html,,
627,2104EM15T,Electrical and Mechanical Services Department,"Triennial Term Contract for Operation and Maintenance of Electrical, Mechanical and Other Installations at Kai Tak Cruise Terminal of the Government of the Hong Kong Special Administrative Region (NEC TSC OPTION A)","The Jardine Engineering Corporation, Limited",2018-02-01 00:00:00,"The Jardine Engineering Corporation, Limited",,https://www.emsd.gov.hk/en/tenders_contracts_and_consultancies/tender_notices/award_of_tender/index.html,,
628,2605EM16T,Electrical and Mechanical Services Department,Triennial Term Contract for Operation and Maintenance of Air-conditioning Installations for Hong Kong Police Force and Independent Commission Against Corruption for the Government of HKSAR,Alliance Contracting Company Limited,2018-02-01 00:00:00,Alliance Contracting Company Limited,,https://www.emsd.gov.hk/en/tenders_contracts_and_consultancies/tender_notices/award_of_tender/index.html,,
629,1460EM17T,Electrical and Mechanical Services Department,"Triennial Contract for Maintenance and Repair of, Alteration, Addition to, Fire Service Installations in Municipal Venues for the Government of the Hong Kong Special Administrative Region",REC Engineering Company Limited,2018-01-01 00:00:00,REC Engineering Company Limited,,https://www.emsd.gov.hk/en/tenders_contracts_and_consultancies/tender_notices/award_of_tender/index.html,,
630,2397EM16T,Electrical and Mechanical Services Department,Triennial Term Contract for the Comprehensive Maintenance and Repair of Lift Installations at Various Premises of the Government of the Hong Kong Special Administrative Region (Package One of AE16),Anlev Elex Elevator Limited,2018-01-01 00:00:00,Anlev Elex Elevator Limited,,https://www.emsd.gov.hk/en/tenders_contracts_and_consultancies/tender_notices/award_of_tender/index.html,,
631,1671EM17W,Electrical and Mechanical Services Department,Supply and Installation of Automatic Vehicle Clearance Support System for Liantang / Heung Yuen Wai Boundary Control Point,NEC Hong Kong Limited,2018-01-01 00:00:00,NEC Hong Kong Limited,,https://www.emsd.gov.hk/en/tenders_contracts_and_consultancies/tender_notices/award_of_tender/index.html,,
632,1466EM17T,Electrical and Mechanical Services Department,"30-Month Term Contract for the Maintenance and Repair of, Alterations and Additions to Fire Service Installations for Health Services Buildings in New Territories Region",Kenworth Engineering Limited,2018-01-01 00:00:00,Kenworth Engineering Limited,,https://www.emsd.gov.hk/en/tenders_contracts_and_consultancies/tender_notices/award_of_tender/index.html,,
633,2896EM16T,Electrical and Mechanical Services Department,"Triennial Term Contract for The Maintenance and Repair, Alteration and Additions to Fire Service Installations in Venues in Hong Kong Island and Island (South) for the Government of the HKSAR",ATAL Engineering Limited,2018-01-01 00:00:00,ATAL Engineering Limited,,https://www.emsd.gov.hk/en/tenders_contracts_and_consultancies/tender_notices/award_of_tender/index.html,,
634,EMSD GSB 13705,Electrical and Mechanical Services Department,Biennial Contract for Sampling and Analyzing of Liquefied Petroleum Gas,SGS Hong Kong Limited,2017-12-01 00:00:00,SGS Hong Kong Limited,,https://www.emsd.gov.hk/en/tenders_contracts_and_consultancies/tender_notices/award_of_tender/index.html,,
635,1444EM17T,Electrical and Mechanical Services Department,"Biennial Term Contract for the Supply and Installation of Public Address Systems, Auxiliary Equipment & Emergency Call-out System for the Government of the HKSAR",Shun Tung Electric Company Limited,2017-12-01 00:00:00,Shun Tung Electric Company Limited,,https://www.emsd.gov.hk/en/tenders_contracts_and_consultancies/tender_notices/award_of_tender/index.html,,
636,2446EM15T,Electrical and Mechanical Services Department,Triennial Term Contract for the Comprehensive Maintenance and Repair of Escalator Installations at Various Premises of the Government of the Hong Kong Special Administrative Region (Package One of MT16E),Mitsubishi Elevator Hong Kong Company Limited,2017-12-01 00:00:00,Mitsubishi Elevator Hong Kong Company Limited,,https://www.emsd.gov.hk/en/tenders_contracts_and_consultancies/tender_notices/award_of_tender/index.html,,
637,2398EM16T,Electrical and Mechanical Services Department,Triennial Term Contract for the Comprehensive Maintenance and Repair of Escalator Installations at Various Premises of the Government of the Hong Kong Special Administrative Region (Package One of AE16E),Anlev Elex Elevator Limited,2017-12-01 00:00:00,Anlev Elex Elevator Limited,,https://www.emsd.gov.hk/en/tenders_contracts_and_consultancies/tender_notices/award_of_tender/index.html,,
638,2335EM16T,Electrical and Mechanical Services Department,"Triennial Contract for the Operation and Maintenance of Electrical, Mechanical and Other Installations for Municipal Venues in Hong Kong",Joint Effort Engineering (Asia) Limited,2017-12-01 00:00:00,Joint Effort Engineering (Asia) Limited,,https://www.emsd.gov.hk/en/tenders_contracts_and_consultancies/tender_notices/award_of_tender/index.html,,
639,1827EM17T,Electrical and Mechanical Services Department,"Triennial Term Contract for the Maintenance and Repair of, Water Pumping Installations and Filtration Tanks for Filtration Plants at Various Swimming Pool Complexes in the Kowloon District of the Government of the Hong Kong Special Administrative Region","The Jardine Engineering Corporation, Limited",2017-12-01 00:00:00,"The Jardine Engineering Corporation, Limited",,https://www.emsd.gov.hk/en/tenders_contracts_and_consultancies/tender_notices/award_of_tender/index.html,,
640,1423EM17T,Electrical and Mechanical Services Department,BiennialTerm Contract for the Comprehensive Maintenance and Repair of Lift Installations at Various Premises of Hospital Authority (SC 17),Schindler Lifts (Hong Kong) Limited,2017-12-01 00:00:00,Schindler Lifts (Hong Kong) Limited,,https://www.emsd.gov.hk/en/tenders_contracts_and_consultancies/tender_notices/award_of_tender/index.html,,
641,1944EM16T,Electrical and Mechanical Services Department,"Triennial Term Contract for the Maintenance and Repair of, Alterations and Additions to Fire Services Installations for Health Services Buildings in Hong Kong Region and Outlying Islands",Kenworth Engineering Limited,2017-12-01 00:00:00,Kenworth Engineering Limited,,https://www.emsd.gov.hk/en/tenders_contracts_and_consultancies/tender_notices/award_of_tender/index.html,,
642,1850EM16W,Electrical and Mechanical Services Department,Replacement of Tunnel Lighting System in the Kai Tak Tunnel,Kum Shing (K.F.) Construction Company Limited,2017-12-01 00:00:00,Kum Shing (K.F.) Construction Company Limited,,https://www.emsd.gov.hk/en/tenders_contracts_and_consultancies/tender_notices/award_of_tender/index.html,,
643,1824EM17T,Electrical and Mechanical Services Department,"Triennial Term Contract for the Comprehensive Maintenance and Repair of Lift Installations at Central Government Offices, Chief Executive’s Office and Legislative Council Complex, Tamar",Fujitec (HK) Company Limited,2017-12-01 00:00:00,Fujitec (HK) Company Limited,,https://www.emsd.gov.hk/en/tenders_contracts_and_consultancies/tender_notices/award_of_tender/index.html,,
644,1120EM17T,Electrical and Mechanical Services Department,Triennial Term Contract for Operation and Maintenance of Air-conditioning Installations in Various Venues of the Government of the Hong Kong Special Administrative Region Maintained by New Territories Maintenance Sub-division of General Engineering Services Division (NEC TSC OPTION A),Standard Refrigeration & Engineering Company Limited,2017-11-01 00:00:00,Standard Refrigeration & Engineering Company Limited,,https://www.emsd.gov.hk/en/tenders_contracts_and_consultancies/tender_notices/award_of_tender/index.html,,
645,2061EM17W,Electrical and Mechanical Services Department,Improvement Works on Air Conditioning System at Hong Kong Police Headquarters,"Winston Air Conditioning & Engineering (Hong Kong) Company, Limited",2017-11-01 00:00:00,"Winston Air Conditioning & Engineering (Hong Kong) Company, Limited",,https://www.emsd.gov.hk/en/tenders_contracts_and_consultancies/tender_notices/award_of_tender/index.html,,
646,1959EM17T,Electrical and Mechanical Services Department,"Four Years Term Contract for the Maintenance and Repair, Alteration and Additions to Fire Service Installations in Venues of the Government of the Hong Kong SAR Maintained by General Engineering Services Division in Kowloon and New Territories",REC Engineering Company Limited,2017-11-01 00:00:00,REC Engineering Company Limited,,https://www.emsd.gov.hk/en/tenders_contracts_and_consultancies/tender_notices/award_of_tender/index.html,,
647,1557EM16W,Electrical and Mechanical Services Department,Supply and Installation of Gantry Type X-ray Vehicle Inspection Systems at Liantang/Heung Yuen Wai Boundary Control Point,Nuctech Company Limited,2017-11-01 00:00:00,Nuctech Company Limited,,https://www.emsd.gov.hk/en/tenders_contracts_and_consultancies/tender_notices/award_of_tender/index.html,,
648,1334EM17T,Electrical and Mechanical Services Department,"Triennial Term Contract for the Maintenance and Repair of Burglar Alarm and Security Installations at Various Premises of the Government of the Hong Kong Special Administrative Region (Health Sector Division, Municipal Sector Division, Transport, Security & Central Services Division)",ASC (HK) Limited,2017-11-01 00:00:00,ASC (HK) Limited,,https://www.emsd.gov.hk/en/tenders_contracts_and_consultancies/tender_notices/award_of_tender/index.html,,
649,1660EM17T,Electrical and Mechanical Services Department,Triennial Term Contract for Operation and Maintenance of Data Centre Infrastructure at Siu Ho Wan Maintenance Depot,ATAL Engineering Limited,2017-11-01 00:00:00,ATAL Engineering Limited,,https://www.emsd.gov.hk/en/tenders_contracts_and_consultancies/tender_notices/award_of_tender/index.html,,
650,1419EM17T,Electrical and Mechanical Services Department,"Triennial Contract for the Maintenance of Town Gas Installations at Various Venues of Transport, Security and Central Services Division",Wenden Engineering Service Company Limited,2017-11-01 00:00:00,Wenden Engineering Service Company Limited,,https://www.emsd.gov.hk/en/tenders_contracts_and_consultancies/tender_notices/award_of_tender/index.html,,
651,1025EM17T,Electrical and Mechanical Services Department,"Triennial Term Contract for Provision of Maintenance, Modification and Installation Works of Electronic and E&M Control Systems at Various Sewage Treatment Works and Their Outstations",Chevalier (Envirotech) Limited,2017-10-01 00:00:00,Chevalier (Envirotech) Limited,,https://www.emsd.gov.hk/en/tenders_contracts_and_consultancies/tender_notices/award_of_tender/index.html,,
652,2814EM16T,Electrical and Mechanical Services Department,"Triennial Term Contract for the Maintenance and Repair of Water Pumping Installations, Filtration Tanks and Electro-Chlorinators for Filtration Plants at Various Swimming Pool Complexes in New Territories for the Government of the Hong Kong Special Administrative Region",P & A Engineering Limited,2017-10-01 00:00:00,P & A Engineering Limited,,https://www.emsd.gov.hk/en/tenders_contracts_and_consultancies/tender_notices/award_of_tender/index.html,,
653,1535EM17T,Electrical and Mechanical Services Department,Triennial Term Contract for Operation and Maintenance of Air-conditioning Installations in Various Venues of the Government of the Hong Kong Special Administrative Region Maintained by Kowloon Maintenance Sub-division of General Engineering Services Division,Westco Airconditioning Limited,2017-10-01 00:00:00,Westco Airconditioning Limited,,https://www.emsd.gov.hk/en/tenders_contracts_and_consultancies/tender_notices/award_of_tender/index.html,,
654,1632EM17T,Electrical and Mechanical Services Department,Triennial Term Contract for Operation and Maintenance of Air-conditioning Installations in Various Venues of the Government of the Hong Kong Special Administrative Region Maintained by Hong Kong Maintenance Sub-division of General Engineering Services Division,Westco Airconditioning Limited,2017-10-01 00:00:00,Westco Airconditioning Limited,,https://www.emsd.gov.hk/en/tenders_contracts_and_consultancies/tender_notices/award_of_tender/index.html,,
655,2511EM15T,Electrical and Mechanical Services Department,"18-Month Term Contract for Maintenance of Heating, Ventilation and Air-conditioning Installations for Health Sector Venues in Kowloon West Region",Westco Airconditioning Limited,2017-10-01 00:00:00,Westco Airconditioning Limited,,https://www.emsd.gov.hk/en/tenders_contracts_and_consultancies/tender_notices/award_of_tender/index.html,,
656,2080EM16T,Electrical and Mechanical Services Department,Four-Year Term Contract for the Maintenance of Fixed X-ray Vehicle Inspection System at Lok Ma Chau Boundary Crossing,Rapiscan Systems PTE. Ltd.,2017-09-01 00:00:00,Rapiscan Systems PTE. Ltd.,,https://www.emsd.gov.hk/en/tenders_contracts_and_consultancies/tender_notices/award_of_tender/index.html,,
657,1170EM17T,Electrical and Mechanical Services Department,"42-month Term Contract for the Maintenance and Repair of, Alterations and Additions to, Fire Service Installations in Venues of Hong Kong Police Force, Correctional Services Department, Independent Commission Against Corruption and Security Bureau for New Territories and Kowloon",ATAL Engineering Limited,2017-09-01 00:00:00,ATAL Engineering Limited,,https://www.emsd.gov.hk/en/tenders_contracts_and_consultancies/tender_notices/award_of_tender/index.html,,
658,1169EM17T,Electrical and Mechanical Services Department,"Triennial Term Contract for the Maintenance and Repair of, Alterations and Additions to, Fire Service Installations in Venues of the Hong Kong Police Force, Correctional Services Department, Independent Commission Against Corruption and Security Bureau for Hong Kong Island and Outlying Islands",Windmill Engineering Company Limited,2017-08-01 00:00:00,Windmill Engineering Company Limited,,https://www.emsd.gov.hk/en/tenders_contracts_and_consultancies/tender_notices/award_of_tender/index.html,,
659,1872EM16T,Electrical and Mechanical Services Department,Triennial Term Contract for Maintenance of Electrical and Mechanical Installations at Tuen Mun Children and Juvenile Home and Miscellaneous Equipment in Premises in New Territories Region,"The Jardine Engineering Corporation, Limited",2017-08-01 00:00:00,"The Jardine Engineering Corporation, Limited",,https://www.emsd.gov.hk/en/tenders_contracts_and_consultancies/tender_notices/award_of_tender/index.html,,
660,2604EM16T,Electrical and Mechanical Services Department,33-month Term Contract for Maintenance of Room Air Conditioners for Venues of Hong Kong Police Force for the Government of HKSAR,Young's Engineering Company Limited,2017-08-01 00:00:00,Young's Engineering Company Limited,,https://www.emsd.gov.hk/en/tenders_contracts_and_consultancies/tender_notices/award_of_tender/index.html,,
661,3003EM16A,Electrical and Mechanical Services Department,"Triennial Contract forManagement, Operation and Maintenance of Central to Mid-Levels Escalator and Walkway System",Synergis Management Services Limited,2017-08-01 00:00:00,Synergis Management Services Limited,,https://www.emsd.gov.hk/en/tenders_contracts_and_consultancies/tender_notices/award_of_tender/index.html,,
662,2163EM15T,Electrical and Mechanical Services Department,Triennial Term Contract for the Maintenance and Repair for Gondola Installations for Venues in Kowloon and New Territories Region Maintained by General Engineering Services Division of the Government of the HKSAR.,Buildtech Limited,2017-08-01 00:00:00,Buildtech Limited,,https://www.emsd.gov.hk/en/tenders_contracts_and_consultancies/tender_notices/award_of_tender/index.html,,
663,2616EM16T,Electrical and Mechanical Services Department,"Triennial Term Contract for Maintenance and Repair of, Alterations and Additions to, Floodlighting Installations",Joint Effort Engineering (Asia) Limited,2017-07-01 00:00:00,Joint Effort Engineering (Asia) Limited,,https://www.emsd.gov.hk/en/tenders_contracts_and_consultancies/tender_notices/award_of_tender/index.html,,
664,1459EM17A,Electrical and Mechanical Services Department,Provision of Operating and Maintenance Services for the Simultaneous Interpretation and Public Address Systems for Various Government Departments of the Hong Kong Special Administrative Region (New Territories and Miscellaneous Users),PCCW-HKT Technical Services Limited,2017-07-01 00:00:00,PCCW-HKT Technical Services Limited,,https://www.emsd.gov.hk/en/tenders_contracts_and_consultancies/tender_notices/award_of_tender/index.html,,
665,1458EM17A,Electrical and Mechanical Services Department,Provision of Operating and Maintenance Services for the Simultaneous Interpretation and Public Address Systems for Various Government Departments of the Hong Kong Special Administrative Region (Kowloon Region),PCCW-HKT Technical Services Limited,2017-07-01 00:00:00,PCCW-HKT Technical Services Limited,,https://www.emsd.gov.hk/en/tenders_contracts_and_consultancies/tender_notices/award_of_tender/index.html,,
666,1457EM17A,Electrical and Mechanical Services Department,Provision of Operating and Maintenance Services for the Simultaneous Interpretation and Public Address Systems for Various Government Departments of the Hong Kong Special Administrative Region (Hong Kong Region),PCCW-HKT Technical Services Limited,2017-07-01 00:00:00,PCCW-HKT Technical Services Limited,,https://www.emsd.gov.hk/en/tenders_contracts_and_consultancies/tender_notices/award_of_tender/index.html,,
667,1377EM16T,Electrical and Mechanical Services Department,"Triennial Term Contract for Maintenance and Repair of Air-conditioning Installations for Correctional Services Department, Highways Department and Transport Department in New Territories, Hong Kong Island and Outlying Islands and for Drainage Services Department in the Hong Kong Special Administrative Region",Young's Engineering Company Limited,2017-07-01 00:00:00,Young's Engineering Company Limited,,https://www.emsd.gov.hk/en/tenders_contracts_and_consultancies/tender_notices/award_of_tender/index.html,,
668,1152EM15T,Electrical and Mechanical Services Department,"Triennial Term Contract for Operation and Maintenance of Air-conditioning Installations for Hong Kong Police Force, Independent Commission Against Corruption and Security Bureau in New Territories for the Government of the HKSAR. (NEC TSC OPTION A)",Young's Engineering Company Limited,2017-06-01 00:00:00,Young's Engineering Company Limited,,https://www.emsd.gov.hk/en/tenders_contracts_and_consultancies/tender_notices/award_of_tender/index.html,,
669,2894EM16T,Electrical and Mechanical Services Department,Quadrennial Term Contract for Maintenance Services of Infrastructure Power Network at Hong Kong International Airport,Triple Faith Engineering & Supply Limited,2017-06-01 00:00:00,Triple Faith Engineering & Supply Limited,,https://www.emsd.gov.hk/en/tenders_contracts_and_consultancies/tender_notices/award_of_tender/index.html,,
670,2659EM16A,Electrical and Mechanical Services Department,"Improvement, Operation and Maintenance of Animal Waste Composting Plant at Ngau Tam Mei and Collection Services","The Jardine Engineering Corporation, Limited",2017-06-01 00:00:00,"The Jardine Engineering Corporation, Limited",,https://www.emsd.gov.hk/en/tenders_contracts_and_consultancies/tender_notices/award_of_tender/index.html,,
671,2172EM15T,Electrical and Mechanical Services Department,"Term Contract for Building Services Fitting-out, Replacement and Improvement Works to Health Sector Venues in Kowloon West Region","Winston Air Conditioning & Engineering (Hong Kong) Company, Limited",2017-05-01 00:00:00,"Winston Air Conditioning & Engineering (Hong Kong) Company, Limited",,https://www.emsd.gov.hk/en/tenders_contracts_and_consultancies/tender_notices/award_of_tender/index.html,,
672,1825EM16T,Electrical and Mechanical Services Department,"Triennial Term Contract for Operation and Maintenance of Air-conditioning Installations for Hong Kong Police Force, Independent Commission Against Corruption and Security Bureau in Hong Kong Island and Outlying Islands for the Government of the HKSAR.",Wenden Engineering Service Company Limited,2017-04-01 00:00:00,Wenden Engineering Service Company Limited,,https://www.emsd.gov.hk/en/tenders_contracts_and_consultancies/tender_notices/award_of_tender/index.html,,
673,2419EM15W,Electrical and Mechanical Services Department,Retrofitting of One Set of Water-cooled Chiller at Pamela Youde Nethersole Eastern Hospital,Quad-Tech Engineering (H.K.) Company Limited,2017-03-01 00:00:00,Quad-Tech Engineering (H.K.) Company Limited,,https://www.emsd.gov.hk/en/tenders_contracts_and_consultancies/tender_notices/award_of_tender/index.html,,
674,2730EM15T,Electrical and Mechanical Services Department,Triennial Term Contract for the Comprehensive Maintenance and Repair of Escalator Installations at Various Premises of the Government of the Hong Kong Special Administrative Region (Package One of TK16),Holake Hong Kong Lifts Limited,2017-03-01 00:00:00,Holake Hong Kong Lifts Limited,,https://www.emsd.gov.hk/en/tenders_contracts_and_consultancies/tender_notices/award_of_tender/index.html,,
675,1363EM15T,Electrical and Mechanical Services Department,"Quadrennial Term Contract for Installation, Modification, Testing and Commissioning of Traffic Light and Traffic Aids Equipment in Hong Kong",Thorn Security (Hong Kong) Limited,2017-02-01 00:00:00,Thorn Security (Hong Kong) Limited,,https://www.emsd.gov.hk/en/tenders_contracts_and_consultancies/tender_notices/award_of_tender/index.html,,
676,1815EM16W,Electrical and Mechanical Services Department,Replacement of Chillers and Associated Accessories at Air Traffic Control Complex in Hong Kong International Airport,York International (Northern Asia) Limited,2017-02-01 00:00:00,York International (Northern Asia) Limited,,https://www.emsd.gov.hk/en/tenders_contracts_and_consultancies/tender_notices/award_of_tender/index.html,,
677,1847EM16T,Electrical and Mechanical Services Department,Quadrennial Term Contract for Examination and Testing of Lifting Appliances and Lifting Gear in New Territories and Outlying Islands.,ISPL Consulting Limited,2017-02-01 00:00:00,ISPL Consulting Limited,,https://www.emsd.gov.hk/en/tenders_contracts_and_consultancies/tender_notices/award_of_tender/index.html,,
678,2397EM15T,Electrical and Mechanical Services Department,"Annual Term Contract for Building Services Fitting-out, Replacement and Improvement Works for Health Sector Venues in Hong Kong Region and Outlying Islands",Alliance Contracting Company Limited,2017-02-01 00:00:00,Alliance Contracting Company Limited,,https://www.emsd.gov.hk/en/tenders_contracts_and_consultancies/tender_notices/award_of_tender/index.html,,
679,2646EM15T,Electrical and Mechanical Services Department,"Triennial Term Contract for Maintenance of Domestic Electrical Appliances, Electrical Installations and Floodlight Installations at Various Venues of Transport, Security and Central Services Division",Wenden Engineering Service Company Limited,2017-02-01 00:00:00,Wenden Engineering Service Company Limited,,https://www.emsd.gov.hk/en/tenders_contracts_and_consultancies/tender_notices/award_of_tender/index.html,,
680,1012EM16T,Electrical and Mechanical Services Department,30-Month Term Contract for the Comprehensive Maintenance and Repair of Escalator Installations at Various Premises of the Government of the Hong Kong Special Administrative Region and Hospital Authority (Package One of SC16E),Schindler Lifts (Hong Kong) Limited,2017-01-01 00:00:00,Schindler Lifts (Hong Kong) Limited,,https://www.emsd.gov.hk/en/tenders_contracts_and_consultancies/tender_notices/award_of_tender/index.html,,
681,1692EM15W,Electrical and Mechanical Services Department,Refurbishment of the Central to Mid-levels Escalator and Walkway System,Anlev Elex Elevator Limited,2017-01-01 00:00:00,Anlev Elex Elevator Limited,,https://www.emsd.gov.hk/en/tenders_contracts_and_consultancies/tender_notices/award_of_tender/index.html,,
682,2202EM15T,Electrical and Mechanical Services Department,Triennial Term Contract for the Comprehensive Maintenance and Repair of Lift Installations at Various Premises of the Government of the Hong Kong Special Administrative Region and Hospital Authority (Package One of KO15),Kone Elevator (HK) Limited,2017-01-01 00:00:00,Kone Elevator (HK) Limited,,https://www.emsd.gov.hk/en/tenders_contracts_and_consultancies/tender_notices/award_of_tender/index.html,,
683,1011EM16T,Electrical and Mechanical Services Department,Triennial Term Contract for the Comprehensive Maintenance and Repair of Escalator Installations at Various Premises of the Government of the Hong Kong Special Administrative Region and Hospital Authority (Package One of KO16E),Kone Elevator (HK) Limited,2017-01-01 00:00:00,Kone Elevator (HK) Limited,,https://www.emsd.gov.hk/en/tenders_contracts_and_consultancies/tender_notices/award_of_tender/index.html,,
684,1264EM15T,Electrical and Mechanical Services Department,36-Month Term Contract for Building Services and Fitting-out Works to Health Sector Venues in Kowloon Central Region,Alliance Contracting Company Limited,2017-01-01 00:00:00,Alliance Contracting Company Limited,,https://www.emsd.gov.hk/en/tenders_contracts_and_consultancies/tender_notices/award_of_tender/index.html,,
685,2665EM15T,Electrical and Mechanical Services Department,Triennial Term Contract for Maintenance of Electrical and Mechanical Installations at Cheung Sha Wan Government Offices,Alliance Contracting Company Limited,2017-01-01 00:00:00,Alliance Contracting Company Limited,,https://www.emsd.gov.hk/en/tenders_contracts_and_consultancies/tender_notices/award_of_tender/index.html,,
686,2017EM15T,Electrical and Mechanical Services Department,Triennial Term Contract for the Comprehensive Maintenance and Repair of Lift Installations at Various Premises of the Government of the Hong Kong Special Administrative Region and Hospital Authority (Package Two of OT15),Holake Hong Kong Lifts Ltd.,2017-01-01 00:00:00,Holake Hong Kong Lifts Ltd.,,https://www.emsd.gov.hk/en/tenders_contracts_and_consultancies/tender_notices/award_of_tender/index.html,,
687,2249EM15W,Electrical and Mechanical Services Department,Replacement of Air Handling Units and Chilled Water Distribution Pipes including Thermal Insulations at Eastern Law Courts Building,Alliance Contracting Company Limited,2017-01-01 00:00:00,Alliance Contracting Company Limited,,https://www.emsd.gov.hk/en/tenders_contracts_and_consultancies/tender_notices/award_of_tender/index.html,,
688,1342EM16T,Electrical and Mechanical Services Department,Quadrennial Term Contract for Examination and Testing of Lifting Appliances and Lifting Gear in Hong Kong Island and Kowloon,ISPL Consulting Limited,2016-12-01 00:00:00,ISPL Consulting Limited,,https://www.emsd.gov.hk/en/tenders_contracts_and_consultancies/tender_notices/award_of_tender/index.html,,
689,1229EM16T,Electrical and Mechanical Services Department,Quadrennial Term Contract for Provision of Maintenance Service and Modification Works for Closed Circuit Television Systems for Transport Department in Hong Kong Special Administrative Region,Thorn Security (Hong Kong) Limited,2016-12-01 00:00:00,Thorn Security (Hong Kong) Limited,,https://www.emsd.gov.hk/en/tenders_contracts_and_consultancies/tender_notices/award_of_tender/index.html,,
690,1744EM15T,Electrical and Mechanical Services Department,"Triennial Term Contract for Building Services Fitting-out, Replacement and Improvement Works to Health Sector Venues in New Territories East Region",Yordland Engineering Limited,2016-12-01 00:00:00,Yordland Engineering Limited,,https://www.emsd.gov.hk/en/tenders_contracts_and_consultancies/tender_notices/award_of_tender/index.html,,
