"item href","imgbox src","tit","p","p 2","p 3","tab","tab 2","tab 3"
"https://www.transportlogistic-china.com/exhibitor-directory/info/263","https://imgs.tl-c.cn/uploads/image/20260415/431aac7e5aec272a41899eb79f92c64c.jpg","Beijing yixiang tianji International freight forwarding Co., Ltd","China","W5","W5.110","Air Cargo","Port / Shipping Logistics","Road / Rail Transportation"
"https://www.transportlogistic-china.com/exhibitor-directory/info/570","https://imgs.tl-c.cn/uploads/image/20260525/909d0fcd69b939aea7771e44c7f7a653.png","Belsotra LLC","Belarus","W4","W4.118","Logistics Services","Road / Rail Transportation",""
"https://www.transportlogistic-china.com/exhibitor-directory/info/735","https://imgs.tl-c.cn/uploads/image/20260519/02a88d39c93150a23d3fca80003a4c09.jpg","Bertschi Group","Switzerland","W3","W3.560","Logistics Services","Road / Rail Transportation",""
"https://www.transportlogistic-china.com/exhibitor-directory/info/373","https://imgs.tl-c.cn/uploads/image/20260415/1297b49c8c7b46604f9986fb57f53814.png","BESTCHEM GROUP HOLDINGS","China","W3","W3.471","Logistics Services","Port / Shipping Logistics","Road / Rail Transportation"
"https://www.transportlogistic-china.com/exhibitor-directory/info/487","https://imgs.tl-c.cn/uploads/image/20260413/e24ae3e68c59c3d9b335858e5f85711e.png","BIP Perolo Jiangsu Engineering Limited","China","W3","W3.453","Logistics Services","Port / Shipping Logistics","Road / Rail Transportation"
"https://www.transportlogistic-china.com/exhibitor-directory/info/887","https://imgs.tl-c.cn/uploads/image/20260519/032c2556a7bf6a7016ba0c91e50f0530.png","Blackshields Climate Control Technology (Suzhou ) Co., Ltd.","China","W2","W2.543","Fresh Logistics","Special Purpose Vehicles","Logistics Equipment"
"https://www.transportlogistic-china.com/exhibitor-directory/info/340","https://imgs.tl-c.cn/uploads/image/20260520/50f2d45e6787eb8e23df5b02ce3aac58.png","Bondex Supply Chain Management Co., Ltd.","China","W4","W4.369","Project Cargo","Port / Shipping Logistics","Smart Logistics / IT Systems"
"https://www.transportlogistic-china.com/exhibitor-directory/info/628","https://imgs.tl-c.cn/uploads/image/20260326/eeb8f0398a1888c387ddc831133a903a.jpg","Boyue Jincheng International Logistics (Beijing) Co., Ltd.","China","W2","W2.253","Air Cargo","Logistics Services","Project Cargo"
"https://www.transportlogistic-china.com/exhibitor-directory/info/855","https://imgs.tl-c.cn/uploads/image/20260506/faa38c4b815aa7eab51d37c0c407c848.jpg","BREMENINVEST","Germany","W4","W4.129","Logistics Services","",""
"https://www.transportlogistic-china.com/exhibitor-directory/info/529","https://imgs.tl-c.cn/uploads/image/20260528/a40721651a000b46df52801cf5ca16cc.png","Broadsoar International Logistics Co,.Ltd.","China","W4","W4.387","Logistics Services","Road / Rail Transportation","Project Cargo"
"https://www.transportlogistic-china.com/exhibitor-directory/info/749","https://imgs.tl-c.cn/uploads/image/20260511/0b410de70f89393b70ccf01627c28f03.jpg","Brussels Airport","Belgium","W4","W4.622","Logistics Real Estate / Warehousing Parks","Air Cargo","Logistics Services"
"https://www.transportlogistic-china.com/exhibitor-directory/info/327","https://imgs.tl-c.cn/uploads/image/20260416/72b3fb7057c9c569e56b6aba755264b6.jpg","BSI GOTOFREIGHT CO., LTD.","China","W5","W5.111","Logistics Services","Air Cargo","Port / Shipping Logistics"
"https://www.transportlogistic-china.com/exhibitor-directory/info/681","https://imgs.tl-c.cn/uploads/image/20260519/7298b0cda60d993be8aaafdf59a54789.png","BTG International Freight Forwarding(Beijing) Co., Ltd.","China","W2","W2.167","Logistics Services","",""
