url,Nature of Business,Location,Year of Establishment,Main Categories,Major Markets,Total Employees,Contact Person,Position,Office Address,Country/Region,Annual Turnover,Brands
https://sourcing.hktdc.com/en/Supplier-Store/Profile/Xiamen-Amazing-Union-Technology-Co-Ltd-/1S00OA35I,Manufacturer,"Xiamen, Fujian, Chinese Mainland",2012.0,"Gift Packaging, Paper Packaging","Central & South America, Japan, Korea, North America, Southeast Asia, Western Europe",51 - 100,Ms Carol Lin,CEO,"FLOOR 2ND, NO.278 TONGAN PARK，TONGAN CONCENTRATED ,INDUSTRIA",Chinese Mainland,"US$ 5,000,000 - 9,999,999",LSX View details Factory & Facility
https://sourcing.hktdc.com/en/Supplier-Store/Profile/Xiamen-Color-Packaging-Co-Ltd/1X0B9XEV,"Exporter, Manufacturer","Xiamen, Fujian, Chinese Mainland",,"Gift Packaging, Paper Packaging, Stationery","Australasia, Eastern Europe, North America",51 - 100,Ms Sarah Que,Marketing Executive,"361000, 567 Tongfu Road Xike Town Tong'an Dist, Xiamen Fujian China",Chinese Mainland,"US$ 5,000,000 - 9,999,999",Customized ODM OEM Certificate Name Issued By Certificate Type Valid Date FSC - - - BSCI - - - SGS - - - View details Factory & Facility
https://sourcing.hktdc.com/en/Supplier-Store/Profile/Xiamen-Elements-Packaging-Co-Ltd-/1S00P0VEZ,"Exporter, Manufacturer","Xiamen, Fujian, Chinese Mainland",2014.0,"Packaging Materials, Paper Packaging","Africa, Australasia, Central & South America, Eastern Europe, Hong Kong, Japan, Korea, Middle East, North America, Other Asian Countries, Scandinavia, Southeast Asia, Taiwan, Western Europe, Worldwide",101 - 200,Mr Johnny Chong,General Manager,"#15-5 Rong Yuan Road, Tong’an District, Xiamen, Fujian,361100 China",Chinese Mainland,,
https://sourcing.hktdc.com/en/Supplier-Store/Profile/Xiamen-Jiangxin-Plastic-Box-Co-Ltd/1X090ARF,Manufacturer,"Xiamen, Fujian, Chinese Mainland",,Plastic Packaging ODM OEM,,,Mr Kayson Ye,Manager,"Unit 302, No.65 Siming Industrial Zone Meixi Road, Tong'an District,",Chinese Mainland,,
https://sourcing.hktdc.com/en/Supplier-Store/Profile/Xiamen-Jufu-Plastic-Products-Co-Ltd/1X077BHM,"Exporter, Manufacturer","Xiamen, Fujian, Chinese Mainland",1999.0,"Food & Beverage, Packaging Materials, Plastic Packaging","Australasia, Chinese Mainland, Hong Kong, Japan, North America, Southeast Asia, Taiwan, Western Europe",201 - 500,Mr lan Ryan,manager,"No. 28, Xinglin North 2nd Rd, Jimei District, Xiamen, Fujian, China",Chinese Mainland,"US$ 5,000,000 - 9,999,999",JUFU ODM OEM Certificate Name Issued By Certificate Type Valid Date China Famous Brand Packaging Products - - - IS09001 - ISO 9001 - ISO14001 - ISO 14001 - Patents - - - Patents - - - Show More
https://sourcing.hktdc.com/en/Supplier-Store/Profile/Xiamen-Kingbo-Fuqipack-Co-Ltd-/1S00OBA3H,,Chinese Mainland,,"Packaging Materials, Plastic Packaging",,,Amy Du,Sales Manager,"No. 321-112 Gaopu Road, Jimei District, Xiamen, Fujian, China 361022",Chinese Mainland,,
https://sourcing.hktdc.com/en/Supplier-Store/Profile/Xiamen-Lesi-Packaging-Technology-Co-Ltd/1X0B9XCX,Exporter,"Xiamen, Fujian, Chinese Mainland",2000.0,"Gift Packaging, Homeware & Lifestyle Essentials, Packaging Materials, Plastic Packaging","Australasia, Eastern Europe, North America, Scandinavia, Western Europe, Worldwide","51 - 100 Certificate Name Issued By Certificate Type Valid Date BRC - - - GRS Bureau Veritas Consumer Products Services, Inc. Others 17 Oct 2024 - (N/A) View details Factory & Facility",Ms Sophia Chen,,"F7, Building 1 No. 618 Tongfu Road Tongan District,Xiamen China",Chinese Mainland,,
https://sourcing.hktdc.com/en/Supplier-Store/Profile/Xiamen-Lixin-Plastic-Packing-Co-Ltd-/1S00OOFAR,"Exporter, Manufacturer","Xiamen, Fujian, Chinese Mainland",2003.0,"Homeware & Lifestyle Essentials, Packaging Materials, Plastic Packaging","Central & South America, Chinese Mainland, North America, Southeast Asia, Western Europe",201 - 500,Ms Sherry Liang,Manager,"No. 103, Xiaguang Road, Haicang District, Xiamen, Fujian 361000, China",Chinese Mainland,"US$ 10,000,000 - 49,999,999",LIXIN THERMOFORMING BLISTER CNC CENTER INJECTION View details Factory & Facility Research & Development Quality Control
https://sourcing.hktdc.com/en/Supplier-Store/Profile/Xiamen-Lude-Ribbons-Bows-Co-Ltd/1X09062G,,Chinese Mainland,,"Festive Supplies, Gift Packaging, Gifts, Toys & Sports Supplies, Packaging Materials, Printing & Packaging Equipment, Stationery",,,Tim Yu,Sales,,Chinese Mainland,,
https://sourcing.hktdc.com/en/Supplier-Store/Profile/Xiamen-Tonghong-Industry-Trade-Co-Ltd/1S00O9WYA,,Chinese Mainland,,Paper Packaging,,,Season Ke,Sales Manager,"4F, No.170, Tongan Park, Tongan Centralized District, Xiamen, Fujian CHina 361100",Chinese Mainland,,
