url,contact information,Country/Region,Address,Zip code,Company website
https://www.cantonfair.org.cn/en-US/shops/451693199260832#/,"['Basic Information', '', 'Company Name', '', 'JIANGSU PHOENIX ART MATERIALS TECHNOLOGY CO., LTD.', '', 'Country/Region', '', 'Jiangsu,China', '', 'Address', '', '#2 HUAYUAN RD, BINHU DISTRICT, WUXI, JIANGSU 214131 CHINA', '', 'Zip code', '', '214131', '', 'Company website', '', 'http://WWW.PHOENIX-ARTS.COM']","Jiangsu,China","#2 HUAYUAN RD, BINHU DISTRICT, WUXI, JIANGSU 214131 CHINA",214131,http://WWW.PHOENIX-ARTS.COM
https://www.cantonfair.org.cn/en-US/shops/451689381457025#/,"['Basic Information', '', 'Company Name', '', 'LAIZHOU SHENGDA STATIONERY CO., LTD', '', 'Country/Region', '', 'Shandong,China', '', 'Address', '', 'HOUHAO VILLAGE, ZHUQIAO TOWN, LAIZHOU CITY, SHANDONG PROVINCE', '', 'Zip code', '', '261436', '', 'Company website', '', '-']","Shandong,China","HOUHAO VILLAGE, ZHUQIAO TOWN, LAIZHOU CITY, SHANDONG PROVINCE",261436,-
https://www.cantonfair.org.cn/en-US/shops/451692078881984#/,"['Basic Information', '', 'Company Name', '', 'RIZHAO TOPROAD STATIONERY CO., LTD.', '', 'Country/Region', '', 'Shandong,China', '', 'Address', '', 'FULAISHAN STREET, JUXIAN COUNTY, RIZHAO CITY, SHANDONG PROVINCE,CHINA', '', 'Zip code', '', '276500', '', 'Company website', '', 'http://www,three-credits.com']","Shandong,China","FULAISHAN STREET, JUXIAN COUNTY, RIZHAO CITY, SHANDONG PROVINCE,CHINA",276500,"http://www,three-credits.com"
https://www.cantonfair.org.cn/en-US/shops/451694034599168#/,"['Basic Information', '', 'Company Name', '', 'WEIBIN STATIONERY CO.,LTD.', '', 'Country/Region', '', 'Jiangxi,China', '', 'Address', '', 'SHANGJIAO,WUYANG TOWN,RUJIN CITY,JIANGXI', '', 'Zip code', '', '342508', '', 'Company website', '', 'http://www.weibinqi.com']","Jiangxi,China","SHANGJIAO,WUYANG TOWN,RUJIN CITY,JIANGXI",342508,http://www.weibinqi.com
https://www.cantonfair.org.cn/en-US/shops/451692280933664#/,"['Basic Information', '', 'Company Name', '', 'ZHEJIANG ZHENGDA STATIONERY MANUFACTURING CO., LTD.', '', 'Country/Region', '', 'China', '', 'Address', '', 'FLOOR 1-2, BUILDING 15, NO.281 WEI 15TH STR., YUEQING ECONOMIC DEVELOPMENT ZONE, YUEQING, WENZHOU, CHINA', '', 'Zip code', '', '325000', '', 'Company website', '', 'http://wz-zhengda.com']",China,"FLOOR 1-2, BUILDING 15, NO.281 WEI 15TH STR., YUEQING ECONOMIC DEVELOPMENT ZONE, YUEQING, WENZHOU, CHINA",325000,http://wz-zhengda.com
https://www.cantonfair.org.cn/en-US/shops/451696773033184#/,"['Basic Information', '', 'Company Name', '', 'ENPING SANLI ADHESIVE CO.,LTD.', '', 'Country/Region', '', 'Guangdong,China', '', 'Address', '', 'NORTH INDUSTRIAL DISTRICT,ENPING,GUANGDONG', '', 'Zip code', '', '529400', '', 'Company website', '', 'http://www.sanlitape.com']","Guangdong,China","NORTH INDUSTRIAL DISTRICT,ENPING,GUANGDONG",529400,http://www.sanlitape.com
https://www.cantonfair.org.cn/en-US/shops/451693760941216#/,"['Basic Information', '', 'Company Name', '', 'Shaoxing Chaofeng Stationery Co.,ltd', '', 'Country/Region', '', 'Zhejiang,China', '', 'Address', '', 'BIBOTAN INDUSTRIAL PARK,SUNDUAN TOWN,SHAOXING,ZHEJIANG,CHINA', '', 'Zip code', '', '312090', '', 'Company website', '', 'https://www.chaofengstationery.com/']","Zhejiang,China","BIBOTAN INDUSTRIAL PARK,SUNDUAN TOWN,SHAOXING,ZHEJIANG,CHINA",312090,https://www.chaofengstationery.com/
https://www.cantonfair.org.cn/en-US/shops/451698267385217#/,"['Basic Information', '', 'Company Name', '', 'SINOART SHAGNHAI CO.,LTD.', '', 'Country/Region', '', 'Shanghai,China', '', 'Address', '', 'RM.1820,NO.218 NINGGUO RD., SHANGHAI, CHINA', '', 'Zip code', '', '200090', '', 'Company website', '', 'http://www.chinasinoart.com']","Shanghai,China","RM.1820,NO.218 NINGGUO RD., SHANGHAI, CHINA",200090,http://www.chinasinoart.com
https://www.cantonfair.org.cn/en-US/shops/451692322167936#/,"['Basic Information', '', 'Company Name', '', 'QINGDAO BOARDEST ARTS & CRAFTS CO.,LTD.', '', 'Country/Region', '', 'Shandong,China', '', 'Address', '', 'Room 1803 Building B,No.2 Heilongjiang Nan Road,Vanke Center, Qingdao,China', '', 'Zip code', '', '266033', '', 'Company website', '', 'http://boardest.net']","Shandong,China","Room 1803 Building B,No.2 Heilongjiang Nan Road,Vanke Center, Qingdao,China",266033,http://boardest.net
https://www.cantonfair.org.cn/en-US/shops/451692233141536#/,"['Basic Information', '', 'Company Name', '', 'CHANGZHOU STAND WIDE TRADE CO.,LTD', '', 'Country/Region', '', 'Jiangsu,China', '', 'Address', '', 'ROOM 508, BUILDING 2, DIANYA COMMERCIAL PLAZA, XINBEI DISTRIC, CHANGZHOU, JIANGSU, CHINA', '', 'Zip code', '', '213002', '', 'Company website', '', 'http://www.standwide.com']","Jiangsu,China","ROOM 508, BUILDING 2, DIANYA COMMERCIAL PLAZA, XINBEI DISTRIC, CHANGZHOU, JIANGSU, CHINA",213002,http://www.standwide.com
