company_name,description,exhibit loc,url,full_url
"Bloomage Joytoy (Beijing）Technology Development Co., Ltd.",,"14, E11",/shenzhen/en/exhibitor-search.detail.html/bloomage-joytoy-beijingtechnology-development-co-ltd.html#exhibitorheadline,https://shenzhen-international-toy-and-hobby-fair.hk.messefrankfurt.com/shenzhen/en/exhibitor-search.detail.html/bloomage-joytoy-beijingtechnology-development-co-ltd.html#exhibitorheadline
"Booster (Dongguan) Plastic Products Co.,Ltd.","Bostar (Dongguan) Plastic Products Co., Ltd. and Dongguan Hongxin Intelligent Technology Co., Ltd., both established in 2006...","12, L44",/shenzhen/en/exhibitor-search.detail.html/booster-dongguan-plastic-products-coltd.html#exhibitorheadline,https://shenzhen-international-toy-and-hobby-fair.hk.messefrankfurt.com/shenzhen/en/exhibitor-search.detail.html/booster-dongguan-plastic-products-coltd.html#exhibitorheadline
"Bora Network Technology (Guangdong) Co.,Ltd.",,"14, A23",/shenzhen/en/exhibitor-search.detail.html/bora-network-technology-guangdong-coltd.html#exhibitorheadline,https://shenzhen-international-toy-and-hobby-fair.hk.messefrankfurt.com/shenzhen/en/exhibitor-search.detail.html/bora-network-technology-guangdong-coltd.html#exhibitorheadline
Boxin Toy Factory,,"13, R22",/shenzhen/en/exhibitor-search.detail.html/boxin-toy-factory.html#exhibitorheadline,https://shenzhen-international-toy-and-hobby-fair.hk.messefrankfurt.com/shenzhen/en/exhibitor-search.detail.html/boxin-toy-factory.html#exhibitorheadline
"Bread Barbershop Co., Ltd.",,"16, E23e",/shenzhen/en/exhibitor-search.detail.html/bread-barbershop-co-ltd.html#exhibitorheadline,https://shenzhen-international-toy-and-hobby-fair.hk.messefrankfurt.com/shenzhen/en/exhibitor-search.detail.html/bread-barbershop-co-ltd.html#exhibitorheadline
Busy World,,"15, T30",/shenzhen/en/exhibitor-search.detail.html/busy-world.html#exhibitorheadline,https://shenzhen-international-toy-and-hobby-fair.hk.messefrankfurt.com/shenzhen/en/exhibitor-search.detail.html/busy-world.html#exhibitorheadline
Centre Testing International Group,,"12, L12",/shenzhen/en/exhibitor-search.detail.html/centre-testing-international-group.html#exhibitorheadline,https://shenzhen-international-toy-and-hobby-fair.hk.messefrankfurt.com/shenzhen/en/exhibitor-search.detail.html/centre-testing-international-group.html#exhibitorheadline
"Century Youyi Toys Co.,Ltd.",,"14, L21",/shenzhen/en/exhibitor-search.detail.html/century-youyi-toys-coltd.html#exhibitorheadline,https://shenzhen-international-toy-and-hobby-fair.hk.messefrankfurt.com/shenzhen/en/exhibitor-search.detail.html/century-youyi-toys-coltd.html#exhibitorheadline
Champion Union Sticker Products Co Limited,"PET shrink wrap, anti-counterfeiting labels, holographic stickers, gold foil stickers, silver foil stickers, resin-coated...","15, N24",/shenzhen/en/exhibitor-search.detail.html/champion-union-sticker-products-co-limited.html#exhibitorheadline,https://shenzhen-international-toy-and-hobby-fair.hk.messefrankfurt.com/shenzhen/en/exhibitor-search.detail.html/champion-union-sticker-products-co-limited.html#exhibitorheadline
Changzhou Tongzhu Textile Co Ltd,,"14, M27",/shenzhen/en/exhibitor-search.detail.html/changzhou-tongzhu-textile-co-ltd.html#exhibitorheadline,https://shenzhen-international-toy-and-hobby-fair.hk.messefrankfurt.com/shenzhen/en/exhibitor-search.detail.html/changzhou-tongzhu-textile-co-ltd.html#exhibitorheadline
