exhibitor_id,application_id,company_name,brand_name,products,booth,detail_url,source_page,source_position
93C7E15A52E2882916B0CC7EEA60F2FB,250071,Chien Hsin University of Science and Technology,,,TWTC Exhibition Hall 1 Educational Institution Inventions Area B0925a,https://www.inventaipei.com.tw/en/exhibitor/93C7E15A52E28829CA5167BF22E2A5442605680E9E44D119/info.html?lt=data&vt=company-name&cr=29,https://www.inventaipei.com.tw/en/exhibitor/company-name-data/index.html?tags=&pageSize=40&currentPage=1,29
18FBDFF8C68B8EBEC105ABB06A93D286,250080,China Medical University,,,TWTC Exhibition Hall 1 Educational Institution Inventions Area B1029a,https://www.inventaipei.com.tw/en/exhibitor/18FBDFF8C68B8EBE42C8FFE9E34FC6CE2605680E9E44D119/info.html?lt=data&vt=company-name&cr=30,https://www.inventaipei.com.tw/en/exhibitor/company-name-data/index.html?tags=&pageSize=40&currentPage=1,30
D8837ED2F94ADE0A16D00FEA4EDE53D8,250161,"Chun Bai Yi Enterprise Co.,Ltd.",QSPA,,TWTC Exhibition Hall 1 Domestic Inventions Area B0339,https://www.inventaipei.com.tw/en/exhibitor/D8837ED2F94ADE0A2DCA2D7AFFDC429C2605680E9E44D119/info.html?lt=data&vt=company-name&cr=31,https://www.inventaipei.com.tw/en/exhibitor/company-name-data/index.html?tags=&pageSize=40&currentPage=1,31
BFA4CF8D21717AC32178F7C965D3B862,250187,Chung Yuan Christian University,,,TWTC Exhibition Hall 1 Educational Institution Inventions Area B0919a,https://www.inventaipei.com.tw/en/exhibitor/BFA4CF8D21717AC3051BF37E8096EE942605680E9E44D119/info.html?lt=data&vt=company-name&cr=32,https://www.inventaipei.com.tw/en/exhibitor/company-name-data/index.html?tags=&pageSize=40&currentPage=1,32
41D66A3E78C05F70EE161D1B78BA3A1E,250173,Collection light environment energy develop limited company,集光環能/CLEE,,TWTC Exhibition Hall 1 Domestic Inventions Area B0305,https://www.inventaipei.com.tw/en/exhibitor/41D66A3E78C05F70A7055484EE1832492605680E9E44D119/info.html?lt=data&vt=company-name&cr=33,https://www.inventaipei.com.tw/en/exhibitor/company-name-data/index.html?tags=&pageSize=40&currentPage=1,33
E36A844BD397E4EFD3BA8E9E4386F6B1,250193,DAYEH UNIVERSITY,大葉大學／DAYEH University,,TWTC Exhibition Hall 1 Educational Institution Inventions Area B0626,https://www.inventaipei.com.tw/en/exhibitor/E36A844BD397E4EF1C0609E8810A0ED42605680E9E44D119/info.html?lt=data&vt=company-name&cr=34,https://www.inventaipei.com.tw/en/exhibitor/company-name-data/index.html?tags=&pageSize=40&currentPage=1,34
7E0957C5437E36FDD6989099B6288F71,250060,Daiwan Ingenuity,大丸澤野,,TWTC Exhibition Hall 1 Domestic Inventions Area B0132,https://www.inventaipei.com.tw/en/exhibitor/7E0957C5437E36FD6D277D2552F57F0A2605680E9E44D119/info.html?lt=data&vt=company-name&cr=35,https://www.inventaipei.com.tw/en/exhibitor/company-name-data/index.html?tags=&pageSize=40&currentPage=1,35
DE3434B656B413582109C5815BACEF08,250201,Dema Machinery,,,TWTC Exhibition Hall 1 Patented Merchandise Area B0201a,https://www.inventaipei.com.tw/en/exhibitor/DE3434B656B41358FEE9D28B80B673752605680E9E44D119/info.html?lt=data&vt=company-name&cr=36,https://www.inventaipei.com.tw/en/exhibitor/company-name-data/index.html?tags=&pageSize=40&currentPage=1,36
3C0502005FD22F0BC7B8F79A9CC31138,250164,E-Da Hospital,,,TWTC Exhibition Hall 1 Domestic Inventions Area B0224,https://www.inventaipei.com.tw/en/exhibitor/3C0502005FD22F0B33A3515541CA49DF2605680E9E44D119/info.html?lt=data&vt=company-name&cr=37,https://www.inventaipei.com.tw/en/exhibitor/company-name-data/index.html?tags=&pageSize=40&currentPage=1,37
F80CE7802C2183C827901926C314DB31,250020,"E-JIUN ENTERPRISE CO., LTD",育駿牌多功能閉鎖裝置,,TWTC Exhibition Hall 1 Domestic Inventions Area B0422,https://www.inventaipei.com.tw/en/exhibitor/F80CE7802C2183C8CE1FA4EAF0455FAE2605680E9E44D119/info.html?lt=data&vt=company-name&cr=38,https://www.inventaipei.com.tw/en/exhibitor/company-name-data/index.html?tags=&pageSize=40&currentPage=1,38
