exhibitor_id,company_name,country,stand_number,address,profile_description,product_categories,logo_url,profile_url,source_position
487424,APAC Wear Solutions,INDONESIA,~D1~D1-830,"Padina Soho, Jalan Daan Mogot No.KM. 19.6","APAC Wear Solutions is a specialist supplier of high-performance products designed to protect critical assets across the Resource, Energy and Infrastructure sectors throughout the Asia-Pacific region. Backed by extensive industry knowledge, we deliver complete wear management solutions that help mining and heavy industries operate more efficiently in demanding environments. Our team has the technical capability and manufacturing expertise to develop customised polyurethane, ceramic, silicon carbide and metallic wear solutions tailored to specific operational requirements. At APAC Wear Solutions, our goal is to be a trusted partner for durable, high-performance wear protection systems. Through engineering expertise, quality materials and innovative design, we help our clients across Asia-Pacific extend asset life, minimise downtime and maximise productivity in challenging mining conditions.","Piping Systems,Protective Coatings & Linings,Scrapers Screen",https://eec.informamarkets-info.com/oga/profile/upload/2026/07/06/blob_2026-07-06_20260706134152A025.png,https://exhibitors.informamarkets-info.com/event/MIN2026/en-US/exhibitor/487424/apac-wear-solutions,21
501383,APRdrills,CHINA,CHINA - G&Ruita~A1~A1-1505,,"Founded on July 11, 2019, with a registered capital of 50 million yuan ( USD7.1 million),Au-Prospecting (APR) Drilling Tools (Wuxi) CO., Ltd is located in Huishan EconomicDevelopment Zone. We have a workforce of over 100 employees, comprising R&D,technicians, and specialist operators. APR drilling tools areas of expertise are in the R7Dof drilling technology, manufacture of all in-hole tools to serve the drilling industry andits accessories: Diamond &carbide tools, technical services & consulting includingtechnology transfer. The company invested 28 million yuan (USD4 million) in state-of-the-art equipment procured from Japan to manufacture and produce drilling tools ofexcellent quality. We have strong cooperation with Shanghai University and theInstitute of Exploration and Technology of the Chinese Academy of Geological Scienceto undertake numerous national, provincial, and ministerial-level scientific andtechnological research projects. APR Drilling Tools has our own Quality ManagementSystem and independent intellectual property rights and patents.",Auger Mining Equipment,https://eec.informamarkets-info.com/oga/profile/upload/2026/08/15/blob_2026-08-15_20260815160251A108.png,https://exhibitors.informamarkets-info.com/event/MIN2026/en-US/exhibitor/501383/aprdrills,22
484356,Arbex,INDONESIA,~B3~B3-5725,"Trembesi Tower, 13rd Floor, Jl. Pahlawan Seribu Lot VIIA, CBD-BSD, Serpong","Arbex is a joint venture between Kimberly-Clark and Suzano, bringing together Kimberly-Clark's expertise in professional hygiene and wiping solutions with Suzano's leadership in sustainable pulp production. In Indonesia, Arbex focuses on delivering high-performance tissue and wiping solutions that help businesses improve hygiene, safety, efficiency, and sustainability across a wide range of industries.","Tools,Others",https://eec.informamarkets-info.com/oga/profile/upload/2026/06/25/blob_2026-06-25_20260625192400A015.png,https://exhibitors.informamarkets-info.com/event/MIN2026/en-US/exhibitor/484356/arbex,23
491514,Arobs TrackGPS,INDONESIA,~D2~D2-9606,,"With over 19 years of experience, AROBS TrackGPS is a telematics and fleet management service and software provider. Best Selling sensors for Fuel Level & Fuel Consumptions Solutions Indonesia customers to monitoring your Fuel.",Others,https://eec.informamarkets-info.com/oga/profile/upload/2026/06/26/blob_2026-06-26_20260626115310A559.png,https://exhibitors.informamarkets-info.com/event/MIN2026/en-US/exhibitor/491514/arobs-trackgps,24
501512,Ascenso Tyres,INDIA,~D2~D2-9121,"Plot No. 3551 B HBS SEZ, GIDC Panoli, Taluka Ankleshwar, Bharuch, Gujarat – 394 116, India","After building two global giants in the off-highway tyre segment, the illustrious Mahansaria family created Ascenso, its third off-highway tyre manufacturing brand. The company is led by the father-son duo, Ashok and Yogesh Mahansaria, who have an impeccable track record in the industry. Ascenso caters to a diverse spectrum of global clients, including leading agricultural, industrial and construction, earthmover, material handling, and agro-forestry companies. We have released and added more than 1000 tyre sizes in 5 years to our ever-growing portfolio. Not only do we offer a wide range of tyres but also customised solutions to suit each unique requirement. Our aim is to grow our burgeoning global presence and fulfil our vision.",Off The Road (OTR) Tyres,https://eec.informamarkets-info.com/oga/profile/upload/2026/08/15/blob_2026-08-15_20260815160440A109.png,https://exhibitors.informamarkets-info.com/event/MIN2026/en-US/exhibitor/501512/ascenso-tyres,25
486350,ASME,SINGAPORE,ASME~D1~D1-8104,"67 Jalan Bukit Merah Tower 4, #03-12, 150167","The Association of small & medium enterprises (ASME) is a not-for-profit organization established in 1986 for entrepreneurs, by entrepreneurs. With wide-ranging services and programmers, ASME strives to equip member SMEs with the business knowledge and market opportunities to help them grow their businesses. ASME, as the champion of a pro-enterprise Singapore, bridges the public and private sectors to promote a more conducive business environment which facilitates the start-up, growth and development of a large pool of SMEs. The two ASME flagship awards - The Entrepreneur of the year award and Singapore Prestige Brand Award - are in recognition of SMEs' successes. ASME will continue to roll out new SME-relevant programmes to enhance its position as THE business association for Entrepreneurs, by Entrepreneurs. Visit www.asme.org.sg for more information.",Others,https://eec.informamarkets-info.com/oga/profile/upload/2026/07/10/blob_2026-07-10_20260710101303A078.png,https://exhibitors.informamarkets-info.com/event/MIN2026/en-US/exhibitor/486350/asme,26
484426,ASSETFINDR | Find - Manage - Optimize,INDONESIA,~A3~A3-310,"Kencana Tower Lt. Mezzanine, Jl Raya Meruya Ilir No. 88 RT. 001 RW. 005, Kel. Meruya Utara, Kec. Kembangan, Jakarta Barat, DKI Jakarta - 11620","AssetFindr is a centralized Asset Monitoring & Maintenance Management platform built for truck, bus, and mining operators across Indonesia, following a proven Find → Manage → Optimize cycle. The platform brings together real-time vehicle and driver monitoring, GPS tracking with geofencing, digital tyre inspection, fuel monitoring, and AI-powered predictive analytics into one centralized system, helping operators shift from reactive maintenance to preventive and predictive maintenance. Our tyre management solution alone has delivered up to 3.8x faster inspections and a 73% reduction in tyre pressure–related failures, addressing a cost category that can account for up to 30% of total fleet operating expenses. Founded by industry veterans with 20+ years of experience across trucking, mining, and heavy equipment, AssetFindr helps operators reduce downtime, lower costs, and improve safety across every asset in their fleet.","Automation,Communications & Tracking,Communications Equipment,Computers & Software,Electronic Equipment & Supplies,Software,Tires,Tools,Training,Tyre,Wheels & Rims",https://eec.informamarkets-info.com/oga/profile/upload/2025/07/08/blob_2025-07-08_20250708000738A497.png,https://exhibitors.informamarkets-info.com/event/MIN2026/en-US/exhibitor/484426/assetfindr-find-manage-optimize,27
504522,ASSOCIATION OF SMALL AND MEDIUM ENTERPRISES (ASME),SINGAPORE,~D1~D1-8104,"67 Jalan Bukit Merah Tower 4, #03-12",,,,https://exhibitors.informamarkets-info.com/event/MIN2026/en-US/exhibitor/504522/association-of-small-and-medium-enterprises-asme,28
484385,"Atamora Tehnik Makmur, PT",INDONESIA,~B2~B2-445,"Gedung Equity Tower Lt. 25 No. 25-F Jl. Jend Sudirman Kav. 52-53 SCBD Lot. 9, Senayan, Kebayoran Baru","PT Atamora Tehnik Makmur as a company, we are specialized in procurement services and posses the official agent, stockiest and system consultant of the following 1. Egamaster for hand, hydrolic, impact & special tools 2. Balon USA the valve product, 3. Frank W Muprhy USA the full featured controller 4. Rochem Fyrewash Cleaning Equipment System 5. Faist Filter for air intake filter for all type engine gas turbine.",Tools,https://eec.informamarkets-info.com/oga/profile/upload/2026/07/27/blob_2026-07-27_20260727181424A406.jpeg,https://exhibitors.informamarkets-info.com/event/MIN2026/en-US/exhibitor/484385/atamora-tehnik-makmur-pt,29
491446,AuCom,GERMANY,German Pavilion~A2~A2-2102,,"AuCom is a global company specialising in complete motor control solutions. Our Medium and Low Voltage Soft Starter and Variable Speed Drives (VFD) providing the highest Standards AuCom is recognized as the world's leading specialists in Motor control: from concept and design to prototyping, creation of software and hardware in low and medium voltage soft starters, to the finished product. Whether you need basic motor starting or comprehensive motor control and protection AuCom have a soft starter or VFD which match. AuCom's head office for our Global Solution is located in Sendenhorst, Germany. Our Low Voltage competence Center is located in Christchurch, New Zealand. With regional offices in Dubai, South Korea, Egypt, the USA, China and Morocco, AuCom provides Service and supplies Products in more than 150 countries worldwide.","Control Equipment & Supplies,Electrical Equipment & Supplies,Power Transmission Equipment",https://eec.informamarkets-info.com/oga/profile/upload/2026/07/14/blob_2026-07-14_20260714165753A297.png,https://exhibitors.informamarkets-info.com/event/MIN2026/en-US/exhibitor/491446/aucom,30
