,url,Nature of Business,Location,Main Categories,Contact Person,Position,Office Address,Country/Region,Major Markets,Total Employees,Year of Establishment,Annual Turnover,Brands
669,https://sourcing.hktdc.com/en/Supplier-Store/Profile/Kokusai-Shinju-Co-Ltd/1X00NPGH,"Exporter, Manufacturer","Hyogo, Japan","Fine Jewellery, Jewellery & Watch, Loose Stones & Raw Materials",Mr Hitesh Jhaveri Jhaveri,Director,"Japan Kobe 650-0002, Japan.",Japan,"Chinese Mainland, Japan, Korea, Southeast Asia, Taiwan",,,,
670,https://sourcing.hktdc.com/en/Supplier-Store/Profile/Kuwayama-Corporation/1S00OQ6FL,,Japan,"Fine Jewellery, Gifts / Souvenirs, Loose Stones & Raw Materials",Koichiro Haga,Manager,"2-23-21 Higashi-Ueno, Taito-Ku, Tokyo, 110-0015, Japan",Japan,,,,,
671,https://sourcing.hktdc.com/en/Supplier-Store/Profile/Mihara-Pearl-Co-Ltd/1X009LTG,"Exporter, Manufacturer","Tokyo, Japan","Fine Jewellery, Jewellery & Watch, Loose Stones & Raw Materials",Ms Maki Mihara,,"Mihara building, 5-8-7, Ueno, Taito-ku, Tokyo Japan",Japan,Japan,11 - 15,1982,"US$ 5,000,000 - 9,999,999 ODM OEM",
672,https://sourcing.hktdc.com/en/Supplier-Store/Profile/Mitsushima-Pearl/1X073C6U,Manufacturer,"Mie, Japan","Fine Jewellery, Jewellery & Watch, Loose Stones & Raw Materials",Ms Shroyama Masafumi,Manager,"1324-1 Wagu, Shima-cho Shima-Shi, Mie, 5170703, Japan",Japan,Worldwide,,,,
673,https://sourcing.hktdc.com/en/Supplier-Store/Profile/Mizuki-Pearl-Co-Ltd/1X05733O,"Exporter, Manufacturer","Hyogo, Japan","Fine Jewellery, Jewellery & Watch, Loose Stones & Raw Materials",Ms Ogawa Yukio,Managing Director,"Mizuki Bldg., 8/F, 2-4-10, Kano-Cho, Kobe, Hyogo 6500001 Japan Japan.",Japan,"Chinese Mainland, Japan ODM OEM",,1961,,
674,https://sourcing.hktdc.com/en/Supplier-Store/Profile/Newyork-Pearl-Co-Ltd/1X09EXKP,,Japan,"Fine Jewellery, Jewellery & Watch, Loose Stones & Raw Materials",Sho Sugimoto,,"2-4-21, Ujiurata, Ise-shi, Mie 516-0026, Japan",Japan,,,,,
675,https://sourcing.hktdc.com/en/Supplier-Store/Profile/Okuno-Jewellery-Co-Ltd/1X03Y6LX,"Exporter, Manufacturer, Wholesaler","Osaka, Japan","Fine Jewellery, Jewellery & Watch",Mr Naoyoshi Honda,Director,"3/F, Okuno Bldg, 1-16-15, Higashishinsaibashi, Chuo-ku, Osaka, 542-0083, Japan",Japan,"Chinese Mainland, Hong Kong, Japan, Korea, Southeast Asia",6 - 10,1987,,
676,https://sourcing.hktdc.com/en/Supplier-Store/Profile/P-J-Co-Ltd-/1X08ZFGB,"Manufacturer, Wholesaler","Tokyo, Japan","Fine Jewellery, Jewellery & Watch, Loose Stones & Raw Materials",Ms Shio Hokari,,"P&J Bldg. 1-6-2 Shibuya, Shibuya-ku, Tokyo, Japan",Japan,,11 - 15 View details Factory & Facility,1987,,
677,https://sourcing.hktdc.com/en/Supplier-Store/Profile/PJ-Nakamura-International/1X00BLPK,Manufacturer,"Tokyo, Japan","Fine Jewellery, Gifts / Souvenirs, Jewellery & Watch, Loose Stones & Raw Materials",Mr Yuichi Nakamura,Sales Manager,"Rm 210, Aurum 1-26-2, Higashi-Ueno, Taito-Ku, Higashi-Ueno, Taito-Ku, Tokyo 110-0015, Japan.",Japan,Worldwide ODM OEM,,2005,,
678,https://sourcing.hktdc.com/en/Supplier-Store/Profile/PEARLS-JEWELS-EXPORT/1X00BJE1,Manufacturer,"Hyogo, Japan","Fine Jewellery, Jewellery & Watch, Loose Stones & Raw Materials",Dr Nitish Sarkar,President,"Pearl Garden, #401, 11-6 Yamamoto-dori, 2-Chome, Chuo-Ku, Kobe 650 0003, Japan Japan.",Japan,Worldwide,,,,
679,https://sourcing.hktdc.com/en/Supplier-Store/Profile/Ruby-N-Sapphire-PVT-Ltd-/1X00NRSZ,Manufacturer,Sri Lanka,"Jewellery & Watch, Loose Stones & Raw Materials",Mr Marjan Faleel,Director,"10, Fredrica Road Colombo 06, Sri Lanka Sri Lanka.",Sri Lanka,,,1998,,
680,https://sourcing.hktdc.com/en/Supplier-Store/Profile/Ruwanpura-Gems-Pvt-Ltd/1X09YY60,,Sri Lanka,"Jewellery & Watch, Loose Stones & Raw Materials",Shiham Nazeem,Manager,"No. 148, Council Avenue, Ratnapura 70000, Sri Lanka",Sri Lanka,,,,,
681,https://sourcing.hktdc.com/en/Supplier-Store/Profile/Sadruddin-Jewellers-International-Co-Ltd/1X0ACDCL,"Exporter, Manufacturer",Thailand,"Jewellery & Watch, Loose Stones & Raw Materials",Mr Danish Uddin,Manager,"Shop No. B10, Basement, 919/1, Jewelry Trade Center, Silom Road, Bangkok, Bangrak 10500, Thailand",Thailand,,,,,
682,https://sourcing.hktdc.com/en/Supplier-Store/Profile/Sainte-Pure-CO-LTD/1S00O56EO,,Japan,Fine Jewellery,Mr Shinichi Saito,,,Japan,,,,,
683,https://sourcing.hktdc.com/en/Supplier-Store/Profile/Sekai-Sinju-Export-Co-Ltd/1X00BJUL,Manufacturer,"Hyogo, Japan","Fine Jewellery, Jewellery & Watch, Loose Stones & Raw Materials",Mr Deepak Jhaveri,Director,"6-22 Kitanocho, 2-Chome, Chuo-Ku, Kobe Mumbai 400003 India",Japan,Worldwide,,,,
684,https://sourcing.hktdc.com/en/Supplier-Store/Profile/Shehans-Ltd/1X00A4N1,"Exporter, Manufacturer",Sri Lanka,"Jewellery & Watch, Loose Stones & Raw Materials",Mr A C M Hilmy Hilmy,Director,"Sri Lanka Dharmapala, Mawatha, Colombo 7, Sri Lanka.",Sri Lanka,"Eastern Europe, Hong Kong, Taiwan",1 - 5 ODM OEM,1974,,
685,https://sourcing.hktdc.com/en/Supplier-Store/Profile/Shiba-Shinju-KOBE/1X06AX36,Manufacturer,"Hyogo, Japan","Fine Jewellery, Jewellery & Watch",Mr Toshiyuki Shibata,President,"6-1-15 Goko-Dori, Chuo-Ku, Kobe, Hyougo 651-0087, Japan Japan.",Japan,,,,,
686,https://sourcing.hktdc.com/en/Supplier-Store/Profile/Shima-Shinju-Co-Ltd/1X05530R,Manufacturer,"Mie, Japan","Fine Jewellery, Jewellery & Watch, Loose Stones & Raw Materials",Mr Hiraga Futoshi Futoshi,Owner,"1138 Katada Shima-Cho, Shima-Shi, Mie-Ken, 5170701, Japan Japan.",Japan,Worldwide,,,,
