id,exhibitor_name,country,booth_numbers,exhibitor_urn,supplier_urn,virtual_booth_url,contact_url,source_position,source_url
a342d122c06e41d1ba9220f05d71ace6,"Ningbo Gp & Sonluk Battery Co., Ltd.",Chinese Mainland,"""1A-B02""",1S006393I,1S00OYFMR,,https://sourcing.hktdc.com/en/Enquiry-Service/company/1S006393I/?source=vep&eoFairFiscalYear=2627&eoFairId=hkelectronicsfairae,28,https://www.hktdc.com/event/hkelectronicsfairae/en/exhibitor-list?pageNum=1&pageSize=50
1b4e887f343b4c04808ed0c2f678403d,"Shenzhen Youmei Electronics Co., Ltd",Chinese Mainland,"""1C-C12""",1S0067V4T,1S00OQOXL,,https://sourcing.hktdc.com/en/Enquiry-Service/company/1S0067V4T/?source=vep&eoFairFiscalYear=2627&eoFairId=hkelectronicsfairae,29,https://www.hktdc.com/event/hkelectronicsfairae/en/exhibitor-list?pageNum=1&pageSize=50
f3aaa5ca565d4c2ea93a48ad0c87e41b,"Dongguan Icar Tech Co.,Ltd",Chinese Mainland,"""1E-C24""",1S0064MBH,1S00P5Q6S,,https://sourcing.hktdc.com/en/Enquiry-Service/company/1S0064MBH/?source=vep&eoFairFiscalYear=2627&eoFairId=hkelectronicsfairae,30,https://www.hktdc.com/event/hkelectronicsfairae/en/exhibitor-list?pageNum=1&pageSize=50
325ce1bb2afb49b68f0c75cab4289db0,Jarvis Smart (Shenzhen) CO Limited,Chinese Mainland,"""1C-E14""",1S0064LCF,1S00P5G0K,,https://sourcing.hktdc.com/en/Enquiry-Service/company/1S0064LCF/?source=vep&eoFairFiscalYear=2627&eoFairId=hkelectronicsfairae,31,https://www.hktdc.com/event/hkelectronicsfairae/en/exhibitor-list?pageNum=1&pageSize=50
8fa9ef2003b74bc0a2c4ae2c041e9fd6,"Zhongshan Yang Guo Electronic Technology Co.,Ltd.",Chinese Mainland,"""1CON-005""",1S0064H8V,1S00ONU06,,https://sourcing.hktdc.com/en/Enquiry-Service/company/1S0064H8V/?source=vep&eoFairFiscalYear=2627&eoFairId=hkelectronicsfairae,32,https://www.hktdc.com/event/hkelectronicsfairae/en/exhibitor-list?pageNum=1&pageSize=50
5be028baf27c48dfb15f4d0b0cc21a0b,Flying Dragon Development Limited,Hong Kong,"""3C-A02""",1S0062FU3,1X0001GH,,https://sourcing.hktdc.com/en/Enquiry-Service/company/1S0062FU3/?source=vep&eoFairFiscalYear=2627&eoFairId=hkelectronicsfairae,33,https://www.hktdc.com/event/hkelectronicsfairae/en/exhibitor-list?pageNum=1&pageSize=50
9714e142bf56463a90d618a45330b32d,"Shenzhen Royqueen Audio Technology Co., Ltd.",Chinese Mainland,"""1E-C18""",1S0064K2A,1X05GTST,,https://sourcing.hktdc.com/en/Enquiry-Service/company/1S0064K2A/?source=vep&eoFairFiscalYear=2627&eoFairId=hkelectronicsfairae,34,https://www.hktdc.com/event/hkelectronicsfairae/en/exhibitor-list?pageNum=1&pageSize=50
a2470e2039844562894a76f564549b9f,Shenzhen Xinshuo Technology Co.Ltd,Chinese Mainland,"""1C-D05""",1S0064RYF,1S00P62Z1,,https://sourcing.hktdc.com/en/Enquiry-Service/company/1S0064RYF/?source=vep&eoFairFiscalYear=2627&eoFairId=hkelectronicsfairae,35,https://www.hktdc.com/event/hkelectronicsfairae/en/exhibitor-list?pageNum=1&pageSize=50
8366cb6fe0744ebc9144485355b57fa6,"Sonicstar (Guangzhou) Electronics Co., Ltd.",Chinese Mainland,"""3D-D02""",1S00636NX,1S00OANQ7,,https://sourcing.hktdc.com/en/Enquiry-Service/company/1S00636NX/?source=vep&eoFairFiscalYear=2627&eoFairId=hkelectronicsfairae,36,https://www.hktdc.com/event/hkelectronicsfairae/en/exhibitor-list?pageNum=1&pageSize=50
5e745f34118a442f8ded105fe60fc83c,"Dongguan Jiejin Houseware Co., Ltd",Chinese Mainland,"""1A-E24""",1S00682N1,1S00P62KA,,https://sourcing.hktdc.com/en/Enquiry-Service/company/1S00682N1/?source=vep&eoFairFiscalYear=2627&eoFairId=hkelectronicsfairae,37,https://www.hktdc.com/event/hkelectronicsfairae/en/exhibitor-list?pageNum=1&pageSize=50
